data,comune,provincia,titolo,inserzionista,telefono,url,cercato,estratto,Contatto,Esito verifica sito,Esito DM
2026-09-08,Pieve Fissiraga,LO,Bar e ristorazione,,,https://www.subito.it/offerte-lavoro/bar-e-ristorazione-lodi-660000370.htm,subito:nuova apertura,"📢 STIAMO CERCANDO NUOVI COLLABORATORI! Per l’apertura della nostra nuova attività, stiamo ampliando il team e cerchiamo persone motivate, dinamiche e con voglia",solo chat Subito,anonimo: niente da verificare,DA CONTATTARE
2026-09-08,Milano,MI,Cuoco/consulente,jmm srl,3474783367,https://www.subito.it/offerte-lavoro/cuoco-consulente-milano-659000999.htm,subito:nuova apertura,"AZIENDA DI RISTORAZIONE A MILANO CERCA PER APERTURA DI NUOVO RISTORANTE IN CENTRO CITTA', UN ESPERTO DI CUCINA MESSICANA/PERUVIANA PER RAPPORTO DI ASSUNZIONE O ",tel 3474783367 · jmmsrl85@gmail.com,"gruppo ristorazione 2,1 M€ (Rugantino, via dei Fabbri); sito del nuovo locale non esiste",DA CONTATTARE
2026-09-08,Milano,MI,Addetto/a per nuovo locale - Milano,La Pizzetteria,,https://www.subito.it/offerte-lavoro/addetto-a-per-nuovo-locale-milano-milano-652082524.htm,subito:nuova apertura,"Per nuova apertura a Milano, in zona Piazzale Baracca / Corso Vercelli, cerchiamo una persona da inserire nel nostro locale a partire da settembre 2026. Il lavo",IG @la_pizzetteria_ · chat Subito,"cercato WebSearch + IG/FB → nessun sito, IG trovato",DA CONTATTARE
2026-09-08,Monza,MB,Parrucchiere con qualifica,Lakicerciello Cerciello,,https://www.subito.it/offerte-lavoro/parrucchiere-con-qualifica-monza-659879392.htm,subito:nuova apertura,Cercasi parrucchiere/parrucchiera qualificato per nuova apertura salone in Monza,solo chat Subito,anonimo: niente da verificare,DA CONTATTARE
2026-09-07,Vigevano,PV,Barista/cameriera,Bar caiazzo,,https://www.subito.it/offerte-lavoro/barista-cameriera-pavia-659873539.htm,subito:nuova apertura,"Cercasi per nuova apertura bar in Vigevano (pv) Barista / cameriera su giornata spezzata , massimo 30 anni con un minimo di esperienza","FB/IG @caffecaiazzo · tel 342 036 2294 (attività esistente, Via Gravellona 23)","cercato WebSearch → solo FB/IG/directory, nessun sito",DA CONTATTARE
2026-09-07,Desio,MB,Cuoco e addetto alla brace,,,https://www.subito.it/offerte-lavoro/cuoco-e-addetto-alla-brace-monza-659758503.htm,subito:nuova apertura,"🍴 NUOVA APERTURA – ZONA DESIO Cerchiamo CUOCO/A per il pranzo e CUOCO/A ESPERTO/A ALLA BRACE Richiesta esperienza, serietà e voglia di entrare a far parte di un",solo chat Subito,anonimo: niente da verificare,DA CONTATTARE
2026-09-04,Cantu',CO,Personale Bar,,3714603996,https://www.subito.it/offerte-lavoro/personale-bar-como-659550020.htm,subito:prossima apertura,"Cerco persona da inserire per prossima apertura a cantù, orario piu o meno 12:30-21:30 contratto indeterminato. Inviare curriculum 3714603996 francesco",tel 3714603996 Francesco,nome attività ignoto: non verificabile,DA CONTATTARE
2026-09-04,Brescia,BS,Parrucchiera,j.olga parrucchieri,,https://www.subito.it/offerte-lavoro/parrucchiera-brescia-659506281.htm,subito:in apertura,"J.Olga Parrucchieri amplia il suo team! Offriamo stipendi sopra la media, condizioni economiche vantaggiose, orari flessibili e diverse tipologie di contratto. ",—,J.Olga: aperto da 14 anni,falso positivo
2026-09-02,Cazzago San Martino,BS,Cameriera/e,,,https://www.subito.it/offerte-lavoro/cameriera-e-brescia-659250198.htm,subito:in apertura,Il locale serale Red Moon in apertura a Cazzago San Martino cerca una figura di Sala part-time da inserire nel proprio organico anche senza esperienza. Perfetto,solo chat Subito,cercato WebSearch + IG/FB → niente (Red Moon Cesana è un altro),DA CONTATTARE
2026-08-28,Milano,MI,Cameriere di sala,NO LIMITS di Avetisyan Haykaram & C. S.a.s,,https://www.subito.it/offerte-lavoro/cameriere-di-sala-milano-658632987.htm,subito:nuova apertura,"Siamo La pizzeria, una nuova apertura in zona Maggiolina! Cerchiamo con urgenza una figura di cameriere/a a 30 ore settimanali che ci possa supportare nel servi",solo chat Subito,cercato WebSearch + IG/FB → niente,DA CONTATTARE
