Account IG,Nome attivita,Comune (prov),Segmento,Follower,Gancio (1-6),Esito verifica sito,DM inviato (data),Esito DM,Messaggio,Scheda,Lista,Prodotto,Letto (data),Chat
@natalivolkova_ph,Natali Volkova Photographer,Torino (TO),Fotografa ritratti e gravidanza,1783,1,"cercato «fotografo torino» nella ricerca di Instagram → link in bio: nessuno, prenotazioni solo in DM [verifica-sito] motori «""Natali Volkova Photographer"" Torino»: 21 risultati · domini: pinterest.com (vivo: Pinterest - Italia); twitter.com (vivo: X: ciò che c'è di nuovo / X); tumblr.com (vivo: Tumblr); find-my-photographer.com (vivo: Encuentra-Tu-Arquitecto | Directory of qualified Architects); fotografico.it (vivo: Studio Fotografico a Torino | Fotografo Torino Professionale); spacehasaface.com (vivo: Interior photography Torino | for architects, realtors and companies); alamy.it (vivo: Esprimi la tua creatività con le foto e i video stock di Alamy); insolitidettagli.it (DNS morto); artstation.com (non risponde); porn-w.org (vivo: Porn-W Porn Forum); certifiedbyleica.it (vivo); anna-volkova.com (vivo: Anna Volkova photographer); artellsmagazine.com (vivo: ARTELLS MAGAZINE — Fashion & Art Photography Magazine); janasebestovaphotography.com (vivo: Ritratti business Torino | Jana Sebestova Photography); artegomagazine.com (vivo: Artego Magazine | Fashion & Art Editorials); torinoartweek.com (vivo: HOME | Torino Art Week); gallerieditalia.com (vivo: Gallerie d'Italia: Milano, Torino, Napoli, Vicenza | Gallerie d'Italia); hackerone.com (vivo: HackerOne | Leader in Continuous Threat Exposure Management | Security for AI); status.brave.app (vivo: Brave status) · directory: instagram.com, facebook.com",,,"Ciao, sono Patrick di DenkiCode.

Ho guardato il tuo profilo. Ritratti, beauty e street style con la stessa luce, che è la cosa più difficile da tenere ferma quando cambi genere.

Ho notato però una cosa: chi cerca una fotografa a Torino su Google non ti trova, perché un sito non c'è e le prenotazioni passano solo dai DM.

Le foto mi hanno fatto venire voglia di provarci. Abbiamo preso ispirazione dal tuo profilo e abbiamo realizzato una bozza del tuo sito.

Preferisci che te la mandi qui su Instagram, o prima ne parliamo due minuti al telefono? In ogni caso zero costi e zero impegno: se ti piace, poi ne parliamo. Se vuoi vedere cosa facciamo: denkicode.com","Natali Volkova, fotografa a Torino: ritratti, beauty, street style, gravidanza. 1.783 follower, 138 post. Wedding su un secondo account. Nessun sito, booking in DM.",2026-09-23-instagram-siti-piemonte-foto-makeup,siti,,
@nataliportraits,Natali Portraits,Torino (TO),Fotografa ritratti,359,1,"cercato «fotografa torino» nella ricerca di Instagram → link in bio: nessuno, in bio solo il profilo personale [verifica-sito] motori «""Natali Portraits"" Torino»: 22 risultati · domini: etsy.com (non risponde); wannenesgroup.com (vivo: Wannenes - Casa d'Aste a Milano Genova Roma e Monte Carlo. Arte Moderna e Contem); atriumantiquaria.it (vivo: Antiquariato e modernariato a Torino - Atrium Antiquaria); fondazionetime2.it (vivo: Fondazione Time2); arte.it (vivo: Homepage - Arte.it); provincia.torino.gov.it (DNS morto); artapartofculture.net (vivo: Home - art a part of cult(ure)); gettyimages.com (vivo: Foto stock, immagini Creative e vettoriali royalty-free | Immagini di attualità,); torinoerotica.com (non risponde); due42fotografie.com (vivo: Due42fotografie | Fotografo matrimoni a Torino e Aosta); natali.net (vivo: Natali Technology – Soluzioni per la stampa a Milano); subito.it (vivo: Subito - Compra e vendi gratis in sicurezza); natalipsicologatorino.it (vivo: Cercavi una Psicologa a Torino? Contatta ora la Dott.ssa Sabina Natali); fotografico.it (vivo: Studio Fotografico a Torino | Fotografo Torino Professionale); artegante.it (vivo: Galleria d'Arte Online - Vendita Quadri​); itinerarinellarte.it (vivo: Itinerari nell'Arte - Mostre, Festival, Musei e Gallerie); community.punterforum.com (vivo: La Community di PUNTERFORUM); nataliartist.com (vivo: Nataliartist); studionatali.eu (vivo: Dr. Natali - Dentisti a Carpi dal 1980, Sorrisi Sani da Sempre); hackerone.com (vivo: HackerOne | Leader in Continuous Threat Exposure Management | Security for AI); status.brave.app (vivo: Brave status) · directory: instagram.com",,,"Ciao, sono Patrick di DenkiCode.

Ho guardato il tuo profilo. Content photography all'aperto, love story, e tre lingue in bio: si capisce a chi parli.

Ho notato però una cosa: chi ti cerca fuori da Instagram non trova niente, perché un sito non c'è.

Le foto mi hanno fatto venire voglia di provarci. Abbiamo preso ispirazione dal tuo profilo e abbiamo realizzato una bozza del tuo sito.

Preferisci che te la mandi qui su Instagram, o prima ne parliamo due minuti al telefono? In ogni caso zero costi e zero impegno: se ti piace, poi ne parliamo. Se vuoi vedere cosa facciamo: denkicode.com","Natali Portraits, fotografa a Torino: content photography, outdoor, love story. 359 follower, 82 post. Bio in ucraino, inglese e italiano. Nessun sito.",2026-09-23-instagram-siti-piemonte-foto-makeup,siti,,
@fotografa_em_torino,Kel Oliveira Fotografa,Torino (TO),Fotografa famiglie e maternità,7126,3,"cercato «fotografa torino» nella ricerca di Instagram → link in bio: behance.net, portfolio su piattaforma, nessun dominio proprio [verifica-sito] motori «""Kel Oliveira Fotografa"" Torino»: 19 risultati · domini: galeriastudiok.com (vivo); addlance.com (vivo: Trova Freelance Italiani Online | AddLance.com); fotografico.it (vivo: Studio Fotografico a Torino | Fotografo Torino Professionale); stellaierace.com (vivo); fotoristico.it (parcheggiato); fotografia.cultura.gov.it (vivo: MIC - Raccolte Fotografiche); photoidea.it (vivo: Fotografo Matrimonio Torino – Reportage Naturale ed Elegante | Photoidea); fotografiedifamiglia.com (vivo: Fotografo di famiglia Torino stile reportage | Due 42); find-my-photographer.com (vivo: Encuentra-Tu-Arquitecto | Directory of qualified Architects); patriziacorbianco.it (DNS morto); camera.to (vivo); hackerone.com (vivo: HackerOne | Leader in Continuous Threat Exposure Management | Security for AI); status.brave.app (vivo: Brave status) · directory: paginegialle.it, paginebianche.it, prontopro.it, instagram.com",,,"Ciao, sono Patrick di DenkiCode.

Ho guardato il tuo profilo. Maternità, famiglia e coppie a Torino, con seicento post che raccontano più di qualsiasi bio.

Ho notato però una cosa: il link in bio porta su Behance, che è un portfolio per addetti ai lavori. Una mamma che ti cerca da Google trova quello, non un sito tuo.

Le foto mi hanno fatto venire voglia di provarci. Abbiamo preso ispirazione dal tuo profilo e abbiamo realizzato una bozza del tuo sito.

Preferisci che te la mandi qui su Instagram, o prima ne parliamo due minuti al telefono? In ogni caso zero costi e zero impegno: se ti piace, poi ne parliamo. Se vuoi vedere cosa facciamo: denkicode.com","Kel Oliveira, fotografa a Torino: maternità, famiglia, coppie. 7.126 follower, 641 post. Link in bio: Behance. Nessun sito proprio.",2026-09-23-instagram-siti-piemonte-foto-makeup,siti,,
@erremediateam,Erre Media Team,Torino (TO),Videomaker e fotografi eventi,1442,3,"cercato «videomaker torino» nella ricerca di Instagram → link in bio: beacons.ai, nessun dominio proprio [verifica-sito] motori «""Erre Media Team"" Torino»: 20 risultati · domini: erre-media.it (vivo: Erre Media); unife.it (vivo: Università degli Studi di Ferrara — Università degli studi di Ferrara); consorziovado.it (non risponde); erre-esse.com (vivo: ERRE ESSE DIVENTA EUROCAR | Eurocar); motori.ilmessaggero.it (vivo: MOTORI - Il Messaggero.it); aerospace.centroestero.org (vivo: Aerospace - Centro Estero per l'Internazionalizzazione); amministrazionicomunali.it (vivo: IMU 2026, Calcolo IMU 2026, Calcolo IMU, Calcolo TARI, IUC, F24 compilabili on l); it.indeed.com (non risponde); europacreativa-media.it (vivo: Europa Creativa - Sottoprogramma MEDIA); industriaitaliana.it (non risponde); erreerrefuoriserie.com (vivo: ErreErre Fuoriserie); hackerone.com (vivo: HackerOne | Leader in Continuous Threat Exposure Management | Security for AI); status.brave.app (vivo: Brave status) · directory: ufficiocamerale.it, it.linkedin.com, companyreports.it, reportaziende.it · erre-media.it aperto: WordPress senza riferimenti a Torino, accanto a risultati di Ferrara, altra attivita'",,,"Ciao, sono Patrick di DenkiCode.

Ho guardato il vostro profilo. Videomaker e fotografi per il clubbing di Torino: un mestiere di notte, con i tempi stretti e il risultato che deve uscire il giorno dopo.

Ho notato però una cosa: il link in bio è una pagina Beacons, e chi organizza un evento e vi cerca da Google non trova un sito vostro.

Le foto mi hanno fatto venire voglia di provarci. Abbiamo preso ispirazione dal vostro profilo e abbiamo realizzato una bozza del vostro sito.

Preferite che ve la mandi qui su Instagram, o prima ne parliamo due minuti al telefono? In ogni caso zero costi e zero impegno: se vi piace, poi ne parliamo. Se volete vedere cosa facciamo: denkicode.com","Erre Media Team, Torino: gestione videomaker e fotografi, specialisti del clubbing. 1.442 follower, 62 post. Link in bio Beacons. Tel. 342 5706339. Il dominio erre-media.it trovato dai motori è un WordPress senza riferimenti a Torino, accanto a risultati di Ferrara: non risulta loro.",2026-09-23-instagram-siti-piemonte-foto-makeup,siti,,
@mirko.mina,Mirko Mina Fotografo e Videomaker,Torino (TO),Fotografo food e brand,2659,1,"cercato «videomaker torino» nella ricerca di Instagram → link in bio: nessuno [verifica-sito] motori «""Mirko Mina Fotografo e Videomaker"" Torino»: 18 risultati · domini: behance.net (non risponde); mmphvideomaker.it (DNS morto); showgroup.it (vivo: Artisti, Location e Professionisti per eventi); it.indeed.com (non risponde); addlance.com (vivo: Trova Freelance Italiani Online | AddLance.com); artfotoweb.com (vivo: Fotografo matrimonio Torino e video professionali | Art Foto); torinofoto.it (vivo: Torino Foto - Fotografia per matrimoni); mirkofiorelli.com (vivo); studiobeltramo.com (vivo: STUDIO BELTRAMO | Fotografo e Videomaker a Torino - STUDIO BELTRAMO); uncutstudio.it (vivo: Uncut Studio | Agenzia produzione video e foto, sala posa); andreasartore.com (vivo: Andrea Sartore | Fotografo & Videomaker Professionista Torino - Fotografo Torino); torinosposiweb.com (vivo: TORINO SPOSI WEB Guida al matrimonio, Eventi e Fiere in Piemonte); it.jooble.org (non risponde); wilsonquerin.it (vivo: Wilson Querin – Content Creator – Fotografo e Videomaker a Torino); hackerone.com (vivo: HackerOne | Leader in Continuous Threat Exposure Management | Security for AI); status.brave.app (vivo: Brave status) · directory: instagram.com, linkedin.com",,,"Ciao, sono Patrick di DenkiCode.

Ho guardato il tuo profilo. Food, brand ed eventi a Torino, foto e video insieme: il piatto fotografato bene è metà del lavoro di un ristorante, e si vede che lo sai.

Ho notato però una cosa: un ristoratore che ti cerca da Google non ti trova, perché un sito non c'è.

Le foto mi hanno fatto venire voglia di provarci. Abbiamo preso ispirazione dal tuo profilo e abbiamo realizzato una bozza del tuo sito.

Preferisci che te la mandi qui su Instagram, o prima ne parliamo due minuti al telefono? In ogni caso zero costi e zero impegno: se ti piace, poi ne parliamo. Se vuoi vedere cosa facciamo: denkicode.com","Mirko Mina, fotografo e videomaker a Torino: food, brand, eventi. 2.659 follower, 166 post. Nessun link in bio. I motori danno mmphvideomaker.it con DNS morto: potrebbe essere un suo vecchio dominio, non verificabile.",2026-09-23-instagram-siti-piemonte-foto-makeup,siti,,
@elisabetta_menzio_fotografia,Elisabetta Menzio Fotografia,Moncalieri (TO),Fotografa neonati e famiglie,465,3,"cercato «fotografa moncalieri» nella ricerca di Instagram → link in bio: linktr.ee, nessun dominio proprio; indirizzo corso Savona 111 [verifica-sito] motori «""Elisabetta Menzio Fotografia"" Moncalieri»: 17 risultati · domini: lattanziokibs.com (vivo: Homepage - Lattanzio KIBS); moncalierifamija.it (vivo: moncalierifamija.it); moncalieri.infoisinfo.it (vivo: Cerca Negozi Moncalieri - Cerca Imprese Moncalieri - Elenco Aziende Moncalieri -); fotografo.torino.it (vivo: Fotografi Torino | Servizi fotografici Professionali a Torino); fotografia.cultura.gov.it (vivo: MIC - Raccolte Fotografiche); comune.cuneo.it (vivo: Comune di Cuneo - Portale Istituzionale - Home Page); eventimoncalieri.it (vivo: Home - Famija Moncalereisa); addlance.com (vivo: Trova Freelance Italiani Online | AddLance.com); paratissima.it (vivo: Home - Paratissima); hackerone.com (vivo: HackerOne | Leader in Continuous Threat Exposure Management | Security for AI); status.brave.app (vivo: Brave status) · directory: facebook.com, trova-aperto.it, paginegialle.it, paginebianche.it",,,"Ciao, sono Patrick di DenkiCode.

Ho guardato il tuo profilo. Famiglie in crescita, neonati e gli album con la loro storia dentro: trecento post di lavoro fatto a Moncalieri, in corso Savona.

Ho notato però una cosa: il link in bio è un Linktree, e una mamma che ti cerca da Google trova quello, non un sito tuo.

Le foto mi hanno fatto venire voglia di provarci. Abbiamo preso ispirazione dal tuo profilo e abbiamo realizzato una bozza del tuo sito.

Preferisci che te la mandi qui su Instagram, o prima ne parliamo due minuti al telefono? In ogni caso zero costi e zero impegno: se ti piace, poi ne parliamo. Se vuoi vedere cosa facciamo: denkicode.com","Elisabetta Menzio, fotografa neonati e famiglie, Moncalieri (corso Savona 111). 465 follower, 311 post. Link in bio Linktree. Tel. 351 7553719.",2026-09-23-instagram-siti-piemonte-foto-makeup,siti,,
@bronzinfederico,Federico Bronzin Fotografo e Videomaker,Cuneo (CN),Fotografo e videomaker eventi,349,1,"cercato «videomaker cuneo» nella ricerca di Instagram → link in bio: nessuno, solo il telefono [verifica-sito] motori «""Federico Bronzin Fotografo e Videomaker"" Cuneo»: 1 risultati · domini: nessuno risponde · directory: instagram.com",,,"Ciao, sono Patrick di DenkiCode.

Ho guardato il tuo profilo. Eventi, viaggi ed esperienze da Cuneo, foto e video: ""raccontami di te"" in bio è un modo di lavorare, non una frase.

Ho notato però una cosa: chi ti cerca da Google trova solo il numero, perché un sito non c'è.

Le foto mi hanno fatto venire voglia di provarci. Abbiamo preso ispirazione dal tuo profilo e abbiamo realizzato una bozza del tuo sito.

Preferisci che te la mandi qui su Instagram, o prima ne parliamo due minuti al telefono? In ogni caso zero costi e zero impegno: se ti piace, poi ne parliamo. Se vuoi vedere cosa facciamo: denkicode.com","Federico Bronzin, fotografo e videomaker, Cuneo: eventi, viaggi, esperienze. 349 follower, 58 post. Nessun sito, solo il telefono 329 2864290.",2026-09-23-instagram-siti-piemonte-foto-makeup,siti,,
@fotografa.alba,Alba Ferraro Fotografa,Alba (CN),Fotografa eventi e ritratti,1249,3,"cercato «fotografa alba» nella ricerca di Instagram → link in bio: facebook e tiktok, nessun dominio [verifica-sito] motori «""Alba Ferraro Fotografa"" Alba»: 0 risultati · domini: nessuno risponde",,,"Ciao, sono Patrick di DenkiCode.

Ho guardato il tuo profilo. Eventi e ritratti ad Alba, con duecento post che si tengono insieme come una serie.

Ho notato però una cosa: i link in bio portano su Facebook e TikTok, e chi ti cerca da Google per un evento non trova un sito tuo.

Le foto mi hanno fatto venire voglia di provarci. Abbiamo preso ispirazione dal tuo profilo e abbiamo realizzato una bozza del tuo sito.

Preferisci che te la mandi qui su Instagram, o prima ne parliamo due minuti al telefono? In ogni caso zero costi e zero impegno: se ti piace, poi ne parliamo. Se vuoi vedere cosa facciamo: denkicode.com","Alba Ferraro, fotografa eventi e ritratti, Alba (CN). 1.249 follower, 231 post. Link in bio: Facebook e TikTok. Nessun sito.",2026-09-23-instagram-siti-piemonte-foto-makeup,siti,,
@giorgiameronifotografia,Giorgia Meroni Fotografia,Asti (AT),Fotografa famiglie e newborn,1111,3,"cercato «fotografa asti» nella ricerca di Instagram → link in bio: linktr.ee, nessun dominio proprio [verifica-sito] motori «""Giorgia Meroni Fotografia"" Asti»: 2 risultati · domini: nessuno risponde · directory: reteimprese.it, facebook.com",,,"Ciao, sono Patrick di DenkiCode.

Ho guardato il tuo profilo. Ritratti, gravidanza, newborn e battesimi ad Asti, cinquecento post: c'è tutta la vita di una famiglia dentro.

Ho notato però una cosa: il link in bio è un Linktree, e chi ti cerca da Google per il battesimo trova quello, non un sito tuo.

Le foto mi hanno fatto venire voglia di provarci. Abbiamo preso ispirazione dal tuo profilo e abbiamo realizzato una bozza del tuo sito.

Preferisci che te la mandi qui su Instagram, o prima ne parliamo due minuti al telefono? In ogni caso zero costi e zero impegno: se ti piace, poi ne parliamo. Se vuoi vedere cosa facciamo: denkicode.com","Giorgia Meroni, fotografa di famiglia ad Asti: ritratti, gravidanza, newborn, battesimi. 1.111 follower, 502 post. Link in bio Linktree. Tel. 348 2314849.",2026-09-23-instagram-siti-piemonte-foto-makeup,siti,,
@chiara_lumi_ph,Chiara Lumi Fotografa Sport,Alessandria (AL),Fotografa sport,209,3,"cercato «fotografa alessandria» nella ricerca di Instagram → link in bio: taplink.ws, nessun dominio proprio [verifica-sito] motori «""Chiara Lumi Fotografa Sport"" Alessandria»: 0 risultati · domini: nessuno risponde",,,"Ciao, sono Patrick di DenkiCode.

Ho guardato il tuo profilo. Fotografia sportiva, dal rugby in giù: il momento giusto in campo non si ripete, e nelle tue foto c'è.

Ho notato però una cosa: il link in bio è un Taplink, e una società sportiva che ti cerca da Google non trova un sito tuo.

Le foto mi hanno fatto venire voglia di provarci. Abbiamo preso ispirazione dal tuo profilo e abbiamo realizzato una bozza del tuo sito.

Preferisci che te la mandi qui su Instagram, o prima ne parliamo due minuti al telefono? In ogni caso zero costi e zero impegno: se ti piace, poi ne parliamo. Se vuoi vedere cosa facciamo: denkicode.com","Chiara Lumi, fotografa sport e action, Alessandria. 209 follower, 28 post. Link in bio Taplink. Nessun sito.",2026-09-23-instagram-siti-piemonte-foto-makeup,siti,,
