Nome Azienda,Telefono / Cellulare,Tipo Azienda,Settore,Servizio da Vendere,Prezzo Indicativo,Note Strategiche (Claude),Esito e Note Giulia
Carrozzeria Gherardi S.r.l. di Pinna Antonio (Limbiate),02 99055886,Carrozzeria,Automotive,Indagine Mercato,Ricerca Form,"NON SI VENDE: si porta al form. Ogni vettura e' una commessa con perizia, ricambi e tempi di consegna. La domanda e' una sola e va fatta cosi': 'dove segnate a che punto e' ogni vettura, e come sapete quando esce?'. OBIEZIONE 'lo so a memoria' -> Voss-labeling: 'sembra che finora abbia funzionato'. SPIN-Implicazione: 'quando il cliente chiama per sapere se e' pronta, chi glielo dice?' NOTA: S.r.l. con due cognomi in insegna - c'e' un amministratore e c'e' un socio: chiedere chi decide.",
Carrozzeria Raccosta (Limbiate),02 99485395,Carrozzeria,Automotive,Indagine Mercato,Ricerca Form,"NON SI VENDE: si porta al form. Ogni vettura e' una commessa con perizia, ricambi e tempi di consegna. La domanda e' una sola e va fatta cosi': 'dove segnate a che punto e' ogni vettura, e come sapete quando esce?'. OBIEZIONE 'lo so a memoria' -> Voss-labeling: 'sembra che finora abbia funzionato'. SPIN-Implicazione: 'quando il cliente chiama per sapere se e' pronta, chi glielo dice?'",
Carrozzeria La Le Mans (Limbiate),02 99056262,Carrozzeria,Automotive,Indagine Mercato,Ricerca Form,"NON SI VENDE: si porta al form. Ogni vettura e' una commessa con perizia, ricambi e tempi di consegna. La domanda e' una sola e va fatta cosi': 'dove segnate a che punto e' ogni vettura, e come sapete quando esce?'. OBIEZIONE 'lo so a memoria' -> Voss-labeling: 'sembra che finora abbia funzionato'. SPIN-Implicazione: 'quando il cliente chiama per sapere se e' pronta, chi glielo dice?'",
Carrozzeria Eredi Casati (Limbiate),02 9960648,Carrozzeria,Automotive,Indagine Mercato,Ricerca Form,"NON SI VENDE: si porta al form. Ogni vettura e' una commessa con perizia, ricambi e tempi di consegna. La domanda e' una sola e va fatta cosi': 'dove segnate a che punto e' ogni vettura, e come sapete quando esce?'. OBIEZIONE 'lo so a memoria' -> Voss-labeling: 'sembra che finora abbia funzionato'. SPIN-Implicazione: 'quando il cliente chiama per sapere se e' pronta, chi glielo dice?'",
Ema Levabolli S.r.l. (Limbiate),02 46512191,Carrozzeria,Automotive,Indagine Mercato,Ricerca Form,"NON SI VENDE: si porta al form. Ogni vettura e' una commessa con perizia, ricambi e tempi di consegna. La domanda e' una sola e va fatta cosi': 'dove segnate a che punto e' ogni vettura, e come sapete quando esce?'. OBIEZIONE 'lo so a memoria' -> Voss-labeling: 'sembra che finora abbia funzionato'. SPIN-Implicazione: 'quando il cliente chiama per sapere se e' pronta, chi glielo dice?' NOTA: levabolli e' una nicchia tecnica, lavorano molto per assicurazioni e flotte: chiedere se hanno commesse ricorrenti da terzi.",
Carrozzeria 2G Dimensione Auto - Soccorso Stradale 24h (Limbiate),02 99489208,Carrozzeria,Automotive,Indagine Mercato,Ricerca Form,"NON SI VENDE: si porta al form. Ogni vettura e' una commessa con perizia, ricambi e tempi di consegna. La domanda e' una sola e va fatta cosi': 'dove segnate a che punto e' ogni vettura, e come sapete quando esce?'. OBIEZIONE 'lo so a memoria' -> Voss-labeling: 'sembra che finora abbia funzionato'. SPIN-Implicazione: 'quando il cliente chiama per sapere se e' pronta, chi glielo dice?' NOTA: fanno soccorso stradale H24 - se dicono di avere squadre di reperibilita', la riga vale doppio e passa a DenkiShift.",
Carrozzeria Boccardi (Limbiate),02 9960164,Carrozzeria,Automotive,Indagine Mercato,Ricerca Form,"NON SI VENDE: si porta al form. Ogni vettura e' una commessa con perizia, ricambi e tempi di consegna. La domanda e' una sola e va fatta cosi': 'dove segnate a che punto e' ogni vettura, e come sapete quando esce?'. OBIEZIONE 'lo so a memoria' -> Voss-labeling: 'sembra che finora abbia funzionato'. SPIN-Implicazione: 'quando il cliente chiama per sapere se e' pronta, chi glielo dice?'",
Carrozzeria Limbiatese S.n.c. di Chiappa Valter (Limbiate),02 9964125,Carrozzeria,Automotive,Indagine Mercato,Ricerca Form,"NON SI VENDE: si porta al form. Ogni vettura e' una commessa con perizia, ricambi e tempi di consegna. La domanda e' una sola e va fatta cosi': 'dove segnate a che punto e' ogni vettura, e come sapete quando esce?'. OBIEZIONE 'lo so a memoria' -> Voss-labeling: 'sembra che finora abbia funzionato'. SPIN-Implicazione: 'quando il cliente chiama per sapere se e' pronta, chi glielo dice?'",
Chiarello Massimiliano Giuseppe (Limbiate),02 91665454,Carrozzeria,Automotive,Indagine Mercato,Ricerca Form,"NON SI VENDE: si porta al form. Ogni vettura e' una commessa con perizia, ricambi e tempi di consegna. La domanda e' una sola e va fatta cosi': 'dove segnate a che punto e' ogni vettura, e come sapete quando esce?'. OBIEZIONE 'lo so a memoria' -> Voss-labeling: 'sembra che finora abbia funzionato'. SPIN-Implicazione: 'quando il cliente chiama per sapere se e' pronta, chi glielo dice?'",
Ciconte Auto (Limbiate),02 99057023,Carrozzeria,Automotive,Indagine Mercato,Ricerca Form,"NON SI VENDE: si porta al form. Ogni vettura e' una commessa con perizia, ricambi e tempi di consegna. La domanda e' una sola e va fatta cosi': 'dove segnate a che punto e' ogni vettura, e come sapete quando esce?'. OBIEZIONE 'lo so a memoria' -> Voss-labeling: 'sembra che finora abbia funzionato'. SPIN-Implicazione: 'quando il cliente chiama per sapere se e' pronta, chi glielo dice?'",
Nuova Carrozzeria Bertani S.r.l. (Limbiate),02 9965968,Carrozzeria,Automotive,Indagine Mercato,Ricerca Form,"NON SI VENDE: si porta al form. Ogni vettura e' una commessa con perizia, ricambi e tempi di consegna. La domanda e' una sola e va fatta cosi': 'dove segnate a che punto e' ogni vettura, e come sapete quando esce?'. OBIEZIONE 'lo so a memoria' -> Voss-labeling: 'sembra che finora abbia funzionato'. SPIN-Implicazione: 'quando il cliente chiama per sapere se e' pronta, chi glielo dice?'",
Nuova Styl Car (Bovisio Masciago),0362 594146,Carrozzeria,Automotive,Indagine Mercato,Ricerca Form,"NON SI VENDE: si porta al form. Ogni vettura e' una commessa con perizia, ricambi e tempi di consegna. La domanda e' una sola e va fatta cosi': 'dove segnate a che punto e' ogni vettura, e come sapete quando esce?'. OBIEZIONE 'lo so a memoria' -> Voss-labeling: 'sembra che finora abbia funzionato'. SPIN-Implicazione: 'quando il cliente chiama per sapere se e' pronta, chi glielo dice?'",
Carrozzeria Benvegnu' (Bovisio Masciago),0362 591408,Carrozzeria,Automotive,Indagine Mercato,Ricerca Form,"NON SI VENDE: si porta al form. Ogni vettura e' una commessa con perizia, ricambi e tempi di consegna. La domanda e' una sola e va fatta cosi': 'dove segnate a che punto e' ogni vettura, e come sapete quando esce?'. OBIEZIONE 'lo so a memoria' -> Voss-labeling: 'sembra che finora abbia funzionato'. SPIN-Implicazione: 'quando il cliente chiama per sapere se e' pronta, chi glielo dice?'",
Carrozzeria Berton (Senago),02 99058719,Carrozzeria,Automotive,Indagine Mercato,Ricerca Form,"NON SI VENDE: si porta al form. Ogni vettura e' una commessa con perizia, ricambi e tempi di consegna. La domanda e' una sola e va fatta cosi': 'dove segnate a che punto e' ogni vettura, e come sapete quando esce?'. OBIEZIONE 'lo so a memoria' -> Voss-labeling: 'sembra che finora abbia funzionato'. SPIN-Implicazione: 'quando il cliente chiama per sapere se e' pronta, chi glielo dice?'",
Carrozzeria F.lli Maffei S.n.c. (Paderno Dugnano),02 9102614,Carrozzeria,Automotive,Indagine Mercato,Ricerca Form,"NON SI VENDE: si porta al form. Ogni vettura e' una commessa con perizia, ricambi e tempi di consegna. La domanda e' una sola e va fatta cosi': 'dove segnate a che punto e' ogni vettura, e come sapete quando esce?'. OBIEZIONE 'lo so a memoria' -> Voss-labeling: 'sembra che finora abbia funzionato'. SPIN-Implicazione: 'quando il cliente chiama per sapere se e' pronta, chi glielo dice?'",
Carrozzeria Valli (Vimercate),039 669084,Carrozzeria,Automotive,Indagine Mercato,Ricerca Form,"NON SI VENDE: si porta al form. Ogni vettura e' una commessa con perizia, ricambi e tempi di consegna. La domanda e' una sola e va fatta cosi': 'dove segnate a che punto e' ogni vettura, e come sapete quando esce?'. OBIEZIONE 'lo so a memoria' -> Voss-labeling: 'sembra che finora abbia funzionato'. SPIN-Implicazione: 'quando il cliente chiama per sapere se e' pronta, chi glielo dice?'",
Autocarrozzeria Bonino Massimo (Vimercate),039 668656,Carrozzeria,Automotive,Indagine Mercato,Ricerca Form,"NON SI VENDE: si porta al form. Ogni vettura e' una commessa con perizia, ricambi e tempi di consegna. La domanda e' una sola e va fatta cosi': 'dove segnate a che punto e' ogni vettura, e come sapete quando esce?'. OBIEZIONE 'lo so a memoria' -> Voss-labeling: 'sembra che finora abbia funzionato'. SPIN-Implicazione: 'quando il cliente chiama per sapere se e' pronta, chi glielo dice?'",
Carrozzeria Cognolato (Vimercate),039 666160,Carrozzeria,Automotive,Indagine Mercato,Ricerca Form,"NON SI VENDE: si porta al form. Ogni vettura e' una commessa con perizia, ricambi e tempi di consegna. La domanda e' una sola e va fatta cosi': 'dove segnate a che punto e' ogni vettura, e come sapete quando esce?'. OBIEZIONE 'lo so a memoria' -> Voss-labeling: 'sembra che finora abbia funzionato'. SPIN-Implicazione: 'quando il cliente chiama per sapere se e' pronta, chi glielo dice?' NOTA: stesso numero della Carrozzeria Ronco di Villa Marco - verificare con quale insegna rispondono, potrebbe essere una sola realta'.",
Carrozzeria Valli S.n.c. di Valli Mario (Vimercate),039 6083133,Carrozzeria,Automotive,Indagine Mercato,Ricerca Form,"NON SI VENDE: si porta al form. Ogni vettura e' una commessa con perizia, ricambi e tempi di consegna. La domanda e' una sola e va fatta cosi': 'dove segnate a che punto e' ogni vettura, e come sapete quando esce?'. OBIEZIONE 'lo so a memoria' -> Voss-labeling: 'sembra che finora abbia funzionato'. SPIN-Implicazione: 'quando il cliente chiama per sapere se e' pronta, chi glielo dice?'",
Rosso Igor (Vimercate),334 9757377,Carrozzeria,Automotive,Indagine Mercato,Ricerca Form,"NON SI VENDE: si porta al form. Ogni vettura e' una commessa con perizia, ricambi e tempi di consegna. La domanda e' una sola e va fatta cosi': 'dove segnate a che punto e' ogni vettura, e come sapete quando esce?'. OBIEZIONE 'lo so a memoria' -> Voss-labeling: 'sembra che finora abbia funzionato'. SPIN-Implicazione: 'quando il cliente chiama per sapere se e' pronta, chi glielo dice?'",
Service Network S.r.l.s. (Vimercate),039 6083620,Carrozzeria,Automotive,Indagine Mercato,Ricerca Form,"NON SI VENDE: si porta al form. Ogni vettura e' una commessa con perizia, ricambi e tempi di consegna. La domanda e' una sola e va fatta cosi': 'dove segnate a che punto e' ogni vettura, e come sapete quando esce?'. OBIEZIONE 'lo so a memoria' -> Voss-labeling: 'sembra che finora abbia funzionato'. SPIN-Implicazione: 'quando il cliente chiama per sapere se e' pronta, chi glielo dice?' NOTA: S.r.l.s. recente - impresa giovane, piu' aperta a un gestionale nuovo di una bottega storica.",
E.Go. Car di Gori Enrico (Burago di Molgora),338 4558571,Carrozzeria,Automotive,Indagine Mercato,Ricerca Form,"NON SI VENDE: si porta al form. Ogni vettura e' una commessa con perizia, ricambi e tempi di consegna. La domanda e' una sola e va fatta cosi': 'dove segnate a che punto e' ogni vettura, e come sapete quando esce?'. OBIEZIONE 'lo so a memoria' -> Voss-labeling: 'sembra che finora abbia funzionato'. SPIN-Implicazione: 'quando il cliente chiama per sapere se e' pronta, chi glielo dice?'",
Nuova Diamond Car Centro Revisione (Arcore),039 6015792,Carrozzeria,Automotive,Indagine Mercato,Ricerca Form,"NON SI VENDE: si porta al form. Ogni vettura e' una commessa con perizia, ricambi e tempi di consegna. La domanda e' una sola e va fatta cosi': 'dove segnate a che punto e' ogni vettura, e come sapete quando esce?'. OBIEZIONE 'lo so a memoria' -> Voss-labeling: 'sembra che finora abbia funzionato'. SPIN-Implicazione: 'quando il cliente chiama per sapere se e' pronta, chi glielo dice?' NOTA: fanno anche revisioni = agenda a slot oltre alle commesse. Chiedere come incastrano le due cose.",
Khs Italia - Il Carrozziere Lampo (Arcore),039 616035,Carrozzeria,Automotive,Indagine Mercato,Ricerca Form,"NON SI VENDE: si porta al form. Ogni vettura e' una commessa con perizia, ricambi e tempi di consegna. La domanda e' una sola e va fatta cosi': 'dove segnate a che punto e' ogni vettura, e come sapete quando esce?'. OBIEZIONE 'lo so a memoria' -> Voss-labeling: 'sembra che finora abbia funzionato'. SPIN-Implicazione: 'quando il cliente chiama per sapere se e' pronta, chi glielo dice?' NOTA: il nome promette tempi rapidi ('Lampo'): la domanda sui tempi di consegna li tocca dove si sono posizionati.",
