Nome Azienda,Telefono / Cellulare,Tipo Azienda,Settore,Servizio da Vendere,Prezzo Indicativo,Note Strategiche (Claude),Esito e Note Giulia
Fondazione Istituto Geriatrico La Pelucca Onlus (Cusano Milanino),02 26223991,Istituto geriatrico,Sanita' e assistenza,DenkiShift,2 EUR/dipendente/mese,"SEGNALE: struttura residenziale per anziani = H24, sette giorni, sostituzioni continue. Chiamare 10:00-12:00 o 14:30-16:00, MAI al cambio turno (7, 14, 22). GANCIO: 'chi fa i turni da voi?'. OBIEZIONE 'usiamo Excel' -> Voss-mirroring: 'Excel?' -> lascia parlare. SPIN-Implicazione: 'quando salta un'operatrice di notte, chi la sostituisce e quanto ci mette a trovarla?'",
Rsa I Giardini di Senago (Senago),02 40043752,RSA,Sanita' e assistenza,DenkiShift,2 EUR/dipendente/mese,"SEGNALE: RSA, H24. Fascia 10:00-12:00. QUALIFICA prima di tutto: sopra i 50 dipendenti hanno gia' un gestionale HR imposto. SPIN-Situazione: 'quante persone gestite sui turni?' - se sotto 8, si saluta. SPIN-Implicazione: 'un cambio turno comunicato male quanto vi costa in straordinari?'",
Ricovero Ferdinando Uboldi (Paderno Dugnano),02 9181788,Casa di riposo,Sanita' e assistenza,DenkiShift,2 EUR/dipendente/mese,"SEGNALE: H24 sette giorni. Fondazione storica: decisioni lente, ma se entra resta. GANCIO: 'parlo con chi organizza i turni degli operatori'. OBIEZIONE 'decide il consiglio' -> Blount: accetta, spiazza ('perfetto, allora le porto qualcosa da far vedere al consiglio'), chiedi l'incontro.",
Sandro Pertini (Garbagnate Milanese),02 994308200,Casa di riposo,Sanita' e assistenza,DenkiShift,2 EUR/dipendente/mese,"SEGNALE: H24. Centralino con numero lungo = struttura grande, filtro in ingresso. GANCIO: superare il centralino chiedendo direttamente il coordinatore infermieristico, non 'il responsabile'. SPIN-Problema: 'i turni li rifate ogni settimana o ogni mese?'",
Gallazzi Vismara (Arese),02 931931,Casa di riposo,Sanita' e assistenza,DenkiShift,2 EUR/dipendente/mese,"SEGNALE: H24. Struttura di paese: piu' facile arrivare al decisore, ma verificare la soglia degli 8. SPIN-Situazione: 'quanti operatori avete in organico?'. Se sotto 8: 'Troppo piccoli' e si passa oltre, senza insistere.",
Casa di Riposo Intercomunale per Persone Anziane Onlus (Saronno),02 96709168,Casa di riposo,Sanita' e assistenza,DenkiShift,2 EUR/dipendente/mese,"SEGNALE: H24, ente intercomunale. Fuori dal cuore della Brianza ma dentro l'asse Groane. GANCIO: 'chi fa la pianificazione del personale'. SPIN-Implicazione: 'quante ore al mese ci passa chi prepara i turni?'",
pro.ges. Societa' Cooperativa Sociale (Caronno Pertusella),02 96457211,Cooperativa socio-assistenziale,Sanita' e assistenza,DenkiShift,2 EUR/dipendente/mese,"SEGNALE: cooperativa che gestisce piu' strutture = personale sparso su piu' sedi con orari diversi. Se entra qui, entra su tutte. GANCIO: la molteplicita' delle sedi. SPIN-Implicazione: 'come sapete, sede per sede, chi e' in turno domani?'",
Berti e Ferraresi (Paderno Dugnano),02 99046937,Impresa di pulizie,Servizi B2B,DenkiShift,2 EUR/dipendente/mese,"SEGNALE: personale sparso su piu' cantieri, ogni giorno diverso - il dolore piu' alto dopo le RSA, e il segmento meno battuto (chi vende software fa i ristoranti). Chiamare 9:30-11:30, MAI prima delle 9. GANCIO: 'come sanno i suoi, la mattina, dove devono andare?'. SPIN-Implicazione: 'se uno sbaglia cantiere, quanto perde in una mattina?'",
FMC ServiceS (Limbiate),388 3897483,Impresa di pulizie,Servizi B2B,DenkiShift,2 EUR/dipendente/mese,"SEGNALE: piu' cantieri, orari sfalsati. ATTENZIONE: risulta un secondo numero (327 8854190) intestato a 'Fmc' allo stesso comune: probabile stessa impresa, una telefonata sola. QUALIFICA sulla soglia degli 8. SPIN-Situazione: 'quante squadre avete in giro in una giornata?'",
Impresa di pulizie Groane (Limbiate),333 3497219,Impresa di pulizie,Servizi B2B,DenkiShift,2 EUR/dipendente/mese,"SEGNALE: multi-cantiere. Numero di cellulare = si parla col titolare al primo colpo, e' un vantaggio. GANCIO diretto: 'lei e' il titolare? Le rubo trenta secondi'. OBIEZIONE 'siamo pochi' -> qualifica onesta: sotto 8 si saluta.",
