Account IG,Nome attivita,Comune (prov),Segmento,Follower,Gancio (1-6),Esito verifica sito,DM inviato (data),Esito DM,Messaggio,Scheda
@bis_hotelvarese,Bis Hotel Varese,Varese (VA),Albergo,495,T,"cercato «hotel varese» nella ricerca di Instagram → profilo letto l'11/9: Via Arnaldo Fusinato 35 Varese, hotel con prenotazioni via booking@bishotelvarese.it, sito bishotelvarese.it, 103 post · [verifica-turni] albergo con reception e camere: ricevimento coperto tutti i giorni e pulizie su fasce diverse",,,"Buongiorno, sono Patrick Sappa. Ho una piccola software house a Seveso, DenkiCode.

Ho guardato il Bis Hotel, in via Fusinato. Un albergo che tiene la reception aperta tutti i giorni ha almeno due squadre che si incastrano, ricevimento e piani.

Come li fate i turni, ancora su un foglio o sul gruppo WhatsApp?

Abbiamo fatto un programma per quello. La settimana si costruisce una volta, ognuno vede la sua sul telefono, e quando salta qualcuno dice subito chi è libero.

Glielo faccio vedere in dieci minuti in videochiamata, quando le torna comodo. Se non le serve me lo dice e non mi sente più.","Via Arnaldo Fusinato 35, Varese. Hotel. Sito bishotelvarese.it, prenotazioni via mail. 103 post, 495 follower."
@art_hotel_varese,Art Hotel Varese,Varese (VA),Albergo,1049,T,"cercato «hotel varese» nella ricerca di Instagram → profilo letto l'11/9: villa storica restaurata nel centro di Varese, pet friendly, sito arthotelvarese.it, 57 post · [verifica-turni] albergo in villa: reception, camere e colazioni sono tre orari diversi",,,"Buongiorno, sono Patrick Sappa, DenkiCode, una piccola software house a Seveso.

Ho guardato l'Art Hotel, la villa restaurata in centro. Reception, camere e colazioni non fanno mai gli stessi orari.

Le chiedo una cosa sola: i turni li fate ancora a mano?

Il nostro programma fa questo. Chi coordina costruisce la settimana una volta, ogni persona la vede sul suo telefono, e le ferie entrano lì senza rifare i conti.

Dieci minuti in videochiamata e vede se vale qualcosa per voi. Glieli chiedo, e basta.","Villa storica restaurata nel centro di Varese, pet friendly. Sito arthotelvarese.it. 57 post, 1.049 follower."
@capolagohotel,Capolago Hotel,Varese (VA),Albergo,2281,T,"cercato «hotel varese» nella ricerca di Instagram → profilo letto l'11/9: si presenta come punto di riferimento per aziende, professionisti e società sportive, sito capolago.it, 83 post · [verifica-turni] albergo che lavora su gruppi e squadre sportive: arrivi concentrati e camere da girare in blocco",,,"Buongiorno, sono Patrick Sappa. Ho una piccola software house a Seveso, DenkiCode.

Ho visto che al Capolago arrivano squadre sportive e gruppi aziendali. Sono arrivi concentrati, e le camere vanno girate tutte insieme.

Con quel tipo di lavoro i turni chi li fa, e come li comunica?

Abbiamo fatto un programma per questo. La settimana si costruisce una volta sola, ognuno vede la sua sul telefono, e i cambi non passano più dai messaggi.

Glielo faccio vedere in dieci minuti in videochiamata, quando le torna comodo. Se non le serve me lo dice e non mi sente più.","Varese, zona Capolago. Si presenta come punto di riferimento per aziende, professionisti e società sportive. Sito capolago.it. 83 post, 2.281 follower."
@hotelroyalfalcone_monza,Hotel Royal Falcone,Monza (MB),Albergo,795,T,"cercato «hotel monza» nella ricerca di Instagram → profilo letto l'11/9: Corso Milano 5 Monza, quattro stelle, CIR 108033-ALB-00006 in bio, sito royalfalcone.com, 391 post · [verifica-turni] quattro stelle in centro: reception H24 e piani, due squadre che non si sovrappongono mai",,,"Buongiorno, sono Patrick Sappa, DenkiCode, una piccola software house a Seveso.

Ho guardato il Royal Falcone, in corso Milano. Un quattro stelle non spegne mai la reception. Notti, mattine e piani vanno incastrati.

Oggi chi fa il quadro dei turni, e su cosa?

Abbiamo fatto un programma che serve a quello. Si costruisce la settimana una volta, ognuno la vede sul telefono, e quando uno si dà malato dice chi è libero senza cinque telefonate.

In dieci minuti glielo mostro, quando vuole lei. Se non serve me lo dice e chiudiamo qui.","Corso Milano 5, Monza. Quattro stelle, CIR dichiarato in bio. Sito royalfalcone.com. 391 post, 795 follower."
@hotel_pioppeto,Hotel Pioppeto,Saronno (VA),Albergo,3738,T,"cercato «hotel saronno» nella ricerca di Instagram → profilo letto l'11/9: Via Strà Madonna 15 Saronno, albergo business vicino a Milano con camere business standard e smart, 425 post · [verifica-turni] albergo d'affari: riempimento infrasettimanale e squadre di ricevimento e piani su orari diversi",,,"Buongiorno, sono Patrick Sappa. Ho una piccola software house a Seveso, DenkiCode.

Ho guardato il Pioppeto. Un albergo d'affari si riempie in settimana e si svuota nel fine settimana, e la squadra deve seguire quel ritmo.

I turni come li costruite adesso?

Il nostro programma fa una cosa sola. La settimana si prepara una volta, ognuno la vede sul suo telefono, e chi ha già fatto troppe ore si vede subito.

Glielo faccio vedere in dieci minuti in videochiamata, quando le torna comodo. Se non le serve me lo dice e non mi sente più.","Via Strà Madonna 15, Saronno. Albergo business vicino a Milano, camere business, standard e smart. 425 post, 3.738 follower."
@hotelalberilecco,Hotel Alberi,Lecco (LC),Albergo,462,T,"cercato «hotel lecco» nella ricerca di Instagram → profilo letto l'11/9: albergo storico dell'ospitalità lecchese, in bio parlano dello staff, sito hotelalberi.it, 139 post · [verifica-turni] albergo con staff dichiarato in bio: reception e piani su orari diversi tutti i giorni",,,"Buongiorno, sono Patrick Sappa, DenkiCode, una piccola software house a Seveso.

Ho guardato l'Hotel Alberi. Nella vostra presentazione lo staff viene prima delle camere, e si vede.

Proprio per questo le chiedo: i turni di quella squadra chi li fa, e come glieli comunica?

Abbiamo fatto un programma per i turni. Si costruisce la settimana una volta, ognuno vede la sua sul telefono, e i cambi si chiudono lì dentro.

Glielo faccio vedere in dieci minuti in videochiamata, quando le torna comodo. Se non le serve me lo dice e non mi sente più.","Lecco. Albergo storico dell'ospitalità lecchese. In bio mettono lo staff al centro. Sito hotelalberi.it. 139 post, 462 follower."
@bellavistalecco,Hotel Bellavista,Valmadrera (LC),Albergo,410,T,"cercato «hotel lecco» nella ricerca di Instagram → profilo letto l'11/9: frazione Parè 87 Valmadrera, vista sul lago, sito hbvl.it, 90 post · [verifica-turni] albergo sul lago: stagionalità forte, la squadra cambia fra alta e bassa",,,"Buongiorno, sono Patrick Sappa. Ho una piccola software house a Seveso, DenkiCode.

Ho guardato il Bellavista, a Parè. Un albergo sul lago ha mesi pieni e mesi vuoti, e la squadra cambia insieme alla stagione.

Quando entra gente nuova, i turni li rifate da capo ogni volta?

Abbiamo un programma che tiene la settimana in un posto solo. Ognuno vede la sua sul telefono, e chi arriva a metà stagione la trova già fatta.

In dieci minuti glielo mostro, quando vuole lei. Se non serve me lo dice e chiudiamo qui.","Frazione Parè 87, Valmadrera (LC). Vista lago. Sito hbvl.it. 90 post, 410 follower."
@mimesis11como,Mímesis 11 Boutique Hotel,Como (CO),Albergo,5040,T,"cercato «hotel como» nella ricerca di Instagram → profilo letto l'11/9: boutique hotel sul lago di Como, undici camere dichiarate in bio, premiato Boutique Hotel of the Year 2026/2027, 94 post · [verifica-turni] undici camere con servizio da boutique: poche persone che coprono tutto, ed e' li' che i turni fanno male",,,"Buongiorno, sono Patrick Sappa, DenkiCode, una piccola software house a Seveso.

Ho guardato Mímesis 11. Undici camere con quel livello di servizio vogliono dire poche persone che coprono tutto, dalla colazione alla sera.

Quando una salta, come rimettete insieme la settimana?

Abbiamo fatto un programma per i turni. Si costruisce una volta, ognuno vede la sua sul telefono, e quando manca qualcuno dice subito chi è libero.

Glielo faccio vedere in dieci minuti in videochiamata, quando le torna comodo. Se non le serve me lo dice e non mi sente più.","Lago di Como, piazza Alcide. Boutique hotel, undici camere dichiarate in bio. Boutique Hotel of the Year 2026/2027. 94 post, 5.040 follower."
@hotelpostamoltrasio,Hotel Posta Moltrasio,Moltrasio (CO),Albergo,3093,T,"cercato «hotel como» nella ricerca di Instagram → profilo letto l'11/9: famiglia Vanini-Taroni dal 1932, albergo sul lago di Como a Moltrasio, 1.674 post · [verifica-turni] albergo di famiglia dal 1932 con ristorazione: sala e camere su orari diversi",,,"Buongiorno, sono Patrick Sappa. Ho una piccola software house a Seveso, DenkiCode.

Ho guardato il Posta. Novantatré anni di famiglia sullo stesso albergo, e una squadra che fra camere e sala non fa mai gli stessi orari.

I turni li tenete ancora su carta?

Abbiamo fatto un programma per quello. La settimana si costruisce una volta, ognuno la vede sul telefono, e le sostituzioni entrano lì senza rifare i conti a mano.

Dieci minuti in videochiamata e vede se vale qualcosa per voi. Glieli chiedo, e basta.","Moltrasio (CO), sul lago. Famiglia Vanini-Taroni dal 1932. 1.674 post, 3.093 follower."
@palacegrandhotelvarese,Palace Grand Hotel Varese,Varese (VA),Albergo con ristorante,5241,T,"cercato «hotel varese» nella ricerca di Instagram → profilo letto l'11/9: Grand Hotel Liberty aperto nel 1913, parte de I Palazzi Hotels, ristorante gourmet e spazi per eventi, 886 post · [verifica-turni] albergo storico con ristorante gourmet ed eventi: tre squadre, e gli eventi spostano gli orari di tutte",,,"Buongiorno, sono Patrick Sappa, DenkiCode, una piccola software house a Seveso.

Ho guardato il Palace. Camere, ristorante gourmet, sale per eventi: tre squadre. Ogni data in più sposta gli orari di tutte.

Quando arriva una data in più, chi rifà il quadro?

Abbiamo fatto un programma che serve a questo. La settimana si costruisce una volta, ognuno vede la sua sul telefono, e chi ha già fatto troppe ore si vede prima di assegnargli il turno.

Dieci minuti in videochiamata e vede se vale qualcosa per voi. Glieli chiedo, e basta.","Varese, via Manara. Grand Hotel Liberty del 1913, parte de I Palazzi Hotels. Ristorante gourmet e spazi per eventi. 886 post, 5.241 follower."
