Nome,Telefono,Comune,Segmento,Segnale,Prodotto,Prezzo indicativo,Esito,Data richiamo,Appuntamento,Esito appuntamento,Note
Asp Pio e Ninetta Gavazzi,0362 616211,Desio,RSA,H24 sette giorni su sette,C - DenkiShift,2 EUR/dip./mese,,,,,Struttura grande. Seconda sede in Via dei Mariani
Asp Pio e Ninetta Gavazzi - sede Mariani,0362 306854,Desio,RSA,H24 sette giorni su sette,C - DenkiShift,2 EUR/dip./mese,,,,,Stessa proprieta della sede Villa Canonico. Chiedere chi coordina i turni delle due sedi
Rsa Don Emilio Meani,0362 501167,Cesano Maderno,RSA,H24 - 90 posti letto su 6 nuclei,C - DenkiShift,2 EUR/dip./mese,,,,,Il piu grande della lista. 6 nuclei da 15 posti = molte squadre da incastrare
Fondazione Giuseppe Besana Onlus,0362 71723,Meda,RSA,H24 sette giorni su sette,C - DenkiShift,2 EUR/dip./mese,,,,,
Punto Service Cooperativa Sociale,0362 282431,Meda,RSA / cooperativa,H24 + personale su piu strutture,C - DenkiShift,2 EUR/dip./mese,,,,,Gestisce piu sedi: Meda Desio Monza. Se entra qui entra su tutte
Punto Service Cooperativa Sociale,0362 304060,Desio,RSA / cooperativa,H24 + personale su piu strutture,C - DenkiShift,2 EUR/dip./mese,,,,,Stessa cooperativa della sede di Meda
Centro Don Gnocchi,0362 323800,Seregno,RSA,H24 sette giorni su sette,C - DenkiShift,2 EUR/dip./mese,,,,,Fondazione nazionale: verificare se i turni li decide la sede locale
Rsa Ronzoni Villa,0362 3231,Seregno,RSA,H24 sette giorni su sette,C - DenkiShift,2 EUR/dip./mese,,,,,Stesso indirizzo del Don Gnocchi (Viale Piave 12): verificare se sono la stessa realta
Fondazione G Ronzoni e Sac G Villa,0362 243358,Seregno,RSA,H24 sette giorni su sette,C - DenkiShift,2 EUR/dip./mese,,,,,Via Minoretti 18
Apar Societa,0362 232305,Seregno,RSA,H24 sette giorni su sette,C - DenkiShift,2 EUR/dip./mese,,,,,
Cooperativa Sociale Eden Onlus,0362 241123,Seregno,RSA / cooperativa,H24 + assistenza,C - DenkiShift,2 EUR/dip./mese,,,,,
Piccolo Cottolengo Don Orione,DA TROVARE,Seregno,RSA,H24 - 69 ospiti di cui 20 Alzheimer,C - DenkiShift,2 EUR/dip./mese,,,,,Numero non trovato. Sito orioneseregno.it - assistenza medica e infermieristica 24 ore
San Lab Consorzio di Cooperative Sociali,0362 57791,Barlassina,Cooperativa sociale,Personale su piu servizi e orari,C - DenkiShift,2 EUR/dip./mese,,,,,Consorzio: puo aprire piu cooperative associate
San Lab Consorzio di Cooperative Sociali,0362 1400031,Seregno,Cooperativa sociale,Personale su piu servizi e orari,C - DenkiShift,2 EUR/dip./mese,,,,,Seconda sede dello stesso consorzio
