comune,km,nome,piva,settore,ateco,attivita,fatturato,anno,personale,dipendenti,indirizzo,prova
Seveso,0.0,FOUR STUDIOS EQUIPMENT & SERVICE S.R.L.,09468600961,Allestimento,77.39.94,"Noleggio di strutture ed attrezzature per manifestazioni e spettacoli: impianti luce ed audio senza operatore, palchi, stand ed addobbi luminosi",1323633,2024,398932,da 16 a 19,"Via Alessandro Manzoni, 9","PG «four studios equipment service» in seveso: 0 risultati, nessuno con nome e comune coincidenti"
Bovisio-masciago,3.8,NEW PROJECT SRL,11413180966,Facchinaggio,52.24.4,Movimento merci relativo ad altri trasporti terrestri,288134,2021,210041,da 3 a 5,"Via Ponchielli, 15","PG «new project» in bovisio-masciago: 6 risultati, nessuno con nome e comune coincidenti"
Lentate Sul Seveso,4.2,GIMAGI S.R.L.,11078770960,Allestimento,77.39.94,"Noleggio di strutture ed attrezzature per manifestazioni e spettacoli: impianti luce ed audio senza operatore, palchi, stand ed addobbi luminosi",557729,2023,85561,da 10 a 15,"Piazza San Vito, 13","PG «gimagi» in lentate sul seveso: 0 risultati, nessuno con nome e comune coincidenti"
Seregno,5.3,N.B. LOGISTICA S.R.L.,10086410965,Facchinaggio,52.24.4,Movimento merci relativo ad altri trasporti terrestri,1336264,2024,747289,da 20 a 49,"Via Claudio Monteverdi, 8","PG «nb logistica» in seregno: 25 risultati, nessuno con nome e comune coincidenti"
Solaro,5.6,AMICI SRLS,12548640965,Facchinaggio,52.24.4,Movimento merci relativo ad altri trasporti terrestri,1379248,2024,808287,da 20 a 49,"Via San Giovanni Bosco, 28","PG «amici» in solaro: 17 risultati, nessuno con nome e comune coincidenti"
Senago,7.4,AKA DESIGN S.R.L.,10138710966,Allestimento,77.39.94,"Noleggio di strutture ed attrezzature per manifestazioni e spettacoli: impianti luce ed audio senza operatore, palchi, stand ed addobbi luminosi",952063,2024,128448,da 3 a 5,"Via Mazzini, 1","PG «aka design» in senago: 22 risultati, nessuno con nome e comune coincidenti"
Saronno,8.2,FONSECA CORPORATION SOCIETA' COOPERATIVA,03288580123,Facchinaggio,52.24.4,Movimento merci relativo ad altri trasporti terrestri,503966,,,,"Via Monte Sabotino, 17","PG «fonseca corporation» in saronno: 0 risultati, nessuno con nome e comune coincidenti"
Saronno,8.2,GG SUPPORTO LOGISTICO SRLS,03595200126,Facchinaggio,52.24.4,Movimento merci relativo ad altri trasporti terrestri,484106,2019,196160,1,"Via Giuditta Pasta, 23","PG «gg supporto logistico» in saronno: 0 risultati, nessuno con nome e comune coincidenti"
Paderno Dugnano,8.3,HIGH SPEED SOCIETA' COOPERATIVA IN BREVE HS SOC. COOP.,10785300962,Facchinaggio,52.24.4,Movimento merci relativo ad altri trasporti terrestri,1390257,,,,"Via Iv Novembre, 7/A","PG «high speed hs» in paderno dugnano: 0 risultati, nessuno con nome e comune coincidenti"
Paderno Dugnano,8.3,SCENOLUMINOSO S.R.L.,13526050961,Allestimento,90.02.01,Noleggio con operatore di strutture ed attrezzature per manifestazioni e spettacoli,939638,2024,311129,da 10 a 15,"Via Magretti, 22","PG «scenoluminoso» in paderno dugnano: 0 risultati, nessuno con nome e comune coincidenti"
