Account IG,Nome attivita,Comune (prov),Segmento,Follower,Gancio (1-6),Esito verifica sito,DM inviato (data),Esito DM,Messaggio,Scheda,Lista,Prodotto,Letto (data),Chat
@odabeauty.bergamo,Oda Beauty,Bergamo (BG),Estetica e nail,2717,5,"cercato «""Oda Beauty"" Bergamo» → profilo letto il 15/9 dalla sessione di Patrick: 152 post, 2717 follower, link in bio: https://wa.me/3714255992. bio: via Tasso 50A Bergamo, appuntamenti solo via WhatsApp, link wa.me. Nessun dominio in bio [verifica-sito] motori «""Oda Beauty"" Bergamo»: 6 risultati · domini: odabeauty.fr (vivo: ODA BEAUTY - Coiffeuse à Domicile à Grasse); hackerone.com (vivo: HackerOne | Leader in Continuous Threat Exposure Management | Security for AI); status.brave.app (vivo: Brave status); odabeauty.com (vivo, indovinato: OdaBeauty.com is for sale | HugeDomains); oda-beauty.com (vivo, indovinato) · directory: treatwell.it, aromavero.it, instagram.com · aperti il 16/9: odabeauty.fr è una parrucchiera a domicilio a Grasse, in Francia, odabeauty.com è in vendita e oda-beauty.com è parcheggiato: stesso nome ma altra attività, non è loro. Fra i risultati c'è la loro scheda Treatwell",,,"Ciao, sono Patrick di DenkiCode. Ho guardato il profilo di Oda Beauty: nails, ciglia e sopracciglia in via Tasso, e centocinquanta post che sembrano una rivista.

Ho notato però una cosa: gli appuntamenti passano solo da WhatsApp, e su Google di voi esce la scheda Treatwell, che è una pagina dentro il sito di qualcun altro: un sito vostro non c'è.

Abbiamo preso ispirazione dal vostro profilo e abbiamo realizzato una bozza del vostro sito.

Preferite che ve la mandi qui su Instagram, o prima ne parliamo due minuti al telefono? In ogni caso zero costi e zero impegno: se vi piace, poi ne parliamo. Se volete vedere cosa facciamo: denkicode.com","ODA BEAUTY / Nails | Lashes | Brows / Refined beauty in every detail / BERGAMO / Via Tasso 50A / Appointments exclusively via WhatsApp. tel 3714285992. 152 post, 2717 follower.",2026-09-16-instagram-siti-bergamo.csv,siti,,
@parisinails,Lorenza Parisi Nails,Bergamo (BG),Nail,1198,1,"cercato «""Lorenza Parisi Nails"" Bergamo» → profilo letto il 15/9 dalla sessione di Patrick: quattrocentotre post, 1198 follower, nessun link in bio. bio: 11 anni nel mondo nails, estetista specializzata, nails e lash lift e brow lamination, telefono 3458368947, nessun link [verifica-sito] motori «""Lorenza Parisi Nails"" Bergamo»: 13 risultati · domini: paulanails.weebly.com (piattaforma: Estetica & Nails - Home); loop.frontiersin.org (vivo); adiflagstore.it (vivo: Adi Hair Shop); hackerone.com (vivo: HackerOne | Leader in Continuous Threat Exposure Management | Security for AI); status.brave.app (vivo: Brave status) · directory: instagram.com, m.facebook.com, yelp.com, prontopro.it",,,"Ciao, sono Patrick di DenkiCode. Ho guardato il tuo profilo: undici anni di unghie, quattrocento post di lavori, e la frase «le mie nails creano dipendenza» che è già uno slogan.

Ho notato però una cosa: chi cerca un'onicotecnica a Bergamo su Google trova le schede degli altri, e un sito tuo non c'è.

Abbiamo preso ispirazione dal tuo profilo e abbiamo realizzato una bozza del tuo sito.

Preferisci che te la mandi qui su Instagram, o prima ne parliamo due minuti al telefono? In ogni caso zero costi e zero impegno: se ti piace, poi ne parliamo. Se vuoi vedere cosa facciamo: denkicode.com","Parisi Lorenza / 11 anni nel mondo Nails / Estetista Specializzata / Nails & Lash lift & Brow Lamination / Le mie nails creano dipendenza. tel 3458368947. quattrocentotre post, 1198 follower.",2026-09-16-instagram-siti-bergamo.csv,siti,,
@unghiettee,Unghiettee,Bergamo (BG),Nail,2229,1,"cercato «""Unghiettee"" Bergamo» → profilo letto il 15/9 dalla sessione di Patrick: 191 post, 2229 follower, link in bio: http://www.tiktok.com/@daariiuz http://www.tiktok.com/@daariiuz https://pin.it/2aSe3kycn. bio: based in Bergamo, «read info before booking», link a tiktok.com e pin.it. Nessun dominio proprio [verifica-sito] motori «""Unghiettee"" Bergamo»: 3 risultati · domini: it.pinterest.com (vivo: Pinterest - Italia); hackerone.com (vivo: HackerOne | Leader in Continuous Threat Exposure Management | Security for AI); status.brave.app (vivo: Brave status)",,,"Ciao, sono Patrick di DenkiCode. Ho guardato il tuo profilo: quasi duecento post di unghie e più di duemila persone che ti seguono a Bergamo.

Ho notato però una cosa: in bio ci sono TikTok e Pinterest, ma chi ti cerca su Google trova solo quelli, e un sito tuo non c'è.

Abbiamo preso ispirazione dal tuo profilo e abbiamo realizzato una bozza del tuo sito.

Preferisci che te la mandi qui su Instagram, o prima ne parliamo due minuti al telefono? In ogni caso zero costi e zero impegno: se ti piace, poi ne parliamo. Se vuoi vedere cosa facciamo: denkicode.com","i'm @daariuzz / based in Bergamo / read “info” before booking. 191 post, 2229 follower.",2026-09-16-instagram-siti-bergamo.csv,siti,,
@madeforyournails,Alessia Napoletano Onicotecnica,Ponte San Pietro (BG),Nail,416,5,"cercato «""Alessia Napoletano Onicotecnica"" Ponte San Pietro» → profilo letto il 15/9 dalla sessione di Patrick: 50 post, 416 follower, link in bio: https://www.sumupbookings.com/madeforyournails https://www.sumupbookings.com/madeforyournails https://wa.me/393791630784?countryName=IT&countryCode=39&phoneNumber=3791630784 http://subscribepage.io/Madeforyournails. bio: via Roma 52 Ponte San Pietro, link a sumupbookings.com e subscribepage.io, WhatsApp 3791630784. Prenotazioni su piattaforma, nessun dominio proprio [verifica-sito] motori «""Alessia Napoletano Onicotecnica"" Ponte San Pietro»: 16 risultati · domini: miodottore.it (vivo: MioDottore.it - Trova un dottore e prenota la tua visita online); accademialilianapaduano.it (vivo: Scuola Estetica Napoli | Accademia Liliana Paduano); nicotraesteticastore.com (vivo: Home - Accademia Nicotra Estetica); gammad.it (vivo: Home); grupposandonato.it (non risponde); santen.it (vivo: Home | Santen); qsalute.it (vivo: QSalute - Recensioni su ospedali, case di cura, medici, farmaci - Opinioni dei p); hackerone.com (vivo: HackerOne | Leader in Continuous Threat Exposure Management | Security for AI); status.brave.app (vivo: Brave status) · directory: aziende.virgilio.it, virgilio.it, reteimprese.it, registroaziende.it",,,"Ciao, sono Patrick di DenkiCode. Ho guardato il tuo profilo: ricostruzione con tecniche nuove, «per te che ami la precisione e la cura dei dettagli», e l'agenda già online.

Ho notato però una cosa: le prenotazioni passano da una pagina SumUp, che è un pezzo del sito di qualcun altro, e un sito tuo con il tuo nome non c'è.

Abbiamo preso ispirazione dal tuo profilo e abbiamo realizzato una bozza del tuo sito.

Preferisci che te la mandi qui su Instagram, o prima ne parliamo due minuti al telefono? In ogni caso zero costi e zero impegno: se ti piace, poi ne parliamo. Se vuoi vedere cosa facciamo: denkicode.com","Via Roma 52. mi prendo cura delle tue unghie / con tecniche innovative di ricostruzione / per te che ami la precisione e la cura dei dettagli / ⤵ per prenotare. tel 3791630784. 50 post, 416 follower.",2026-09-16-instagram-siti-bergamo.csv,siti,,
@joiss.creation,Joice Estefania,Verdello (BG),Nail e ciglia,1713,1,"cercato «""Joice Estefania"" Verdello» → profilo letto il 15/9 dalla sessione di Patrick: 226 post, 1713 follower, nessun link in bio. bio: onicotecnica e lashmaker, Verdello Bergamo, nessun link e nessun telefono [verifica-sito] motori «""Joice Estefania"" Verdello»: 0 risultati · domini: nessuno risponde",,,"Ciao, sono Patrick di DenkiCode. Ho guardato il tuo profilo: unghie e ciglia a Verdello, duecentoventi post e millesettecento persone che ti seguono.

Ho notato però una cosa: chi cerca un'onicotecnica o una lashmaker a Verdello su Google trova le schede degli altri, e un sito tuo non c'è.

Abbiamo preso ispirazione dal tuo profilo e abbiamo realizzato una bozza del tuo sito.

Preferisci che te la mandi qui su Instagram, o prima ne parliamo due minuti al telefono? In ogni caso zero costi e zero impegno: se ti piace, poi ne parliamo. Se vuoi vedere cosa facciamo: denkicode.com","onicotecnica / lashmaker / Verdello | Bergamo. 226 post, 1713 follower.",2026-09-16-instagram-siti-bergamo.csv,siti,,
@juliapareestetica,Centro Estetico Julia Pare,Bergamo (BG),Estetica,2548,1,"cercato «""Centro Estetico Julia Pare"" Bergamo» → profilo letto il 15/9 dalla sessione di Patrick: 177 post, 2548 follower, nessun link in bio. bio: via Leopardi 2D Bergamo, «prenota subito» in DM, telefono 3420575918, nessun link [verifica-sito] motori «""Centro Estetico Julia Pare"" Bergamo»: 0 risultati · domini: nessuno risponde",,,"Ciao, sono Patrick di DenkiCode. Ho guardato il vostro profilo: estetica base e avanzata in via Leopardi, e duemilacinquecento persone che vi seguono.

Ho notato però una cosa: si prenota solo dai messaggi, e chi cerca un centro estetico a Bergamo su Google trova le schede degli altri, non un sito vostro.

Abbiamo preso ispirazione dal vostro profilo e abbiamo realizzato una bozza del vostro sito.

Preferite che ve la mandi qui su Instagram, o prima ne parliamo due minuti al telefono? In ogni caso zero costi e zero impegno: se vi piace, poi ne parliamo. Se volete vedere cosa facciamo: denkicode.com","Via Leopardi, 2D. Trattamenti estetica base e avanzata / Vi aiutiamo d’essere ancora più belle / Via G.Leopardi, 2D / Prenota subito. tel 3420575918. 177 post, 2548 follower.",2026-09-16-instagram-siti-bergamo.csv,siti,,
@saralashtech,Sara Lash Tech,Stezzano (BG),Ciglia,886,1,"cercato «""Sara Lash Tech"" Stezzano» → profilo letto il 15/9 dalla sessione di Patrick: 45 post, 886 follower, nessun link in bio. bio: Stezzano (BG), DM per info e appuntamenti, nessun link e nessun telefono [verifica-sito] motori «""Sara Lash Tech"" Stezzano»: 0 risultati · domini: nessuno risponde",,,"Ciao, sono Patrick di DenkiCode. Ho guardato il tuo profilo: extension ciglia e sopracciglia a Stezzano, e quasi novecento persone che ti seguono.

Ho notato però una cosa: gli appuntamenti si prendono solo in DM, e chi cerca una lash maker a Stezzano su Google non ti trova, perché un sito tuo non c'è.

Abbiamo preso ispirazione dal tuo profilo e abbiamo realizzato una bozza del tuo sito.

Preferisci che te la mandi qui su Instagram, o prima ne parliamo due minuti al telefono? In ogni caso zero costi e zero impegno: se ti piace, poi ne parliamo. Se vuoi vedere cosa facciamo: denkicode.com","Stezzano (bg) / dm per info e appuntamenti. 45 post, 886 follower.",2026-09-16-instagram-siti-bergamo.csv,siti,,
@lash_studio_elvita_solis,Elvita Lash e PMU,Bergamo (BG),Ciglia e PMU,462,1,"cercato «""Elvita Lash e PMU"" Bergamo» → profilo letto il 15/9 dalla sessione di Patrick: 245 post, 462 follower, link in bio: https://wa.me/message/2PBDKUKHONS2L1. bio: Lash e PMU artist, extension ciglia, lash lift, PMU, Bergamo, link wa.me. Nessun dominio proprio [verifica-sito] motori «""Elvita Lash e PMU"" Bergamo»: 0 risultati · domini: nessuno risponde",,,"Ciao, sono Patrick di DenkiCode. Ho guardato il tuo profilo: ciglia, lash lift e trucco permanente a Bergamo, con duecentoquarantacinque post di lavori.

Ho notato però una cosa: si prenota solo da WhatsApp, e chi cerca una lash artist a Bergamo su Google trova le schede degli altri, non un sito tuo.

Abbiamo preso ispirazione dal tuo profilo e abbiamo realizzato una bozza del tuo sito.

Preferisci che te la mandi qui su Instagram, o prima ne parliamo due minuti al telefono? In ogni caso zero costi e zero impegno: se ti piace, poi ne parliamo. Se vuoi vedere cosa facciamo: denkicode.com","Lash & PMU Artist / Extension Ciglia • Lash Lift • PMU / Sguardo impeccabile su misura , labbra da sogno / Bergamo / Prenota qui. 245 post, 462 follower.",2026-09-16-instagram-siti-bergamo.csv,siti,,
@llashed.it,Llashed,Bergamo (BG),Ciglia,1439,1,"cercato «""Llashed"" Bergamo» → profilo letto il 15/9 dalla sessione di Patrick: 53 post, 1439 follower, nessun link in bio. bio: Bergamo, DM per prenotare, info in evidenza, nessun link. Il nome del profilo finisce in .it ma in bio non c'è nessun dominio [verifica-sito] motori «""Llashed"" Bergamo»: 0 risultati · domini: nessuno risponde",,,"Ciao, sono Patrick di DenkiCode. Ho guardato il tuo profilo: extension ciglia a Bergamo e millequattrocento persone che ti seguono.

Ho notato però una cosa: si prenota solo in DM, e chi ti cerca su Google trova solo Instagram, perché un sito tuo non c'è.

Abbiamo preso ispirazione dal tuo profilo e abbiamo realizzato una bozza del tuo sito.

Preferisci che te la mandi qui su Instagram, o prima ne parliamo due minuti al telefono? In ogni caso zero costi e zero impegno: se ti piace, poi ne parliamo. Se vuoi vedere cosa facciamo: denkicode.com","Bergamo / Dm per prenotare il tuo appuntamento / (Info in evidenza). 53 post, 1439 follower.",2026-09-16-instagram-siti-bergamo.csv,siti,,
@lash.angy_,Angelica Teli Lash e PMU,Bergamo (BG),Ciglia e PMU,519,1,"cercato «""Angelica Teli Lash e PMU"" Bergamo» → profilo letto il 15/9 dalla sessione di Patrick: 22 post, 519 follower, nessun link in bio. bio: @angelicateli, certified, Lash e Pmu, Bergamo, DM for booking, nessun link [verifica-sito] motori «""Angelica Teli Lash e PMU"" Bergamo»: 0 risultati · domini: nessuno risponde",,,"Ciao, sono Patrick di DenkiCode. Ho guardato il tuo profilo: lash e trucco permanente a Bergamo, certificata, con le prenotazioni in DM.

Ho notato però una cosa: chi cerca extension ciglia a Bergamo su Google trova le schede degli altri, e un sito tuo non c'è.

Abbiamo preso ispirazione dal tuo profilo e abbiamo realizzato una bozza del tuo sito.

Preferisci che te la mandi qui su Instagram, o prima ne parliamo due minuti al telefono? In ogni caso zero costi e zero impegno: se ti piace, poi ne parliamo. Se vuoi vedere cosa facciamo: denkicode.com","@angelicateli / Certified / Lash & Pmu / Bergamo / DM for booking. 22 post, 519 follower.",2026-09-16-instagram-siti-bergamo.csv,siti,,
