Account IG,Nome attivita,Comune (prov),Segmento,Follower,Gancio (1-6),Esito verifica sito,DM inviato (data),Esito DM,Messaggio,Scheda,Lista,Prodotto,Letto (data),Chat
@mari_acconciature,Mari Acconciature,Montichiari (BS),Parrucchiere,257,1,"cercato «""Mari Acconciature"" Montichiari» → profilo aperto il 14/9: 72 post, bio con orari e indirizzo, nessun link in bio [verifica-sito] motori «""Mari Acconciature"" Montichiari»: 10 risultati · domini: capelliextension.it (vivo: Capelli EXT - Elenco delle aziende produttrici di capelli in Italia. Posizione, ); hackerone.com (vivo: HackerOne | Leader in Continuous Threat Exposure Management | Security for AI); status.brave.app (vivo: Brave status) · directory: instagram.com, localshop24.com, facebook.com, informazione-aziende.it · capelliextension.it e hackerone.com non c'entrano niente con un salone di Montichiari",,,"Ciao, sono Patrick di DenkiCode. Ho guardato il profilo di Mari Acconciature: lavori da sola e in bio hai messo gli orari, il telefono e l'indirizzo, cioè tutto quello che serve a chi ti cerca.

Ho notato però una cosa: quelle informazioni stanno in una riga di Instagram, e chi cerca una parrucchiera a Montichiari su Google non ti trova, perché un sito tuo non c'è.

Abbiamo preso ispirazione dal tuo profilo e abbiamo realizzato una bozza del tuo sito.

Preferisci che te la mandi qui su Instagram, o prima ne parliamo due minuti al telefono? In ogni caso zero costi e zero impegno: se ti piace, poi ne parliamo. Se vuoi vedere cosa facciamo: denkicode.com","Parrucchiera da sola. Via Trieste 33. Mar-Sab 8-18, telefono 3392923515. 72 post.",2026-09-14-instagram-siti-bs-bg.csv,siti,,
@hairemotion_,Hair Emotion,Montichiari (BS),Parrucchiere,969,1,"cercato «""Hair Emotion"" Montichiari» → profilo aperto il 14/9: 732 post, in bio solo un link a Facebook, nessun dominio [verifica-sito] motori «""Hair Emotion"" Montichiari»: 20 risultati · domini: fatturatoitalia.it (vivo: FatturatoItalia | Fatturato, bilanci e visure aziende); lovelyitalia.it (parcheggiato); hackerone.com (vivo: HackerOne | Leader in Continuous Threat Exposure Management | Security for AI); status.brave.app (vivo: Brave status); hairemotion.com (vivo, indovinato: Hairemotion.com - Ready for Development); hair-emotion.ch (vivo, indovinato: Haar und Kopfhaut-pflege vom feinsten - hair-emotions Webseite!); hair-emotion.eu (vivo, indovinato: STRATO - Domain reserved) · directory: instagram.com, facebook.com, fresha.com, italiarecensioni.com · fatturatoitalia.it e lovelyitalia.it sono directory di visure e domini parcheggiati, non un sito loro · aperti il 14/9: hairemotion.com dice «Ready for Development» ed e' in vendita, hair-emotion.ch e' un salone svizzero e hair-emotion.eu e' un dominio riservato su STRATO. Non e' loro, e' un'altra attivita'",,,"Ciao, sono Patrick di DenkiCode. Settecentotrenta post di lavori, e in bio una regola sola: le prenotazioni solo su WhatsApp. È una scelta chiara, non un ripiego.

Ho notato però una cosa: su Google di te esce la scheda Fresha, che è una pagina dentro il sito di qualcun altro, e un sito tuo non c'è.

Abbiamo preso ispirazione dal tuo profilo e abbiamo realizzato una bozza del tuo sito.

Preferisci che te la mandi qui su Instagram, o prima ne parliamo due minuti al telefono? In ogni caso zero costi e zero impegno: se ti piace, poi ne parliamo. Se vuoi vedere cosa facciamo: denkicode.com",Negozio in via Mantova 180/d. In bio: prenotazioni SOLO via WhatsApp al 3398452021. 732 post.,2026-09-14-instagram-siti-bs-bg.csv,siti,,
@parruchierihairstyle,Parrucchieri Hair Style,Montichiari (BS),Parrucchiere,704,1,"cercato «""Parrucchieri Hair Style"" Montichiari» → profilo aperto il 14/9: 9 post soltanto, bio senza link [verifica-sito] motori «""Parrucchieri Hair Style"" Montichiari»: 11 risultati · domini: capelliextension.it (vivo: Capelli EXT - Elenco delle aziende produttrici di capelli in Italia. Posizione, ); hackerone.com (vivo: HackerOne | Leader in Continuous Threat Exposure Management | Security for AI); status.brave.app (vivo: Brave status) · directory: oraridiapertura24.it, fresha.com, top-rated.online, instagram.com · capelliextension.it e' una directory di produttori di capelli, non il loro sito",,,"Ciao, sono Patrick di DenkiCode. «Si concentra solo sulla qualità»: è scritto in bio e detto così è una promessa, non uno slogan.

Ho notato però una cosa: su Google di voi esce la scheda Fresha, che è una pagina dentro il sito di qualcun altro, e un sito vostro non c'è.

Abbiamo preso ispirazione dal vostro profilo e abbiamo realizzato una bozza del vostro sito.

Preferite che ve la mandi qui su Instagram, o prima ne parliamo due minuti al telefono? In ogni caso zero costi e zero impegno: se vi piace, poi ne parliamo. Se volete vedere cosa facciamo: denkicode.com","Via Mantova 126/B. In bio: «Si concentra solo sulla qualita, verificalo dandoci una possibilita». Solo 9 post.",2026-09-14-instagram-siti-bs-bg.csv,siti,,
@madmats_acconciature,TheBarberShop 73 Hair&Beauty,Lumezzane (BS),Barber e parrucchiere,1678,5,"cercato «""TheBarberShop 73 Hair&Beauty"" Lumezzane» → profilo aperto il 14/9: link in bio linktr.ee/madmatsacconciature, nessun dominio proprio [verifica-sito] motori «""TheBarberShop 73 Hair&Beauty"" Lumezzane»: 17 risultati · domini: ilpuntolumezzane.it (vivo: Il Punto Lumezzane -); ebrescia.it (vivo: Attività commerciali in Brescia e provincia.); hairbeautyandbarbershop.it (vivo: Hair Beauty & Barber Shop |); hackerone.com (vivo: HackerOne | Leader in Continuous Threat Exposure Management | Security for AI); status.brave.app (vivo: Brave status) · directory: instagram.com, facebook.com, parrucchieri-italia.it, treatwell.it · [letto a mano il 14/9] ilpuntolumezzane.it e ebrescia.it sono directory di attivita', non un sito loro",,,"Ciao, sono Patrick di DenkiCode. TheBarberShop 73 e Hair&Beauty 17 sotto la stessa insegna, con settecentosessanta post a dimostrarlo.

Ho notato però una cosa: le due anime del salone stanno dentro un Linktree, e le prenotazioni su Treatwell: due pagine dentro il sito di qualcun altro, e un sito vostro non c'è.

Abbiamo preso ispirazione dal vostro profilo e abbiamo realizzato una bozza del vostro sito.

Preferite che ve la mandi qui su Instagram, o prima ne parliamo due minuti al telefono? In ogni caso zero costi e zero impegno: se vi piace, poi ne parliamo. Se volete vedere cosa facciamo: denkicode.com",Via Virgilio Montini 168c. Due insegne in una: TheBarberShop 73 e Hair&Beauty 17. 762 post. Prenotazioni via Linktree.,2026-09-14-instagram-siti-bs-bg.csv,siti,,
@marnier_hairsalon,Marnier Hair Salon,Brescia,Barber,734,5,"cercato «""Marnier Hair Salon"" Brescia» → profilo aperto il 14/9: in bio una app iOS (apps.apple.com/it/app/marnier), nessun sito [verifica-sito] motori «""Marnier Hair Salon"" Brescia»: 14 risultati · domini: barberspot.net (vivo: Encuentra las mejores barberías de España); zetabarber.it (vivo: Prenota qui il tuo taglio dal Barbiere - ZetaBarber); cutapp.it (vivo: CutApp | Il Gestionale per Barbieri, Parrucchieri e Centri Estetici); roccomarra.it (vivo: Parrucchieri - Elenco delle aziende di parrucchieri in Italia. Posizione, contat); hackerone.com (vivo: HackerOne | Leader in Continuous Threat Exposure Management | Security for AI); status.brave.app (vivo: Brave status) · directory: firmania.it, italiarecensioni.com, fresha.com, locale.infobel.it · barberspot.net, zetabarber.it e cutapp.it sono piattaforme di prenotazione di altri barbieri",,,"Ciao, sono Patrick di DenkiCode. Vi siete fatti fare una app per le prenotazioni: pochi barbieri arrivano a tanto.

Ho notato però una cosa: chi vi cerca su Google trova la scheda Fresha, che è una pagina dentro il sito di qualcun altro, e un sito vostro non c'è.

Abbiamo preso ispirazione dal vostro profilo e abbiamo realizzato una bozza del vostro sito.

Preferite che ve la mandi qui su Instagram, o prima ne parliamo due minuti al telefono? In ogni caso zero costi e zero impegno: se vi piace, poi ne parliamo. Se volete vedere cosa facciamo: denkicode.com",Barberia uomo in via Trieste 28. Ha fatto fare una app per prenotare. 107 post.,2026-09-14-instagram-siti-bs-bg.csv,siti,,
@beardman_barber_shop,Beardman Barber Shop,Brescia,Barber,926,5,"cercato «""Beardman Barber Shop"" Brescia» → profilo aperto il 14/9: in bio una app iOS (apps.apple.com/it/app/beardman-barbershop), nessun sito [verifica-sito] motori «""Beardman Barber Shop"" Brescia»: 10 risultati · domini: zetabarber.it (vivo: Prenota qui il tuo taglio dal Barbiere - ZetaBarber); app.vicinoza.com (vivo: Vicinoza); hackerone.com (vivo: HackerOne | Leader in Continuous Threat Exposure Management | Security for AI); status.brave.app (vivo: Brave status) · directory: prenotado.it, instagram.com, tiktok.com, facebook.com · [letto a mano il 14/9] zetabarber.it e' un altro barbiere, non loro",,,"Ciao, sono Patrick di DenkiCode. Oltre millesettecento clienti scritti in bio, e una app vostra per prenotare.

Ho notato però una cosa: la app serve chi vi ha già trovati. Chi cerca un barbiere a Brescia su Google non vi trova, perché un sito vostro non c'è.

Abbiamo preso ispirazione dal vostro profilo e abbiamo realizzato una bozza del vostro sito.

Preferite che ve la mandi qui su Instagram, o prima ne parliamo due minuti al telefono? In ogni caso zero costi e zero impegno: se vi piace, poi ne parliamo. Se volete vedere cosa facciamo: denkicode.com",Via del Brasile 27. In bio rivendica oltre 1700 clienti. 113 post.,2026-09-14-instagram-siti-bs-bg.csv,siti,,
@elisiracconciature,Elisir Acconciature di Ferrari Claudia,Provaglio d'Iseo (BS),Parrucchiere,226,1,"cercato «""Elisir Acconciature di Ferrari Claudia"" Provaglio d'Iseo» → profilo aperto il 14/9: 24 post, in bio il nome dell'attivita e nessun dominio [verifica-sito] motori «""Elisir Acconciature di Ferrari Claudia"" Provaglio d'Iseo»: 3 risultati · domini: nessuno risponde · directory: facebook.com, local.italy724.info, oraridiapertura24.it",,,"Ciao, sono Patrick di DenkiCode. Il mercoledi' apri alle 13 e chiudi alle 21: è l'orario di chi si è accorto che la gente dal parrucchiere ci va dopo il lavoro.

Ho notato però una cosa: un orario così è un motivo per sceglierti, e sta scritto solo in una riga di bio, perché un sito tuo non c'è.

Abbiamo preso ispirazione dal tuo profilo e abbiamo realizzato una bozza del tuo sito.

Preferisci che te la mandi qui su Instagram, o prima ne parliamo due minuti al telefono? In ogni caso zero costi e zero impegno: se ti piace, poi ne parliamo. Se vuoi vedere cosa facciamo: denkicode.com","Piazza Portici 9. Parrucchiera uomo donna bambino, orari lunghi il mercoledi (13-21). 24 post.",2026-09-14-instagram-siti-bs-bg.csv,siti,,
@aeg_acconciature,A&G Acconciature,Bagnolo Mella (BS),Parrucchiere,219,1,"cercato «""A&G Acconciature"" Bagnolo Mella» → profilo aperto il 14/9: bio con indirizzo e orari, nessun link, prenotazioni dal tasto Instagram [verifica-sito] motori «""A&G Acconciature"" Bagnolo Mella»: 7 risultati · domini: spiiky.com (vivo: I coupon delle migliori Offerte | -70% con Spiiky); acconciature.it (vivo, indovinato: Acconciature.it - Home); acconciature.com (parcheggiato, indovinato) · directory: firmania.it, trova-aperto.it, locale.infobel.it, italiarecensioni.com · spiiky.com e' un portale di coupon; acconciature.it e acconciature.com sono domini generici, non di Bagnolo Mella · aperto il 14/9: acconciature.it e' un portale generico di settore, non e' loro, e' un'altra attivita'",,,"Ciao, sono Patrick di DenkiCode. Il sabato aprite alle 7.30. Chi lo fa lo fa per i clienti, non per comodità propria.

Ho notato però una cosa: chi cerca un parrucchiere a Bagnolo Mella su Google trova Instagram e le schede degli altri, ma un sito vostro no.

Abbiamo preso ispirazione dal vostro profilo e abbiamo realizzato una bozza del vostro sito.

Preferite che ve la mandi qui su Instagram, o prima ne parliamo due minuti al telefono? In ogni caso zero costi e zero impegno: se vi piace, poi ne parliamo. Se volete vedere cosa facciamo: denkicode.com",Via Chiodi 11. Sabato apre alle 7.30. 207 post. Prenotazioni dal tasto di Instagram.,2026-09-14-instagram-siti-bs-bg.csv,siti,,
@proc.2020,PROC Brescia,Brescia,Parrucchiere ed estetica,863,1,"cercato «""PROC Brescia"" Brescia» → profilo aperto il 14/9: bio con indirizzo e telefono, nessun link [verifica-sito] motori «""PROC Brescia"" Brescia»: 1 risultati · domini: nessuno risponde · directory: firmania.it",,,"Ciao, sono Patrick di DenkiCode. Parrucchiere ed estetica nello stesso posto, in viale Piave, con trecentoquaranta post di lavori.

Ho notato però una cosa: chi vi cerca su Google trova il profilo e le schede dei portali, ma un sito vostro non c'è.

Abbiamo preso ispirazione dal vostro profilo e abbiamo realizzato una bozza del vostro sito.

Preferite che ve la mandi qui su Instagram, o prima ne parliamo due minuti al telefono? In ogni caso zero costi e zero impegno: se vi piace, poi ne parliamo. Se volete vedere cosa facciamo: denkicode.com",Viale Piave 24A-26B. Parrucchiere piu estetica. 347 post.,2026-09-14-instagram-siti-bs-bg.csv,siti,,
@barbiere_simo2style,Barber Shop Simo 2 Style,Brescia,Barber,2289,1,"cercato «""Barber Shop Simo 2 Style"" Brescia» → profilo aperto il 14/9: bio con orari e indirizzo, nessun link in bio [verifica-sito] motori «""Barber Shop Simo 2 Style"" Brescia»: 0 risultati · domini: nessuno risponde",,,"Ciao, sono Patrick di DenkiCode. Settantanove post e duemiladuecento follower: vuol dire che chi vi segue vi segue davvero.

Ho notato però una cosa: aprite alle 9 e chiudete alle 20.30, e questo lo sa solo chi apre Instagram, perché un sito vostro non c'è.

Abbiamo preso ispirazione dal vostro profilo e abbiamo realizzato una bozza del vostro sito.

Preferite che ve la mandi qui su Instagram, o prima ne parliamo due minuti al telefono? In ogni caso zero costi e zero impegno: se vi piace, poi ne parliamo. Se volete vedere cosa facciamo: denkicode.com",Corso Martiri della Liberta 30. Aperto 9-20.30. 79 post ma 2289 follower.,2026-09-14-instagram-siti-bs-bg.csv,siti,,
