Nome Azienda,Telefono / Cellulare,Tipo Azienda,Settore,Servizio da Vendere,Prezzo Indicativo,Note Strategiche (Claude),Esito e Note Giulia
Carrozzeria Europa (Cesano Maderno),0362 549790,Carrozzeria,Automotive,Indagine Mercato,Ricerca Form,"Carrozzeria: ogni vettura e' una commessa con perizia, ricambi e tempi. Chiedere dove segnano lo stato di ciascuna e come sanno quando esce.",
Carrozzeria Aliperti (Cesano Maderno),0362 500740,Carrozzeria,Automotive,Indagine Mercato,Ricerca Form,"Carrozzeria: ogni vettura e' una commessa con perizia, ricambi e tempi. Chiedere dove segnano lo stato di ciascuna e come sanno quando esce.",
Carrozzeria Crotta (Cesano Maderno),0362 505128,Carrozzeria,Automotive,Indagine Mercato,Ricerca Form,"Carrozzeria: ogni vettura e' una commessa con perizia, ricambi e tempi. Chiedere dove segnano lo stato di ciascuna e come sanno quando esce.",
Carrozzeria Moretti & Tagliabue (Cesano Maderno),0362 627011,Carrozzeria,Automotive,Indagine Mercato,Ricerca Form,"Due cognomi in insegna: due titolari, quindi qualcuno deve sapere cosa sta facendo l'altro. Carrozzeria: ogni vettura e' una commessa con perizia, ricambi e tempi. Chiedere dove segnano lo stato di ciascuna e come sanno quando esce.",
Carrozzeria Roma & Alberio (Cesano Maderno),0362 502005,Carrozzeria,Automotive,Indagine Mercato,Ricerca Form,"Carrozzeria: ogni vettura e' una commessa con perizia, ricambi e tempi. Chiedere dove segnano lo stato di ciascuna e come sanno quando esce.",
Carrozzeria F.lli Mauri (Cesano Maderno),0362 501583,Carrozzeria,Automotive,Indagine Mercato,Ricerca Form,"Carrozzeria: ogni vettura e' una commessa con perizia, ricambi e tempi. Chiedere dove segnano lo stato di ciascuna e come sanno quando esce.",
Autofficina Carrozzeria F.lli Segliani (Desio),0362 300751,Autofficina e carrozzeria,Automotive,Indagine Mercato,Ricerca Form,Fa meccanica e carrozzeria: due flussi di lavoro sulla stessa vettura. Chiedere come si passano il veicolo fra i due reparti.,
Centro Revisioni Milani (Desio),0362 629944,Centro revisioni,Automotive,Indagine Mercato,Ricerca Form,"Revisioni: appuntamenti a slot fissi e scadenze per targa. Chiedere se richiamano il cliente quando la revisione scade, e come lo sanno.",
Beretta Automobili - Ford Citroen (Desio),0362 626710,Concessionaria e officina,Automotive,Indagine Mercato,Ricerca Form,"Concessionaria con officina: vendite, ricambi, tagliandi. Il gestionale della casa madre copre le auto nuove, non l'officina. Chiedere cosa resta fuori.",
Mb Car S.r.l. (Desio),0362 337110,Officina autorizzata Opel,Automotive,Indagine Mercato,Ricerca Form,Officina autorizzata: garanzie e tempari da rendicontare. Chiedere come tengono lo storico degli interventi per targa.,
Maniero e Borella Gomme (Desio),0362 631137,Gommista e meccanica,Automotive,Indagine Mercato,Ricerca Form,Attivita' dal 1984. Gommista: il deposito degli pneumatici invernali e' un magazzino per cliente. Chiedere su cosa lo segnano.,
O.B.L. di Lissoni Marco (Seregno),0362 238994,Carpenteria metallica,Metalmeccanica,Indagine Mercato,Ricerca Form,"Carpenteria su commessa: preventivo, taglio, saldatura, consegna. Chiedere come sanno a che punto e' un ordine senza andare in reparto.",
Novati Abele - Prodotti Siderurgici (Seregno),0362 231101,Prodotti siderurgici,Metalmeccanica,Indagine Mercato,Ricerca Form,Commercio di materiale a peso e misura: giacenze che cambiano ogni giorno. Chiedere come tengono il magazzino.,
Carpenteria Polini (Seregno),0362 226567,Carpenteria metallica,Metalmeccanica,Indagine Mercato,Ricerca Form,Chiedere quante commesse hanno aperte insieme e dove sta scritta la data di consegna promessa.,
Galimberti S.a.s. (Seregno),0362 230336,Carpenteria metallica,Metalmeccanica,Indagine Mercato,Ricerca Form,S.a.s.: struttura familiare con dipendenti. Chiedere chi fa i preventivi e su cosa li fa.,
Gruppo Industriale Styling (Seregno),0362 327847,Lavorazioni metalliche,Metalmeccanica,Indagine Mercato,Ricerca Form,"Due numeri, si presenta come gruppo: e' la piu' strutturata del blocco. Vale una telefonata in piu'.",
T.G. Carpenteria Metallica di Precisione S.n.c. (Seregno),0362 326882,Carpenteria di precisione,Metalmeccanica,Indagine Mercato,Ricerca Form,'Di precisione' vuol dire tolleranze e controlli: chiedere dove registrano i controlli qualita'.,
Centro Grafico Pirola S.n.c. (Lissone),039 482275,Tipografia,Stampa e grafica,Indagine Mercato,Ricerca Form,"Tipografia: ogni lavoro passa da bozza, approvazione, stampa, consegna. Chiedere dove vedono a che punto e' un ordine.",
Fargrafica S.r.l. (Lissone),039 484299,Tipografia,Stampa e grafica,Indagine Mercato,Ricerca Form,S.r.l. con struttura. Chiedere come gestiscono i clienti che ristampano lo stesso lavoro ogni anno.,
Iggrafica di Sisti Valeria (Lissone),039 484777,Tipografia,Stampa e grafica,Indagine Mercato,Ricerca Form,Chiedere quante bozze girano via mail e chi tiene il conto delle approvazioni.,
Tipolitografia Mariani S.r.l. (Lissone),039 483215,Tipolitografia,Stampa e grafica,Indagine Mercato,Ricerca Form,Tipolitografia strutturata. Angolo: preventivi ripetitivi che si rifanno a mano ogni volta.,
Sala Autotrasporti (Lissone),039 790203,Autotrasporti e spurghi,Logistica e trasporti,Indagine Mercato,Ricerca Form,"Tre numeri in scheda e servizio 24 ore: trasporti, spedizioni, depositi e spurghi. Quattro attivita' diverse sugli stessi mezzi. Chiedere come assegnano i viaggi.",
Sciascia Giovanni Autotrasporti (Lissone),330 590118,Autotrasporti e traslochi,Logistica e trasporti,Indagine Mercato,Ricerca Form,"Trasporti, traslochi e spedizioni su tutta Italia. Chiedere dove finiscono le bolle di consegna firmate.",
Multiservice 2t S.r.l. (Meda),0362 71890,Spedizioni,Logistica e trasporti,Indagine Mercato,Ricerca Form,Spedizioniere strutturato. Chiedere come tracciano una spedizione quando il cliente chiama a chiedere dov'e'.,
Set Congo - Set Senegal (Lissone),039 6322645,Spedizioni internazionali,Logistica e trasporti,Indagine Mercato,Ricerca Form,Spedizioni verso l'Africa: pratiche doganali e colli per destinatario. E' il caso con piu' carta di tutta la lista.,
Eurotrasp S.r.l. (Monza),039 364923,Autotrasporti,Logistica e trasporti,Indagine Mercato,Ricerca Form,Fuori dalla Brianza stretta ma struttura vera. Chiedere quanti mezzi e quanti autisti: sotto i cinque non vale il gestionale.,
Mipav Group S.r.l. (Seregno),0362 1973792,Impresa edile,Edilizia,Indagine Mercato,Ricerca Form,Costruzioni e ristrutturazioni. Chiedere come sanno a fine mese quanto e' costato ogni cantiere.,
Clover Costruzioni (Seregno),0362 221309,Impresa edile,Edilizia,Indagine Mercato,Ricerca Form,"Costruzioni, ristrutturazioni e manutenzioni: tre tipi di lavoro con tempi diversi. Chiedere come pianificano le squadre fra i cantieri.",
Edilhome (Seregno),0362 686846,Impresa edile,Edilizia,Indagine Mercato,Ricerca Form,Chiedere quanti cantieri hanno aperti insieme e chi decide dove va la squadra domani mattina.,
Denia Serramenti (Meda),0362 528177,"Serramenti in PVC, legno e alluminio",Serramenti,Indagine Mercato,Ricerca Form,"Lavora su sei province. 129 recensioni: struttura reale. Rilievo misure, ordine, posa: chiedere quanti passaggi ci sono fra il sopralluogo e il montaggio.",
