Account IG,Nome attivita,Comune (prov),Segmento,Follower,Gancio (1-6),Esito verifica sito,DM inviato (data),Esito DM,Messaggio,Scheda
@carpenteria_bonatese,Carpenteria Bonatese,Bergamo (BG),Carpenteria,1596,R,"cercato «carpenteria bergamo» nella ricerca di Instagram → profilo aperto e letto il 12/9: carpenteria, 31 post, in bio «dietro ogni lavorazione c'è esperienza, cura e attenzione ai dettagli» · [verifica-azienda] azienda strutturata: commesse, materiale e ore di officina",,,"Buongiorno, sono Patrick Sappa, DenkiCode, una piccola software house a Seveso.

Non le vendo niente. Non le chiedo nemmeno un appuntamento. Stiamo facendo una ricerca sulle carpenterie qui in Lombardia: come tiene le commesse, il materiale e le ore di officina.

Ho visto come raccontate le lavorazioni, una per una. Chi lavora su commessa ha sempre lo stesso problema: sapere quanto è costata davvero.

Sono sei domande, due minuti, ed è anonimo:
https://docs.google.com/forms/d/e/1FAIpQLSe2cCfeAx8IVLRq-ocJe4MUpq43u_1D95IpBPjqOYX-90a9JA/viewform

Quando abbiamo finito il giro le mando quello che è venuto fuori dalle altre aziende della zona. Almeno sa come sono messi gli altri.","Carpenteria a Bergamo. 1596 follower. carpenteria, 31 post, in bio «dietro ogni lavorazione c'è esperienza, cura e attenzione ai dettagli»"
@societatrasportibergamo,Società Trasporti Bergamo,Lallio (BG),Trasporti,1584,R,"cercato «trasporti lallio» nella ricerca di Instagram → profilo aperto e letto il 12/9: Via della Madonna 4 Lallio, sollevamenti trasporti e logistica, sito societatrasportibergamo, 371 post · [verifica-azienda] azienda strutturata: viaggi, mezzi e documenti degli autisti",,,"Buongiorno, sono Patrick Sappa. Ho una piccola software house a Seveso, DenkiCode.

Non le vendo niente e non le chiedo un appuntamento. Stiamo facendo una ricerca sulle aziende di trasporti qui in Lombardia: come tiene i viaggi, i mezzi e i documenti che tornano indietro dagli autisti.

Sollevamenti, trasporti e logistica insieme vogliono dire mezzi diversi e documenti diversi per ogni viaggio.

Sono sei domande, due minuti, ed è anonimo:
https://docs.google.com/forms/d/e/1FAIpQLSe2cCfeAx8IVLRq-ocJe4MUpq43u_1D95IpBPjqOYX-90a9JA/viewform

Alla fine del giro le mando cosa è venuto fuori dalle altre. Due minuti veri, non di più.","Trasporti a Lallio. 1584 follower. Via della Madonna 4 Lallio, sollevamenti trasporti e logistica, sito societatrasportibergamo, 371 post"
@mvserramenti,MV Serramenti,Gorlago (BG),Serramenti e infissi,1339,R,"cercato «serramenti gorlago» nella ricerca di Instagram → profilo aperto e letto il 12/9: flagship store Intenorm a Gorlago (BG), infissi in PVC, 304 post · [verifica-azienda] azienda strutturata: preventivi, misure e ordini a fornitore",,,"Buongiorno, sono Patrick Sappa, DenkiCode, una piccola software house a Seveso.

Non le vendo niente e non le chiedo un appuntamento. Stiamo facendo una ricerca sulle aziende di serramenti qui in Lombardia: come tiene i preventivi, le misure dei cantieri e gli ordini ai fornitori.

Un flagship store con la posa vuol dire showroom, misure in casa del cliente e ordini al fornitore, tre cose che devono tornare.

Sono sei domande, due minuti, ed è anonimo:
https://docs.google.com/forms/d/e/1FAIpQLSe2cCfeAx8IVLRq-ocJe4MUpq43u_1D95IpBPjqOYX-90a9JA/viewform

Poi le mando il riepilogo delle altre aziende qui intorno. È tutto.","Serramenti e infissi a Gorlago. 1339 follower. flagship store Intenorm a Gorlago (BG), infissi in PVC, 304 post"
@abcgaragebg,ABC Garage,Treviolo (BG),Carrozzeria,1286,R,"cercato «carrozzeria treviolo» nella ricerca di Instagram → profilo aperto e letto il 12/9: Via Piave 41 Treviolo, carrozzeria e officina, 118 post · [verifica-azienda] azienda strutturata: pratiche dei sinistri, ricambi e tempi di consegna",,,"Buongiorno, sono Patrick Sappa. Ho una piccola software house a Seveso, DenkiCode.

Non le vendo niente. Non le chiedo nemmeno un appuntamento. Stiamo facendo una ricerca sulle carrozzerie qui in Lombardia: come tiene le pratiche dei sinistri, i ricambi ordinati e i tempi promessi al cliente.

Carrozzeria e officina sotto lo stesso tetto sono due agende che si incrociano sulla stessa macchina.

Sono sei domande, due minuti, ed è anonimo:
https://docs.google.com/forms/d/e/1FAIpQLSe2cCfeAx8IVLRq-ocJe4MUpq43u_1D95IpBPjqOYX-90a9JA/viewform

Quando abbiamo finito il giro le mando quello che è venuto fuori dalle altre aziende della zona. Almeno sa come sono messi gli altri.","Carrozzeria a Treviolo. 1286 follower. Via Piave 41 Treviolo, carrozzeria e officina, 118 post"
@edilporte_brescia,Edilporte,Quinzano d'Oglio (BS),Serramenti e infissi,5583,R,"cercato «serramenti quinzano d'oglio» nella ricerca di Instagram → profilo aperto e letto il 12/9: showroom a Quinzano d'Oglio, trent'anni dichiarati, porte e serramenti su misura, 715 post · [verifica-azienda] azienda strutturata: preventivi, misure e ordini a fornitore",,,"Buongiorno, sono Patrick Sappa, DenkiCode, una piccola software house a Seveso.

Non le vendo niente e non le chiedo un appuntamento. Stiamo facendo una ricerca sulle aziende di serramenti qui in Lombardia: come tiene i preventivi, le misure dei cantieri e gli ordini ai fornitori.

Trent'anni di porte e serramenti su misura, con lo showroom: i preventivi sono il vostro lavoro nascosto.

Sono sei domande, due minuti, ed è anonimo:
https://docs.google.com/forms/d/e/1FAIpQLSe2cCfeAx8IVLRq-ocJe4MUpq43u_1D95IpBPjqOYX-90a9JA/viewform

Alla fine del giro le mando cosa è venuto fuori dalle altre. Due minuti veri, non di più.","Serramenti e infissi a Quinzano d'Oglio. 5583 follower. showroom a Quinzano d'Oglio, trent'anni dichiarati, porte e serramenti su misura, 715 post"
@mara_carrozzeria_brescia,La Carrozziera di Brescia,Brescia (BS),Carrozzeria,1032,R,"cercato «carrozzeria brescia» nella ricerca di Instagram → profilo aperto e letto il 12/9: quarant'anni dichiarati, sito carrozzeriamara.it, più profili collegati, 450 post · [verifica-azienda] azienda strutturata: pratiche dei sinistri, ricambi e tempi di consegna",,,"Buongiorno, sono Patrick Sappa. Ho una piccola software house a Seveso, DenkiCode.

Non le vendo niente e non le chiedo un appuntamento. Stiamo facendo una ricerca sulle carrozzerie qui in Lombardia: come tiene le pratiche dei sinistri, i ricambi ordinati e i tempi promessi al cliente.

Quarant'anni di carrozzeria a Brescia, e i sinistri sono cambiati tre volte in quel periodo.

Sono sei domande, due minuti, ed è anonimo:
https://docs.google.com/forms/d/e/1FAIpQLSe2cCfeAx8IVLRq-ocJe4MUpq43u_1D95IpBPjqOYX-90a9JA/viewform

Poi le mando il riepilogo delle altre aziende qui intorno.","Carrozzeria a Brescia. 1032 follower. quarant'anni dichiarati, sito carrozzeriamara.it, più profili collegati, 450 post"
@carrozzeria_borgovico,Carrozzeria Borgovico,Como (CO),Carrozzeria,516,R,"cercato «carrozzeria como» nella ricerca di Instagram → profilo aperto e letto il 12/9: a Como dal 1976, riparazione e verniciatura, carrozzeria fiduciaria, 75 post · [verifica-azienda] azienda strutturata: pratiche dei sinistri, ricambi e tempi di consegna",,,"Buongiorno, sono Patrick Sappa, DenkiCode, una piccola software house a Seveso.

Non le vendo niente. Non le chiedo nemmeno un appuntamento. Stiamo facendo una ricerca sulle carrozzerie qui in Lombardia: come tiene le pratiche dei sinistri, i ricambi ordinati e i tempi promessi al cliente.

Essere carrozzeria fiduciaria vuol dire pratiche che passano dalle assicurazioni, e quelle hanno tempi loro.

Sono sei domande, due minuti, ed è anonimo:
https://docs.google.com/forms/d/e/1FAIpQLSe2cCfeAx8IVLRq-ocJe4MUpq43u_1D95IpBPjqOYX-90a9JA/viewform

Quando abbiamo finito il giro le mando quello che è venuto fuori dalle altre aziende della zona. Almeno sa come sono messi gli altri.","Carrozzeria a Como. 516 follower. a Como dal 1976, riparazione e verniciatura, carrozzeria fiduciaria, 75 post"
@falegnameria.sbanotto,Falegnameria Sbanotto,Milano (MI),Falegnameria,1196,R,"cercato «falegnameria milano» nella ricerca di Instagram → profilo aperto e letto il 12/9: falegnameria milanese fondata nel 1985, 320 post · [verifica-azienda] azienda strutturata: commesse su misura, legno a magazzino e ore per lavoro",,,"Buongiorno, sono Patrick Sappa. Ho una piccola software house a Seveso, DenkiCode.

Non le vendo niente e non le chiedo un appuntamento. Stiamo facendo una ricerca sulle falegnamerie qui in Lombardia: come segna le commesse, il legno a magazzino e le ore che ogni lavoro si porta via.

Quarant'anni di falegnameria a Milano, e ogni pezzo su misura è una commessa a sé.

Sono sei domande, due minuti, ed è anonimo:
https://docs.google.com/forms/d/e/1FAIpQLSe2cCfeAx8IVLRq-ocJe4MUpq43u_1D95IpBPjqOYX-90a9JA/viewform

Alla fine del giro le mando cosa è venuto fuori dalle altre. Due minuti veri, non di più.","Falegnameria a Milano. 1196 follower. falegnameria milanese fondata nel 1985, 320 post"
@labdesign_falegnameria__milano,Colombo & Garavaglia LabDesign,Milano (MI),Falegnameria,1307,R,"cercato «falegnameria milano» nella ricerca di Instagram → profilo aperto e letto il 12/9: interior design e falegnameria su misura, 1.034 post · [verifica-azienda] azienda strutturata: commesse su misura, legno a magazzino e ore per lavoro",,,"Buongiorno, sono Patrick Sappa, DenkiCode, una piccola software house a Seveso.

Non le vendo niente e non le chiedo un appuntamento. Stiamo facendo una ricerca sulle falegnamerie qui in Lombardia: come segna le commesse, il legno a magazzino e le ore che ogni lavoro si porta via.

Progetto e falegnameria insieme vogliono dire che il disegno e il laboratorio devono parlarsi tutti i giorni.

Sono sei domande, due minuti, ed è anonimo:
https://docs.google.com/forms/d/e/1FAIpQLSe2cCfeAx8IVLRq-ocJe4MUpq43u_1D95IpBPjqOYX-90a9JA/viewform

Poi le mando il riepilogo delle altre aziende qui intorno. Tutto qui.","Falegnameria a Milano. 1307 follower. interior design e falegnameria su misura, 1.034 post"
@carrozzeria_villetta_milano_,Carrozzeria Villetta,Milano (MI),Carrozzeria,880,R,"cercato «carrozzeria milano» nella ricerca di Instagram → profilo aperto e letto il 12/9: carrozzeria a Milano, contatti in bio, 214 post · [verifica-azienda] azienda strutturata: pratiche dei sinistri, ricambi e tempi di consegna",,,"Buongiorno, sono Patrick Sappa. Ho una piccola software house a Seveso, DenkiCode.

Non le vendo niente. Non le chiedo nemmeno un appuntamento. Stiamo facendo una ricerca sulle carrozzerie qui in Lombardia: come tiene le pratiche dei sinistri, i ricambi ordinati e i tempi promessi al cliente.

In città le auto entrano e escono in fretta, e il giro delle pratiche non va mai alla stessa velocità.

Sono sei domande, due minuti, ed è anonimo:
https://docs.google.com/forms/d/e/1FAIpQLSe2cCfeAx8IVLRq-ocJe4MUpq43u_1D95IpBPjqOYX-90a9JA/viewform

Quando abbiamo finito il giro le mando quello che è venuto fuori dalle altre aziende della zona. Almeno sa come sono messi gli altri.","Carrozzeria a Milano. 880 follower. carrozzeria a Milano, contatti in bio, 214 post"
