Account IG,Nome attivita,Comune (prov),Segmento,Follower,Gancio (1-6),Esito verifica sito,DM inviato (data),Esito DM
@em_beautyhands,Emily - unghie e laminazione,Como (CO),Nail/ciglia,5539,1,Nessun sito. In bio solo link WhatsApp,,
@ngbarberstudio123,NG Barber Studio,Como (CO),Barber,2375,5,"Unico link: ngbarber.my-booking-app.com, app di prenotazione",,
@cixnailslab,Cix Nails Lab,Como (CO),Nail,1773,1,"Nessun sito, nessun link in bio. Due sedi (Como e Saronno)",,
@_maria_mancuso__,Maria - laminazione ciglia e sopracciglia,Como (CO),Ciglia,1713,1,Nessun sito. Campionessa Venezia e Catania 2025,,
@esteticaaphrodyte,Estetica Aphrodyte,Tavernerio (CO),Estetica,961,1,"Nessun sito, nessun link",,
@manicurissima,Extension ciglia Como,Como (CO),Ciglia,495,1,"Nessun sito, nessun link",,
@esteticamente_villaguardia,Estetica...Mente,Villa Guardia (CO),Estetica,457,1,"Nessun sito, solo wa.me. Fa estetica oncologica",,
@centroesteticoelisircomo,Centro Estetico Elisir,Como (CO),Estetica,395,1,"Nessun sito, nessun link",,
@demode_parrucchieri,Demode,Villa Guardia (CO),Parrucchieri,348,1,Nessun sito. In bio: info/appointment in DM. Dal 1993,,
@estetica_di_lulu,Estetica di Lulu,Merone (CO),Estetica,2338,1,Nessun sito. Solo wa.me,,
@lucaeireneparrucchieri,Luca & Irene Parrucchieri,Erba (CO),Parrucchieri,1329,1,"Unico link: una pagina Facebook, non un sito",,
@barbie.shop_mariano.comense,Barbie Shop,Mariano Comense (CO),Estetica/parrucchieri,1094,1,Unico link: TikTok,,
@aurahair_cantu,AURA hair concept,Cantu (CO),Parrucchieri,1088,1,"Nessun sito, nessun link",,
@autenticamente__bella,Autenticamente Bella,Mariano Comense (CO),Estetica,1019,1,"Nessun sito, nessun link",,
@esteta.beautystudio,L'Esteta Beauty Studio,Erba (CO),Ciglia/nail,724,1,"Link in bio e un accorciatore tinyurl, non un dominio proprio",,
@federichair,FedericHair,Mariano Comense (CO),Parrucchieri,704,1,Nessun sito. Bio e solo un elenco di collaboratori taggati,,
@gioias.nail.spa.cantu,Gioia's Nail Spa,Cantu (CO),Nail,640,1,"Nessun sito, nessun link",,
@beautylab.centroestetico,Beauty Lab,Mariano Comense (CO),Estetica,598,5,Unico link: scheda Treatwell,,
@manu__estetica__,Manu' Estetica,Mariano Comense (CO) DA CONFERMARE,Estetica,557,1,Nessun sito. Comune non in bio: confermare prima di scrivere,,
@ginevra_acconciature,Ginevra Acconciature,Erba (CO),Parrucchieri,517,1,Nessun sito. In bio rimanda a Facebook,,
@sandbnail,sandbnail - unghie,Erba (CO),Nail,385,1,Unico link: TikTok. Lavora dentro @esteta.beautystudio: scrivere a una sola delle due,,
@claudiofelicianparrucchieri,Claudio Felician Parrucchieri,Inverigo (CO),Parrucchieri,330,1,"Nessun sito, nessun link",,
@beauty_planet_uboldo,B. Planet Estetica Avanzata,Uboldo (VA),Estetica,4450,2,beautypla.net scritto in bio NON ESISTE PIU (NXDOMAIN). Attivita dal 1985,,
@visanails,Nails by Visa,Varese (VA),Nail,3807,1,"Nessun sito, nessun link: DM per info",,
@ali_art_varese,Ali Art,Varese (VA),Nail/ciglia,3577,1,"Nessun sito. Ciglia, sopracciglia, henne, unghie",,
@pmu_aleksandra_ivanitskaya,Aleksandra Ivanitska PMU,Varese (VA) DA CONFERMARE,PMU,2877,1,"Nessun sito, solo wa.me. Comune non in bio: confermare",,
@vm_emozioni,VM Emozioni,Venegono (VA),Estetica,1649,5,Unico link: Treatwell,,
@wow.varese,WOW.Varese,Varese (VA),Nail/estetica,1177,1,"Nessun sito, nessun link",,
@eos_centro_estetico,EOS Estetica & Benessere,Malnate (VA),Estetica,688,1,"Link in bio e lakshmi.it, il sito del FORNITORE di cosmetici, non il loro. Da 20 anni",,
@forfora_i_parrucchieri,Forfora I Parrucchieri,Tradate (VA),Parrucchieri,631,1,"Nessun sito, nessun link",,
@nhung.centroestetico,Anna - Centro Estetico,Varese (VA),Estetica,586,1,"Nessun sito, nessun link",,
@royalnailspa_varese,Royal Nail,Varese (VA),Nail,505,1,"Nessun sito, nessun link",,
@e.r_centro_estetico,Elisa & Romina,Venegono Superiore (VA),Estetica,435,1,"Nessun sito, nessun link",,
@queen_nails_saronno,Queen Nails,Saronno (VA),Nail,245,1,"Nessun sito, nessun link",,
@dilloallalunabeauty,Dillo alla Luna,Vedano Olona (VA),Estetica,200,1,Nessun sito. Esattamente sulla soglia dei 200 follower: mandare per ultimo,,
@salonroyale_lecco,Salon Royale,Lecco (LC),Barber,6488,1,"Nessun sito, nessun link. No appuntamento",,
@letizia.rota,Letizia Rota - ciglia e sopracciglia,Lecco (LC),Ciglia/PMU,5220,5,Unico link: Treatwell (trea.tw),,
@__lashes_di__,Extension e laminazione ciglia,Lecco (LC),Ciglia,1943,5,Unico link: widget Treatwell,,
