Nome Azienda,Telefono / Cellulare,Tipo Azienda,Settore,Servizio da Vendere,Prezzo Indicativo,Note Strategiche (Claude),Esito e Note Agente
Modamia S.r.l. (Concorezzo),039 6042416,Parrucchiere donna,Wellness,Sito Vetrina,200 EUR + 180 EUR/anno,"SITO: nessuno - verificato. Solo Instagram. Il dominio modamia.it esiste ma e' una pagina 'sito in fase di costruzione' e modamiahairfashion.com e' di un salone di Peschiera Borromeo: il nome e' conteso. E' una S.r.l. GANCIO: il nome conteso. SPIN-Problema: 'chi vi cerca per nome, vi trova?'",
Diva di Asperti Beatrice (Concorezzo),039 2208150,Parrucchiere donna,Wellness,Sito Vetrina,200 EUR + 180 EUR/anno,"SITO: nessuno - verificato. Titolare Beatrice Asperti. GANCIO: chiedere di Beatrice. OBIEZIONE 'non ho tempo' -> Voss orientata al no: 'e' un momento terribile per parlare?' -> risponde 'no, mi dica'. SPIN-Situazione: 'come prendete gli appuntamenti?'",
Monica Equipe di De Amicis Monica (Concorezzo),039 6042002,Parrucchiere ed estetica,Wellness,Sito Vetrina,200 EUR + 180 EUR/anno,"SITO: nessuno - verificato, solo Fresha. Listino largo: capelli, unghie, ciglia, cera, massaggi. Chi cerca uno di questi servizi non sa che li fate tutti. GANCIO: l'ampiezza del listino. SPIN-Implicazione: 'quante clienti vengono solo per una cosa, senza sapere che fate anche il resto?'",
Sergio e Alessandro S.n.c. di Ratti Alessandro (Concorezzo),039 6040080,Barbiere uomo,Wellness,Sito Vetrina,200 EUR + 180 EUR/anno,"SITO: nessuno - verificato. 146 recensioni, media 4.5: reputazione forte, vetrina zero. GANCIO: 'avete 146 recensioni e nessun posto vostro dove metterle'. SPIN-Necessita': 'se quelle recensioni stessero su una pagina sua, a chi servirebbero?'",
Javier Tecnica e Stile di Arteaga Espinoza (Agrate Brianza),039 2913931,Parrucchiere,Wellness,Sito Vetrina,200 EUR + 180 EUR/anno,"SITO: nessuno - verificato, solo Treatwell e Fresha (piattaforme a commissione). Secondo numero noto: 327 4486823. GANCIO: 'le prenotazioni passano da Treatwell?'. SPIN-Implicazione: 'quanto le trattengono su ogni appuntamento?' - e' la leva piu' forte con chi sta sulle piattaforme.",
Al Kimya di Squicciarini Anna (Agrate Brianza),039 650345,Parrucchiere donna,Wellness,Sito Vetrina,200 EUR + 180 EUR/anno,SITO: nessuno - verificato. Il dominio alkimya.it e' di un antiquariato di TORINO: nome gia' occupato. Titolare Anna Squicciarini. GANCIO: il nome occupato. SPIN-Problema: 'chi vi cerca online dove finisce?',
Barbaro Erika (Agrate Brianza),039 6360521,Parrucchiere donna,Wellness,Sito Vetrina,200 EUR + 180 EUR/anno,SITO: nessuno - verificato. Risulta anche come socia di 'Meriu' Acconciature S.n.c.': prima di partire chiedere con quale insegna lavorano oggi. SPIN-Situazione: 'il salone e' suo o siete in societa'?',
Cilio Giuseppa - Capelli..Mania (Agrate Brianza),039 2914322,Parrucchiere donna,Wellness,Sito Vetrina,200 EUR + 180 EUR/anno,"SITO: nessuno - verificato, solo Fresha e Treatwell. Listino tecnico ampio: extension, balayage, cheratina, parrucche. Le parrucche sono un servizio che si cerca online, spesso in silenzio. GANCIO: le parrucche. SPIN-Implicazione: 'chi cerca una parrucca in zona, vi trova?'",
Luisa Beauty House di Zorastri Luisa (Agrate Brianza),039 2184305,Parrucchiere ed estetica,Wellness,Sito Vetrina,200 EUR + 180 EUR/anno,"SITO: nessuno - verificato, presente su Groupon, Uala e Treatwell. Tre piattaforme diverse = tre commissioni. GANCIO: 'siete su tre piattaforme e su nessuna pagina vostra'. SPIN-Implicazione: 'sommando Groupon, Uala e Treatwell, quanto se ne va in un mese?'",
Massimo Carlucci Acconciature (Agrate Brianza),039 652245,Parrucchiere uomo,Wellness,Sito Vetrina,200 EUR + 180 EUR/anno,"SITO: nessuno - verificato: la prenotazione online che le schede citano e' Fresha, non un sito loro. 142 recensioni, media 4.7. GANCIO: 'prenotate online ma su un sito che non e' vostro'. SPIN-Necessita': 'se la prenotazione fosse su una pagina sua, chi ci guadagnerebbe?'",
