Account IG,Nome attivita,Comune (prov),Segmento,Follower,Gancio (1-6),Esito verifica sito,DM inviato (data),Esito DM,Messaggio,Scheda
@hoteldecharmelaveno,Hotel De Charme Laveno,Laveno Mombello (VA),Albergo,5815,T,"cercato «site:instagram.com hotel Luino Laveno lago Maggiore» → profilo letto il 10/9: boutique hotel con 30 suite e 12 appartamenti, sito laveno-hotel.com. Squadra stimata 20-40 persone, gestione propria · [verifica-turni] letto il 10/9: 30 suite, 12 appartamenti, una villa, piscina rooftop e spa: reception, camere, colazioni e spa girano su turni diversi",,,"Buongiorno, sono Patrick Sappa. Ho una piccola software house a Seveso, DenkiCode.

Ho guardato l'Hotel De Charme: trenta suite, dodici appartamenti, la piscina sul tetto, la spa. Sono almeno tre squadre che girano su orari diversi. Le chiedo una cosa sola: i turni li fate ancora su un foglio, o avete un programma?

Il nostro fa questo: chi coordina costruisce la settimana una volta, ogni persona la vede sul suo telefono, e quando uno si dà malato le dice subito chi è libero.

Dieci minuti in videochiamata e vede se vale qualcosa per voi. Se non serve, non mi sente più.","Laveno Mombello · boutique hotel 30 suite + 12 appartamenti + Villa de Charme, rooftop pool, spa. 397 post, 5.815 follower. Sito curato: investe."
@caminhotelluino,Camin Hotel Luino,Luino (VA),Albergo con ristorante,2344,T,"cercato «site:instagram.com hotel Luino lago Maggiore» → profilo letto il 10/9: boutique hotel con ristorante gourmet @illeondoro, viale Dante 35, sito caminhotelluino.com. Squadra stimata 15-30 · [verifica-turni] letto il 10/9: albergo con ristorante gourmet (Il Leon d'Oro): due squadre, sala e camere, su orari diversi",,,"Buongiorno, sono Patrick Sappa, DenkiCode, una piccola software house a Seveso.

Camere vista lago e il Leon d'Oro sotto: la squadra delle camere e la brigata del ristorante non fanno mai gli stessi orari. Come li mettete insieme, ancora su WhatsApp?

Abbiamo fatto un programma per quello. La settimana si costruisce una volta, ognuno vede la sua sul telefono, e i cambi di turno non passano più da cinque telefonate.

Glielo faccio vedere in dieci minuti, in videochiamata, quando le torna comodo. Se non le serve me lo dice e finisce lì.","Viale Dante 35, Luino · camere vista lago e ristorante gourmet Il Leon d'Oro. 280 post."
@hoteldulacbellagio,Hotel Du Lac & Spa,Bellagio (CO),Albergo con ristoranti,7236,T,"cercato «site:instagram.com hotel Bellagio lago di Como» → profilo letto il 10/9: hotel & spa in piazza Mazzini 32 con bistrot @arturo_bistrot, fine dining @gioya_bellagio e rooftop; sito bellagiohoteldulac.com. Squadra stimata 30-50 · [verifica-turni] letto il 10/9: bistrot, fine dining e rooftop bar oltre alle camere: quattro squadre in un edificio solo",,,"Buongiorno, sono Patrick Sappa. Piccola software house a Seveso, DenkiCode.

Ho guardato il Du Lac: hotel, spa, il bistrot Arturo, Gioya e il rooftop. Quattro squadre in un edificio solo. Chi fa i turni da voi, e con cosa?

Il nostro programma fa questo: la settimana la costruisce una volta, ogni persona la vede sul suo telefono, e quando salta qualcuno le dice chi è libero e chi ha già fatto troppe ore.

Dieci minuti in videochiamata. Se non vale per voi, non mi sente più.","Piazza Mazzini 32, Bellagio · hotel, spa, bistrot, ristorante, rooftop bar. 212 post, 7.236 follower."
@hotelasnigocernobbio,Hotel Asnigo,Cernobbio (CO),Albergo con ristorante,1954,T,"cercato «site:instagram.com hotel Cernobbio» → profilo letto il 10/9: hotel in via Noseda 2 con piscina e ristorante, sito hotelasnigo.it. Squadra stimata 15-30. Il ristorante (@ristoranteasnigocernobbio) era nella lista siti di ieri come scartato per sito vivo: non gli è mai stato scritto · [verifica-turni] letto il 10/9: albergo con piscina e ristorante sopra Cernobbio: camere, sala e cucina",,,"Buongiorno, sono Patrick Sappa di DenkiCode, una piccola software house a Seveso.

Ho visto l'Asnigo, con la piscina e il ristorante. Camere, sala e cucina: tre orari diversi da tenere in piedi ogni settimana. Come li fate oggi, su carta o su Excel?

Il nostro programma costruisce la settimana una volta sola, ognuno se la vede sul telefono, e quando uno manca all'ultimo le dice subito chi può coprire.

Glielo faccio vedere in dieci minuti, in videochiamata. Se non le serve, me lo dice.","Via Noseda 2, Cernobbio · hotel con piscina e ristorante. 293 post."
@belvederebellagio,Belvedere Bellagio,Bellagio (CO),Albergo,17100,T,"cercato «site:instagram.com hotel Bellagio» → profilo letto il 10/9: hotel di famiglia da cinque generazioni, via Valassina 31, sito belvederebellagio.com. Squadra stimata 30-50 in stagione · [verifica-turni] letto il 10/9: cinque generazioni della famiglia Martinelli-Manoni: albergo storico con ristorante, piscina e giardino",,,"Buongiorno, sono Patrick Sappa. Ho una piccola software house a Seveso, DenkiCode.

Cinque generazioni, e una squadra che in stagione cresce parecchio. Le chiedo una cosa sola: quando salta qualcuno all'ultimo, come lo coprite? Li chiamate uno per uno?

Abbiamo fatto un programma che fa esattamente quello: la settimana si costruisce una volta, ogni persona la vede sul telefono, e chi è libero lo dice lui.

Dieci minuti in videochiamata, quando vuole. Se non fa per voi, chiudiamo qui.","Via Valassina 31, Bellagio · albergo di famiglia, 17.100 follower. ⚠ Potrebbe superare le 50 persone in alta stagione: chiederlo alla demo."
@hotelcentralebellagio,Hotel Centrale Bellagio,Bellagio (CO),Albergo,708,T,"cercato «site:instagram.com hotel Bellagio» → profilo letto il 10/9: hotel 3 stelle a gestione familiare dal 1922, sito hc-bellagio.com. Squadra stimata 8-15 · [verifica-turni] letto il 10/9: albergo a gestione familiare dal 1922, tre stelle",,,"Buongiorno, sono Patrick Sappa, DenkiCode, piccola software house a Seveso.

Hotel a gestione familiare dal 1922: i turni li fa la famiglia, immagino, e li fa a mano. Le chiedo solo questo: quando uno si dà malato, come lo sostituite?

Il nostro programma costruisce la settimana una volta, ognuno la vede sul telefono, e quando manca qualcuno le dice chi è libero senza girare telefonate.

Glielo mostro in dieci minuti, in videochiamata. Se non serve a voi, me lo dice e non mi sente più.","Bellagio · info@hc-bellagio.com. Tre stelle, dal 1922. 70 post."
@villacocca_gavirate,Villa Cocca,Gavirate (VA),Ristorante/pizzeria/eventi,6107,T,"cercato «Villa Cocca Gavirate» → profilo letto il 10/9: ristorante pizzeria con location eventi e piscina, via del Chiostro 14, sito villacocca.com, aperto 7/7 11-24. Squadra stimata 20-40. Nella lista siti dell'8-9/9 scartato perché ha il sito: mai contattato · [verifica-turni] letto il 10/9: ristorante, pizzeria, location eventi e piscina, aperto tutti i giorni dalle 11 a mezzanotte",,,"Buongiorno, sono Patrick Sappa. Ho una piccola software house a Seveso, DenkiCode.

Villa Cocca è aperta tutti i giorni dalle undici a mezzanotte, con il ristorante, la pizzeria, gli eventi e la piscina. È una settimana da incastrare ogni settimana. Chi la fa, e su cosa?

Il nostro programma la costruisce una volta, la manda sul telefono di ognuno, e quando salta qualcuno il sabato le dice subito chi è libero e chi ha già fatto troppe ore.

Dieci minuti in videochiamata e capisce se vale qualcosa per voi. Se no, finisce lì.","Via del Chiostro 14, Gavirate · 7 giorni su 7, 11-24, eventi e piscina. 822 post, 6.107 follower."
@tigarba_,Tigarba,Busto Arsizio (VA),Ristorante,3366,T,"cercato «Tigarba Busto Arsizio» → profilo letto il 10/9: ristorante toscano, via per Fagnano angolo via Caserta, linktree con prenotazioni. Squadra stimata 10-20. Scartato dalla lista siti perché ha il sito: mai contattato · [verifica-turni] letto il 10/9: ristorante toscano contemporaneo con carne certificata, prenotazioni online",,,"Buongiorno, sono Patrick Sappa di DenkiCode, una piccola software house a Seveso.

Ho guardato Tigarba, la Toscana a Busto. Sala e cucina su pranzo e cena, prenotazioni online: la squadra c'è. I turni come li fate, ancora sul gruppo WhatsApp?

Abbiamo fatto un programma per quello: la settimana si costruisce una volta, ogni persona vede la sua sul telefono, e i cambi non si perdono nei messaggi.

Glielo faccio vedere in dieci minuti, in videochiamata. Se non le serve me lo dice.","Via per Fagnano, Busto Arsizio · carne toscana certificata. 114 post, 3.366 follower."
@calmaegessobustoarsizio,Calma e Gesso,Busto Arsizio (VA),Bar e ristorante,2119,T,"cercato «Calma e Gesso Busto Arsizio» → profilo letto il 10/9: bar & ristorante via Pozzi 7, orari lunghi (8-20 e sera), eventi, sito calmaegesso.it. Squadra stimata 10-20. Mai contattato · [verifica-turni] letto il 10/9: bar & ristorante con eventi e serate a tema, aperto dal lunedì al sabato dalle 8",,,"Buongiorno, sono Patrick Sappa. Piccola software house a Seveso, DenkiCode.

Calma e Gesso apre alle otto e chiude a sera. In mezzo, eventi e feste. Bar di giorno, ristorante la sera: due squadre, o la stessa che fa tutto? I turni chi li scrive?

Il nostro programma costruisce la settimana una volta, la mette sul telefono di ognuno, e quando qualcuno manca le dice chi è libero.

Dieci minuti in videochiamata, quando le va. Se non fa per voi, non mi sente più.","Via Pozzi 7, Busto Arsizio · bar dalle 8, ristorante, eventi e feste private. 234 post."
@harrysbarcernobbio,Harry's Bar Cernobbio,Cernobbio (CO),Ristorante,6130,T,"cercato «Harry's Bar Cernobbio Cernobbio» → profilo letto il 10/9: ristorante sulla riva di Cernobbio, sito harrysbarcernobbio.it, «da quest'anno aperti tutto l'anno». Squadra stimata 15-30. Scartato dalla lista siti: mai contattato · [verifica-turni] letto il 10/9: da quest'anno aperti tutto l'anno sulla riva di Cernobbio: la squadra non si ferma più a ottobre",,,"Buongiorno, sono Patrick Sappa, DenkiCode, una piccola software house a Seveso.

Ho letto che da quest'anno Harry's Bar resta aperto tutto l'anno. La squadra non si ferma più a ottobre, e i turni diventano un lavoro di dodici mesi. Come li fate?

Il nostro programma li costruisce una volta a settimana, ognuno vede i suoi sul telefono, e ferie e malattie entrano lì dentro senza rifare i conti a mano.

Glielo mostro in dieci minuti, in videochiamata. Se non serve, me lo dice e chiudiamo.","Riva di Cernobbio · aperto tutto l'anno dal 2026. 831 post, 6.130 follower."
