Account IG,Nome attivita,Comune (prov),Segmento,Follower,Gancio (1-6),Esito verifica sito,DM inviato (data),Esito DM,Messaggio,Scheda
@manomortatattoo,Manomorta Tattoo,Bergamo (BG),Tattoo,n.d.,3,manomortatattoo.com risponde HTTP 500 con la scritta «Database Error»,,,"Buongiorno, sono Patrick Sappa — ho una piccola software house a Seveso, DenkiCode.

Le scrivo perché ho guardato il profilo di Manomorta Tattoo e manomortatattoo.com non apre il suo sito: risponde con un errore del database.

Le sue foto erano già metà del lavoro: l'altra metà l'ho fatta io. La bozza del suo sito è già pronta, con le sue immagini e il suo nome — non deve scrivere testi, non deve mandarmi materiale, non deve decidere niente.

Gliela mando qui, la guarda con calma, e se non le piace me lo dice e non ci sentiamo più. Non le costa un euro e non la impegna a niente.

Sul costo non le faccio girare la testa: se poi decidesse di metterlo online, si parla di poche centinaia di euro una volta — non di migliaia — più una quota annuale per tenerlo attivo. Il numero preciso glielo faccio solo se la cosa le interessa davvero.

Gliela mando?","Via Angelo Maj 14/A, Bergamo - tel. 345 8786089, info@manomortatattoo.com. Walk-in accettati.
⚠ Verificato il 5 settembre 2026: il dominio risolve, il server risponde 500 e la pagina dice solo «Database Error». Esiste anche un vecchio manomortatattoopar.wixsite.com. Nel messaggio si dice il fatto, non il giudizio."
@ilbarberking,Barber King,Bergamo (BG),Barber,n.d.,1,"Nessun sito: ha un'app su Google Play e Fresha, ma nessun dominio proprio",,,"Buongiorno, sono Patrick Sappa — ho una piccola software house a Seveso, DenkiCode.

Le scrivo perché ho guardato il profilo di Barber King e su Google non trovo un suo sito: c'è Instagram, ci sono le schede degli altri, ma un sito suo no.

Le sue foto erano già metà del lavoro: l'altra metà l'ho fatta io. La bozza del suo sito è già pronta, con le sue immagini e il suo nome — non deve scrivere testi, non deve mandarmi materiale, non deve decidere niente.

Gliela mando qui, la guarda con calma, e se non le piace me lo dice e non ci sentiamo più. Non le costa un euro e non la impegna a niente.

Sul costo non le faccio girare la testa: se poi decidesse di metterlo online, si parla di poche centinaia di euro una volta — non di migliaia — più una quota annuale per tenerlo attivo. Il numero preciso glielo faccio solo se la cosa le interessa davvero.

Gliela mando?","Via Promessi Sposi 19/B, Bergamo (Villaggio degli Sposi) - tel. 351 7736361.
Verificato il 5 settembre 2026: prenotazioni via app it.barberking.app e Fresha. Nessun sito."
@carusobarbershop_bg,Caruso Barber Shop,Bergamo (BG),Barber,n.d.,2,Dominio morto: carusobarbershop.it non risolve piu su nessuno dei due resolver,,,"Buongiorno, sono Patrick Sappa — ho una piccola software house a Seveso, DenkiCode.

Le scrivo perché ho guardato il profilo di Caruso Barber Shop e il dominio carusobarbershop.it, che compare ancora nelle ricerche, non si apre più.

Le sue foto erano già metà del lavoro: l'altra metà l'ho fatta io. La bozza del suo sito è già pronta, con le sue immagini e il suo nome — non deve scrivere testi, non deve mandarmi materiale, non deve decidere niente.

Gliela mando qui, la guarda con calma, e se non le piace me lo dice e non ci sentiamo più. Non le costa un euro e non la impegna a niente.

Sul costo non le faccio girare la testa: se poi decidesse di metterlo online, si parla di poche centinaia di euro una volta — non di migliaia — più una quota annuale per tenerlo attivo. Il numero preciso glielo faccio solo se la cosa le interessa davvero.

Gliela mando?","Via Borgo Santa Caterina 61/A, Bergamo - tel. 035 0160947. Martedi-sabato 9-19.
⚠ Verificato il 5 settembre 2026: carusobarbershop.it e NXDOMAIN su Google (8.8.8.8) e Cloudflare (1.1.1.1). Le pagine carusobarbershop.it e /cart compaiono ancora nei risultati di ricerca: il sito c'era, il dominio non c'e piu."
@nail_area_bergamo,Nail Area,Bergamo (BG),Nail,n.d.,1,Nessun sito: solo Fresha e Facebook,,,"Buongiorno, sono Patrick Sappa — ho una piccola software house a Seveso, DenkiCode.

Le scrivo perché ho guardato il profilo di Nail Area e su Google non trovo un suo sito: c'è Instagram, ci sono le schede degli altri, ma un sito suo no.

Le sue foto erano già metà del lavoro: l'altra metà l'ho fatta io. La bozza del suo sito è già pronta, con le sue immagini e il suo nome — non deve scrivere testi, non deve mandarmi materiale, non deve decidere niente.

Gliela mando qui, la guarda con calma, e se non le piace me lo dice e non ci sentiamo più. Non le costa un euro e non la impegna a niente.

Sul costo non le faccio girare la testa: se poi decidesse di metterlo online, si parla di poche centinaia di euro una volta — non di migliaia — più una quota annuale per tenerlo attivo. Il numero preciso glielo faccio solo se la cosa le interessa davvero.

Gliela mando?","Via G. Camozzi 134, Bergamo - tel. 389 5032334. Lun-sab 8:30-20.
Verificato il 5 settembre 2026: nessun dominio proprio."
@island_of_nails,Island of Nails,Bergamo (BG),Nail,n.d.,1,Nessun sito: solo Fresha e Facebook,,,"Buongiorno, sono Patrick Sappa — ho una piccola software house a Seveso, DenkiCode.

Le scrivo perché ho guardato il profilo di Island of Nails e su Google non trovo un suo sito: c'è Instagram, ci sono le schede degli altri, ma un sito suo no.

Le sue foto erano già metà del lavoro: l'altra metà l'ho fatta io. La bozza del suo sito è già pronta, con le sue immagini e il suo nome — non deve scrivere testi, non deve mandarmi materiale, non deve decidere niente.

Gliela mando qui, la guarda con calma, e se non le piace me lo dice e non ci sentiamo più. Non le costa un euro e non la impegna a niente.

Sul costo non le faccio girare la testa: se poi decidesse di metterlo online, si parla di poche centinaia di euro una volta — non di migliaia — più una quota annuale per tenerlo attivo. Il numero preciso glielo faccio solo se la cosa le interessa davvero.

Gliela mando?","Via Antonio Vivaldi 21, Bergamo. Manicure, pedicure, extension.
Verificato il 5 settembre 2026: nessun dominio proprio nei risultati."
@kokonail_centroestetico,Koko Nail,Bergamo (BG),Estetica/nail,n.d.,1,"Nessun sito: solo Fresha, Facebook e PagineGialle",,,"Buongiorno, sono Patrick Sappa — ho una piccola software house a Seveso, DenkiCode.

Le scrivo perché ho guardato il profilo di Koko Nail e su Google non trovo un suo sito: c'è Instagram, ci sono le schede degli altri, ma un sito suo no.

Le sue foto erano già metà del lavoro: l'altra metà l'ho fatta io. La bozza del suo sito è già pronta, con le sue immagini e il suo nome — non deve scrivere testi, non deve mandarmi materiale, non deve decidere niente.

Gliela mando qui, la guarda con calma, e se non le piace me lo dice e non ci sentiamo più. Non le costa un euro e non la impegna a niente.

Sul costo non le faccio girare la testa: se poi decidesse di metterlo online, si parla di poche centinaia di euro una volta — non di migliaia — più una quota annuale per tenerlo attivo. Il numero preciso glielo faccio solo se la cosa le interessa davvero.

Gliela mando?","Via Borgo Palazzo 33/A, Bergamo - tel. 351 5968288. Lun-sab 9-20, dom 10-19.
Verificato il 5 settembre 2026: nessun dominio proprio."
@nailnailbergamo,Nail Nail,Bergamo (BG),Nail,n.d.,1,Nessun sito: solo Fresha e directory,,,"Buongiorno, sono Patrick Sappa — ho una piccola software house a Seveso, DenkiCode.

Le scrivo perché ho guardato il profilo di Nail Nail e su Google non trovo un suo sito: c'è Instagram, ci sono le schede degli altri, ma un sito suo no.

Le sue foto erano già metà del lavoro: l'altra metà l'ho fatta io. La bozza del suo sito è già pronta, con le sue immagini e il suo nome — non deve scrivere testi, non deve mandarmi materiale, non deve decidere niente.

Gliela mando qui, la guarda con calma, e se non le piace me lo dice e non ci sentiamo più. Non le costa un euro e non la impegna a niente.

Sul costo non le faccio girare la testa: se poi decidesse di metterlo online, si parla di poche centinaia di euro una volta — non di migliaia — più una quota annuale per tenerlo attivo. Il numero preciso glielo faccio solo se la cosa le interessa davvero.

Gliela mando?","Largo Porta Nuova 12 e Via Sant'Alessandro 2, Bergamo - tel. 366 4300977. Aperto anche la domenica.
Verificato il 5 settembre 2026: due sedi, nessun dominio proprio."
@simonazhou123,ZH Nail Studio,Bergamo (BG),Nail,n.d.,1,"Nessun sito: solo Fresha, PagineGialle e Hotfrog",,,"Buongiorno, sono Patrick Sappa — ho una piccola software house a Seveso, DenkiCode.

Le scrivo perché ho guardato il profilo di ZH Nail Studio e su Google non trovo un suo sito: c'è Instagram, ci sono le schede degli altri, ma un sito suo no.

Le sue foto erano già metà del lavoro: l'altra metà l'ho fatta io. La bozza del suo sito è già pronta, con le sue immagini e il suo nome — non deve scrivere testi, non deve mandarmi materiale, non deve decidere niente.

Gliela mando qui, la guarda con calma, e se non le piace me lo dice e non ci sentiamo più. Non le costa un euro e non la impegna a niente.

Sul costo non le faccio girare la testa: se poi decidesse di metterlo online, si parla di poche centinaia di euro una volta — non di migliaia — più una quota annuale per tenerlo attivo. Il numero preciso glielo faccio solo se la cosa le interessa davvero.

Gliela mando?","Via Borgo Palazzo 32/34, Bergamo - tel. 327 7023063. Unghie, ciglia, ceretta, pulizia viso.
Verificato il 5 settembre 2026: nessun dominio proprio."
@ronny_parrucchieri,Ronny Parrucchieri,Dalmine (BG),Parrucchieri,n.d.,6,Sito vivo ma fermo: ronnyparrucchieri.it e ancora al 2022,,,"Buongiorno, sono Patrick Sappa — ho una piccola software house a Seveso, DenkiCode.

Le scrivo perché ho guardato il profilo di Ronny Parrucchieri e il suo sito c'è, ma è fermo al 2022.

Le sue foto erano già metà del lavoro: l'altra metà l'ho fatta io. La bozza del suo sito è già pronta, con le sue immagini e il suo nome — non deve scrivere testi, non deve mandarmi materiale, non deve decidere niente.

Gliela mando qui, la guarda con calma, e se non le piace me lo dice e non ci sentiamo più. Non le costa un euro e non la impegna a niente.

Sul costo non le faccio girare la testa: se poi decidesse di metterlo online, si parla di poche centinaia di euro una volta — non di migliaia — più una quota annuale per tenerlo attivo. Il numero preciso glielo faccio solo se la cosa le interessa davvero.

Gliela mando?","Viale A. Locatelli 105/108, Dalmine - tel. 035 564002 / 351 5307744. Unisex, oltre 40 anni di attivita.
Verificato il 5 settembre 2026: ronnyparrucchieri.it risponde 200, pagina di 42 KB, l'anno piu recente nel testo e il 2022. Il gancio e l'anno, non il giudizio."
@boutiquedellabellezza.dalmine,Boutique della Bellezza,Dalmine (BG),Estetica/parrucchieri,n.d.,6,"Sito vivo ma fermo: tema Divi 4.6.6 del 2020, copyright 2020",,,"Buongiorno, sono Patrick Sappa — ho una piccola software house a Seveso, DenkiCode.

Le scrivo perché ho guardato il profilo di Boutique della Bellezza e il suo sito c'è, ma è fermo al 2020.

Le sue foto erano già metà del lavoro: l'altra metà l'ho fatta io. La bozza del suo sito è già pronta, con le sue immagini e il suo nome — non deve scrivere testi, non deve mandarmi materiale, non deve decidere niente.

Gliela mando qui, la guarda con calma, e se non le piace me lo dice e non ci sentiamo più. Non le costa un euro e non la impegna a niente.

Sul costo non le faccio girare la testa: se poi decidesse di metterlo online, si parla di poche centinaia di euro una volta — non di migliaia — più una quota annuale per tenerlo attivo. Il numero preciso glielo faccio solo se la cosa le interessa davvero.

Gliela mando?","Via A. Manzoni 14-18, Dalmine - tel. 348 1114658 (estetica) / 035 561394 (parrucchiere), info@boutiquedellabellezza.com.
Verificato il 5 settembre 2026: boutiquedellabellezza.com gira su Divi v.4.6.6, versione uscita nel 2020, e l'anno piu ricorrente nella pagina e il 2020."
