Presidio,Comune e indirizzo,Telefono,Sito,Baratto,Volantini lasciati,Data del giro,Esito,Chiamate in ingresso,Note Patrick
Daniel Wrapping,"Cogliate, Via Cesare Battisti",347 3455169,Nessuno,SI,30,,,,
Ferramenta Caronni S.n.c.,"Seveso, Viale Montello 40",0362 501038,Nessuno,SI,30,,,,
F.C. Ferramenta Carimati,"Cesano Maderno, Corso Roma 22",0362 506746,Nessuno,SI,30,,,,
Ferramenta Carimati di Carimati Roberto,"Cesano Maderno, Piazza Vittorio Veneto 3",0362 501126,Nessuno,SI,30,,,,
Ferramenta Formenti S.n.c.,"Cesano Maderno, Via Trento",0362 503204,Da verificare,Probabile,30,,,,
Nobili Ferramenta,"Meda, Via Einaudi 59",in scheda PG,Da verificare,Probabile,30,,,,
Lissoni Sergio,"Seveso, Via Trento Trieste 55",in scheda PG,Da verificare,Probabile,30,,,,
Elio Desio Fotocopisteria,"Desio, Via Brianza 41",0362 623184,eliodesio.it,NO,20,,,,
Timser Timbrificio Seregnese,"Seregno, Via Madrid 1",0362 328484,timser.it,NO,20,,,,
Gislon Pubblicita S.n.c.,"Lissone, Via della Betulla 4",039 480917,gislonpubblicita.it,NO,20,,,,
