Attivita e indirizzo,Tipologia / Settore,Servizio da Proporre,Gancio d'Ingresso (cosa guardare prima di entrare)
"La Rustica Ristorante Pizzeria Braceria - Corso Garibaldi 53, Seveso",Ristorante pizzeria / Ristorazione,Sito Vetrina,"Guarda il menu esposto: se e' un foglio plastificato ingiallito e non c'e' nessun QR ne' indirizzo web, entri con quello. 'Ho provato a cercare il vostro menu prima di venire e non l'ho trovato.'"
"La Sprelunga - Via Sprelunga 55, Seveso",Ristorante / Ristorazione,Sito Vetrina,"Controlla se sulla porta c'e' scritto solo il numero di telefono. Angolo: 'siete fuori dal centro, chi non vi conosce come vi trova?'"
"Vecchia Brianza - Via Tonale 35, Seveso",Ristorante / Ristorazione,Sito Vetrina,"Guarda se hanno esposto recensioni o adesivi TripAdvisor: se si', hanno gia' capito che il giudizio online conta, e non hanno il posto dove mandarlo."
"Bar Stadio di Lettieri Marco - Via Cacciatori delle Alpi 46, Seveso",Bar / Ristorazione,DenkiShift,Conta le persone dietro al banco e cerca il cartello 'cercasi personale'. Sotto le 8 persone non e' un cliente DenkiShift: allora lascia il volantino del sito e basta.
"Burnout Pub & Grill - Via Vignazzola 20, Seveso",Pub con cucina / Ristorazione,DenkiShift,"Leggi l'orario esposto: se chiude dopo mezzanotte ha turni serali e sostituzioni. Entra sul turno, non sul sito."
"Bottega Ristobar - Via Cardinal Federico Borromeo 24, Seveso",Ristobar / Ristorazione,DenkiShift,Doppio servizio bar e cucina: guarda se c'e' scritto l'orario continuato. Orario continuato = due turni = il problema che vendiamo.
"Il Massimo Caffe - Piazza Leonardo da Vinci 12, Seveso",Caffetteria / Ristorazione,Sito Vetrina,In vetrina c'e' l'icona di Facebook e non un indirizzo web: e' l'aggancio letterale. 'Vi ho cercati su Google e ho trovato solo la pagina Facebook.'
"Ab Hair Studio - Via Attilio Confalonieri 34, Seveso",Parrucchiere / Wellness,Sito Vetrina,"Guarda se c'e' un cartello con gli orari e un QR per prenotare. Se prenotano solo a voce, la domanda e' 'quante telefonate al giorno solo per fissare?'"
"Ar & Co' Parrucchieri - Via Zeuner Federico 5, Seveso",Parrucchiere / Wellness,Sito Vetrina,"Conta le poltrone dalla vetrina: da tre in su c'e' un organico, e allora ci sono due leve invece di una."
"Bottega del Benessere - Piazza Monte Bianco 1, Cesano Maderno",Centro estetico / Wellness,Sito Vetrina,"Cerca il listino esposto: se c'e' solo in vetrina e non online, entri di li'. Hanno due sedi a Cesano: chiedi di Eleonora Spano, decide lei per tutte e due."
