Nome Azienda,Telefono / Cellulare,Tipo Azienda,Settore,Servizio da Vendere,Prezzo Indicativo,Note Strategiche (Claude),Esito e Note Agente
Birreria Myhouse (Seveso),349 3194521,Birreria,Ristorazione,Sito Vetrina,200 EUR + 180 EUR/anno,"VERIFICATO: nessun sito, nessun dominio. Solo TripAdvisor e Foursquare, e il numero e' un cellulare. GANCIO: 'ho cercato Myhouse su Google e trovo solo TripAdvisor: le serate chi le annuncia?' OBIEZIONE 'ci basta il passaparola' -> Blount: accetta ('ha senso, il locale e' pieno'), spiazza ('infatti non le porto clienti nuovi: le porto quelli che la cercano e non la trovano'), chiedi. SPIN-Implicazione: 'quando fate una serata, quante persone la scoprono il giorno dopo?'",
Veg Cucina Naturale (Seveso),392 9216200,Ristorante vegetariano,Ristorazione,Sito Vetrina,200 EUR + 180 EUR/anno,"VERIFICATO: nessun sito. Compare solo su iomangioveg e Groupon. Nicchia forte: chi cerca 'vegano Brianza' e' un cliente gia' deciso. GANCIO: 'siete l'unico veg della zona e su Google vi trova solo chi sa gia' il nome'. OBIEZIONE 'siamo su Groupon' -> Voss-mirroring: 'su Groupon?' -> emerge che paga commissione. SPIN-Implicazione: 'quanto lascia a Groupon su un coperto, e quanti coperti al mese arrivano da li'?'",
Enoteca Degusti-Bus (Seveso),0362 501893,Enoteca e caffetteria,Ristorazione,Sito Vetrina,200 EUR + 180 EUR/anno,"VERIFICATO: nessun dominio proprio, solo Facebook. Le recensioni citano Matteo per nome: e' lui il decisore. GANCIO: chiedere di Matteo. OBIEZIONE 'non ho tempo' -> Voss orientata al no: 'e' un momento terribile per parlare?'. SPIN-Situazione: 'le degustazioni come le comunicate oggi?'",
Bar Stadio di Lettieri Marco (Seveso),0362 503108,Bar,Ristorazione,Sito Vetrina,200 EUR + 180 EUR/anno,"VERIFICATO: nessun sito. Ditta individuale, il titolare e' Marco Lettieri: si chiede di lui per nome. GANCIO: bar senza cucina, il sito serve per orari ed eventi. OBIEZIONE 'sono un bar, non mi serve' -> Blount: accetta, spiazza ('per un bar il sito non serve a vendere, serve a farsi trovare aperto'), chiedi. SPIN-Problema: 'le capita che chiamino per sapere se e' aperto?'",
Barazzetta S.r.l. (Seveso),0362 282629,Bar e caffetteria,Ristorazione,Sito Vetrina,200 EUR + 180 EUR/anno,"VERIFICATO: nessun sito. E' una S.r.l., non una ditta individuale: c'e' una struttura e un budget. GANCIO: 'una S.r.l. senza una pagina propria e' rara'. OBIEZIONE 'ci pensa mio nipote' -> Blount-isolamento: 'a parte questo, c'e' altro che vi trattiene?'. SPIN-Necessita': 'se chi cerca un bar in centro trovasse voi per primi, cosa cambierebbe?'",
Civico 20 (Seveso),0362 1829668,Bar e caffetteria,Ristorazione,Sito Vetrina,200 EUR + 180 EUR/anno,"VERIFICATO: nessun sito, nessun dominio. Recensioni divise: forti su colazione e brioche, deboli sul resto. GANCIO: 'le recensioni parlano bene della colazione, ma online non c'e' niente che lo dica'. SPIN-Implicazione: 'chi cerca dove fare colazione a Seveso vi trova?'",
Il Massimo Caffe (Seveso),0362 1918360,Caffetteria e cocktail bar,Ristorazione,Sito Vetrina,200 EUR + 180 EUR/anno,"VERIFICATO: nessun sito. 4.2 su TripAdvisor, citato per i cocktail e i negroni: reputazione buona, vetrina zero. GANCIO: 'avete la reputazione ma non la vetrina'. OBIEZIONE 'siamo su TripAdvisor' -> Voss-labeling: 'sembra che vi vada bene farvi raccontare da altri'. SPIN-Problema: 'chi decide dove bere stasera vi trova o trova la scheda di qualcun altro?'",
Ab Hair Studio (Seveso),366 1447606,Parrucchiere,Wellness,Sito Vetrina,200 EUR + 180 EUR/anno,"VERIFICATO: nessun sito, solo Instagram e Treatwell. Titolare Alessia, 18 anni di mestiere, rivenditore Medavita. GANCIO: chiedere di Alessia. OBIEZIONE 'ho Instagram' -> Blount: accetta, spiazza ('Instagram lo vede chi la segue gia'; il sito lo trova chi non la conosce'), chiedi. SPIN-Implicazione: 'su dieci clienti nuovi, quanti arrivano da Instagram e quanti da un'amica?'",
Ar & Co' Parrucchieri (Seveso),0362 650423,Parrucchiere donna,Wellness,Sito Vetrina,200 EUR + 180 EUR/anno,VERIFICATO: nessun sito. Presente solo su Fresha (piattaforma di prenotazione a commissione). Titolare Arjela Shpani. GANCIO: 'le prenotazioni passano da Fresha?'. SPIN-Implicazione: 'quanto le trattiene Fresha su ogni appuntamento?',
Aemme Style di Montesano Antonella (Seveso),0362 540579,Parrucchiere donna,Wellness,Sito Vetrina,200 EUR + 180 EUR/anno,"VERIFICATO: nessun sito. Aperta 9-19 dal lunedi al venerdi: chiamare 14:00-16:00, non a meta' mattina. GANCIO: chiedere di Antonella. OBIEZIONE 'non ho tempo adesso' -> Voss: 'e' un momento terribile?'. SPIN-Situazione: 'come prendete gli appuntamenti oggi?'",
Electa parrucchiere estetica (Meda),340 3239098,Parrucchiere ed estetica,Wellness,Sito Vetrina,200 EUR + 180 EUR/anno,"VERIFICATO: nessun sito. Fa parrucchiere E estetica: due listini, due tipi di cliente. GANCIO: 'chi cerca l'estetista a Meda non sa che lo fate anche voi'. SPIN-Problema: 'i clienti del parrucchiere sanno che fate anche estetica?'",
