Nome Azienda,Telefono / Cellulare,Tipo Azienda,Settore,Servizio da Vendere,Prezzo Indicativo,Note Strategiche (Claude),Esito e Note Giulia
Agla Elettronica Srl (Albiate),0362 934129,"Manifattura (legno, arredo, plastica, chimica, tessile, alimentare)",Fabbricazione di altre apparecchiature elettriche nca,D - gestionale su misura (apertura: indagine di mercato),D: 2.000-2.500 EUR - C: ~2 EUR/dip./mese,"Manifattura (legno, arredo, plastica, chimica, tessile, alimentare) | ATECO 27.90.09 Fabbricazione di altre apparecchiature elettriche nca | fatturato 5.132.638 EUR (2024) | dipendenti da 20 a 49 | 9.5 km da Seveso | Viale Della Repubblica, 10 - | GANCIO: Ordine di produzione tracciato: dalla conferma alla spedizione in un posto solo | fonte companyreports.it/agla-elettronica-srl-02636260966 | telefono: PG «agla elettronica» in albiate → Agla Elettronica Srl | Viale della Repubblica, 10 - 20847 Albiate (MB)",
Arteca S.p.a. (Barlassina),0362 276675,Ingrosso e distribuzione,Commercio all'ingrosso di articoli in ferro e in altri metalli (ferramenta),D - gestionale su misura (apertura: indagine di mercato),D: 2.000-2.500 EUR - C: ~2 EUR/dip./mese,"Ingrosso e distribuzione | ATECO 46.74.1 Commercio all'ingrosso di articoli in ferro e in altri metalli (ferramenta) | fatturato 14.226.049 EUR (2024) | dipendenti da 16 a 19 | 2 km da Seveso | Via Bellisario, 1 - | GANCIO: Sincronizzazione ordini/magazzino: giacenza vera mentre il cliente e' al telefono | fonte companyreports.it/arteca-spa-06671450150 | telefono: PG «arteca» in barlassina → Arteca S.p.a. | Via Mario Galli, 1 - 20825 Barlassina (MB)",
Mistral Aspiratori Ventilatori Srl (Barlassina),0362 556944,Metalmeccanica e officine,Fabbricazione di attrezzature di uso non domestico per la refrigerazione e la ventilazione,D - gestionale su misura (apertura: indagine di mercato),D: 2.000-2.500 EUR - C: ~2 EUR/dip./mese,"Metalmeccanica e officine | ATECO 28.25 Fabbricazione di attrezzature di uso non domestico per la refrigerazione e la ventilazione | fatturato 3.402.719 EUR (2024) | dipendenti da 6 a 9 | 2 km da Seveso | Via Luigi Capuana, 33/35 - | GANCIO: Interventi e manutenzioni programmate: chi va da chi, con lo storico macchina | fonte companyreports.it/mistral-aspiratori-ventilatori-srl-02197760966 | telefono: PG «mistral aspiratori ventilatori» in barlassina → Mistral Aspiratori Ventilatori S.r.l. | Via Mario Galli, 10 - 20825 Barlassina (MB)",
Discacciati S.r.l. (Barlassina),"0362 284379, 0362 285228","Manifattura (legno, arredo, plastica, chimica, tessile, alimentare)",Fabbricazione di altri mobili non metallici per ufficio e negozi,D - gestionale su misura (apertura: indagine di mercato),D: 2.000-2.500 EUR - C: ~2 EUR/dip./mese,"Manifattura (legno, arredo, plastica, chimica, tessile, alimentare) | ATECO 31.01.22 Fabbricazione di altri mobili non metallici per ufficio e negozi | fatturato 2.507.529 EUR (2024) | dipendenti da 10 a 15 | 2 km da Seveso | Via Luigi Capuana, 13 - | GANCIO: Ordine di produzione tracciato: dalla conferma alla spedizione in un posto solo | fonte companyreports.it/discacciati-srl-02636430965 | telefono: PG «discacciati» in barlassina → Discacciati S.r.l. | Via Capuana, 13 - 20825 Barlassina (MB)",
Progetto Marmo S.r.l. (Barlassina),0362 567166,"Manifattura (legno, arredo, plastica, chimica, tessile, alimentare)",Segagione e lavorazione delle pietre e del marmo,D - gestionale su misura (apertura: indagine di mercato),D: 2.000-2.500 EUR - C: ~2 EUR/dip./mese,"Manifattura (legno, arredo, plastica, chimica, tessile, alimentare) | ATECO 23.70.1 Segagione e lavorazione delle pietre e del marmo | fatturato 1.858.042 EUR (2024) | dipendenti da 10 a 15 | 2 km da Seveso | Via Raffaello Sanzio, 2 - | GANCIO: Ordine di produzione tracciato: dalla conferma alla spedizione in un posto solo | fonte companyreports.it/progetto-marmo-srl-07205590966 | telefono: PG «progetto marmo» in barlassina → Progetto Marmo S.r.l. | Via Raffaello Sanzio, 2 - 20825 Barlassina (MB)",
Vaghi Srl (Bovisio Masciago),0362 591404,"Manifattura (legno, arredo, plastica, chimica, tessile, alimentare)",Fabbricazione di sedie e poltrone per ufficio e negozi,D - gestionale su misura (apertura: indagine di mercato),D: 2.000-2.500 EUR - C: ~2 EUR/dip./mese,"Manifattura (legno, arredo, plastica, chimica, tessile, alimentare) | ATECO 31.01.1 Fabbricazione di sedie e poltrone per ufficio e negozi | fatturato 8.714.924 EUR (2024) | dipendenti da 10 a 15 | 3 km da Seveso | Via Brughetti, 0018 - | GANCIO: Ordine di produzione tracciato: dalla conferma alla spedizione in un posto solo | fonte companyreports.it/vaghi-srl-00679880153 | telefono: PG «vaghi» in bovisio masciago → Vaghi | Via Brughetti, 16/18 - 20813 Bovisio Masciago (MB)",
G. & G. Di Gennari Srl (Bovisio Masciago),"0362 558589, 0362 559718, 0362 593386",Ingrosso e distribuzione,"Commercio all'ingrosso di legname, semilavorati in legno e legno artificiale",D - gestionale su misura (apertura: indagine di mercato),D: 2.000-2.500 EUR - C: ~2 EUR/dip./mese,"Ingrosso e distribuzione | ATECO 46.73.1 Commercio all'ingrosso di legname, semilavorati in legno e legno artificiale | fatturato 5.804.616 EUR (2024) | dipendenti da 10 a 15 | 3 km da Seveso | Via Fermi, 12 - | GANCIO: Sincronizzazione ordini/magazzino: giacenza vera mentre il cliente e' al telefono | fonte companyreports.it/g-g-di-gennari-srl-02451520965 | telefono: PG «gennari» in bovisio masciago → G & G Gennari S.r.l. | Via Fermi Enrico, 13 - 20813 Bovisio Masciago (MB)",
A.e.g. Legno Srl (Bovisio Masciago),"0362 593223, 02 99047796","Manifattura (legno, arredo, plastica, chimica, tessile, alimentare)",Fabbricazione di altri elementi in legno e di falegnameria per l'edilizia,D - gestionale su misura (apertura: indagine di mercato),D: 2.000-2.500 EUR - C: ~2 EUR/dip./mese,"Manifattura (legno, arredo, plastica, chimica, tessile, alimentare) | ATECO 16.23.2 Fabbricazione di altri elementi in legno e di falegnameria per l'edilizia | fatturato 5.563.475 EUR (2024) | dipendenti da 10 a 15 | 3 km da Seveso | Via Brughetti, 0020 - | GANCIO: Ordine di produzione tracciato: dalla conferma alla spedizione in un posto solo | fonte companyreports.it/aeg-legno-srl-04604890154 | telefono: PG «legno» in bovisio masciago → A.E.G. Legno S.r.l. | Via Brughetti, 20/22 - 20813 Bovisio Masciago (MB)",
Tecnofix S.r.l. (Bovisio Masciago),"0362 690029, 0362 690030",Ingrosso e distribuzione,Commercio all'ingrosso di articoli in ferro e in altri metalli (ferramenta),D - gestionale su misura (apertura: indagine di mercato),D: 2.000-2.500 EUR - C: ~2 EUR/dip./mese,"Ingrosso e distribuzione | ATECO 46.74.1 Commercio all'ingrosso di articoli in ferro e in altri metalli (ferramenta) | fatturato 3.126.538 EUR (2024) | dipendenti da 6 a 9 | 3 km da Seveso | Via Brughetti, 4/G - | GANCIO: Sincronizzazione ordini/magazzino: giacenza vera mentre il cliente e' al telefono | fonte companyreports.it/tecnofix-srl-02577370121 | telefono: PG «tecnofix» in bovisio masciago → Tecnofix S.r.l. | Via Brughetti, 4/G - 20813 Bovisio Masciago (MB)",
Coni-press S.r.l. (Bovisio Masciago),0362 591532,Metalmeccanica e officine,Fabbricazione di serrature e cerniere,D - gestionale su misura (apertura: indagine di mercato),D: 2.000-2.500 EUR - C: ~2 EUR/dip./mese,"Metalmeccanica e officine | ATECO 25.72 Fabbricazione di serrature e cerniere | fatturato 2.031.834 EUR (2024) | dipendenti da 6 a 9 | 3 km da Seveso | Via Podgora, 0034 - | GANCIO: Tracciamento commesse in officina: quale pezzo a che fase, senza girare a chiedere | fonte companyreports.it/coni-press-srl-06394930157 | telefono: PG «coni press» in bovisio masciago → Coni - Press S.r.l. | Via Podgora, 34 - 20813 Bovisio Masciago (MB)",
