Account IG,Nome attivita,Comune (prov),Segmento,Follower,Gancio (1-6),Esito verifica sito,DM inviato (data),Esito DM,Messaggio,Scheda,Lista,Prodotto,Letto (data),Chat
@caffepolibergamo,Caffè Poli Torrefazione,Bergamo (BG),Torrefazione,1078,R,"cercato «""Caffè Poli Torrefazione"" Bergamo» sulla ricerca di Instagram → [verifica-azienda] profilo letto il 15/9: bio: il caffè di Bergamo dal 1962, partner ufficiale Atalanta, acquisto online via linktr.ee. Torrefazione storica con e-commerce. 1078 follower, 655 post",,,"Buongiorno, sono Patrick Sappa di DenkiCode, una piccola software house di Seveso (www.denkicode.com).

Stiamo facendo un'analisi sulla digitalizzazione delle PMI del territorio, e tostate il caffè di Bergamo dal 1962 e siete partner ufficiale dell'Atalanta: è il tipo di azienda che ci serve per avere un quadro vero.

Sono sei domande, si risponde in tre minuti, è anonimo e il contatto lo lascia solo chi vuole:
https://docs.google.com/forms/d/e/1FAIpQLSe2cCfeAx8IVLRq-ocJe4MUpq43u_1D95IpBPjqOYX-90a9JA/viewform

Quando abbiamo finito il giro vi mando quello che è venuto fuori dalle altre aziende della zona. Almeno sapete come sono messi gli altri.","Il caffè di Bergamo dal 1962 / Partner Ufficiale Atalanta / Acquista online il nostro caffè. 655 post, 1078 follower.",2026-09-16-instagram-ricerca-lombardia.csv,ricerca,,
@rudecoffee.it,Rude Coffee,Milano (MI),Torrefazione,1026,R,"cercato «""Rude Coffee"" Milano» sulla ricerca di Instagram → [verifica-azienda] profilo letto il 15/9: bio: torrefazione artigianale, Milano roastery, no shop just pop-ups, «il tuo brand di caffè? lo produciamo noi», sito rudecoffee.it. Produzione conto terzi. 1026 follower, 11 post",,,"Buongiorno, sono Patrick Sappa di DenkiCode, una piccola software house di Seveso (www.denkicode.com).

Stiamo facendo un'analisi sulla digitalizzazione delle PMI del territorio, e tostate a Milano e producete il caffè anche per i marchi degli altri: è il tipo di azienda che ci serve per avere un quadro vero.

Sono sei domande, si risponde in tre minuti, è anonimo e il contatto lo lascia solo chi vuole:
https://docs.google.com/forms/d/e/1FAIpQLSe2cCfeAx8IVLRq-ocJe4MUpq43u_1D95IpBPjqOYX-90a9JA/viewform

Quando abbiamo finito il giro vi mando quello che è venuto fuori dalle altre aziende della zona. Almeno sapete come sono messi gli altri.","The Modern Italian Espresso / Tostiamo il giusto, nè poco nè troppo. / Milano Roastery. No shop, just pop-ups. / Il tuo brand di caffè? Lo produciamo noi. 11 post, 1026 follower.",2026-09-16-instagram-ricerca-lombardia.csv,ricerca,,
@morris_tessitura_como,Morris JQ Tex,Como (CO),Tessitura,380,R,"cercato «""Morris JQ Tex"" Como» sulla ricerca di Instagram → [verifica-azienda] profilo letto il 15/9: bio: research, development and textile sampling atelier for the luxury industry, Como, telefono 031800654, sito morrisjqtex.com. Atelier tessile per l'alta moda. 380 follower, 23 post",,,"Buongiorno, sono Patrick Sappa di DenkiCode, una piccola software house di Seveso (www.denkicode.com).

Stiamo facendo un'analisi sulla digitalizzazione delle PMI del territorio, e fate ricerca, sviluppo e campionatura tessile per il lusso a Como: è il tipo di azienda che ci serve per avere un quadro vero.

Sono sei domande, si risponde in tre minuti, è anonimo e il contatto lo lascia solo chi vuole:
https://docs.google.com/forms/d/e/1FAIpQLSe2cCfeAx8IVLRq-ocJe4MUpq43u_1D95IpBPjqOYX-90a9JA/viewform

Quando abbiamo finito il giro vi mando quello che è venuto fuori dalle altre aziende della zona. Almeno sapete come sono messi gli altri.","Research, development, and textile sampling atelier for the luxury industry. tel 031800654. 23 post, 380 follower.",2026-09-16-instagram-ricerca-lombardia.csv,ricerca,,
@tessutimaritexcomo,Maritex,Cadorago (CO),Tessuti,2353,R,"cercato «""Maritex"" Cadorago» sulla ricerca di Instagram → [verifica-azienda] profilo letto il 15/9: bio: tessuti made in Italy, converter alta moda, creazione, variantatura, proposte innovative, via Vivaldi 6 Cadorago, worldwide shipping, telefono 3386220564. Azienda tessile con produzione ed export. 2353 follower, 184 post",,,"Buongiorno, sono Patrick Sappa di DenkiCode, una piccola software house di Seveso (www.denkicode.com).

Stiamo facendo un'analisi sulla digitalizzazione delle PMI del territorio, e siete converter di alta moda con i tessuti made in Italy e spedite in tutto il mondo: è il tipo di azienda che ci serve per avere un quadro vero.

Sono sei domande, si risponde in tre minuti, è anonimo e il contatto lo lascia solo chi vuole:
https://docs.google.com/forms/d/e/1FAIpQLSe2cCfeAx8IVLRq-ocJe4MUpq43u_1D95IpBPjqOYX-90a9JA/viewform

Quando abbiamo finito il giro vi mando quello che è venuto fuori dalle altre aziende della zona. Almeno sapete come sono messi gli altri.","Via vivaldi 6. Tessuti Made in Italy / Converter Alta Moda / Creazione, variantatura, proposte innovative / Como,Italy / Worldwide shipping. tel 3386220564. 184 post, 2353 follower.",2026-09-16-instagram-ricerca-lombardia.csv,ricerca,,
@m.g.calzature.vigevano,M.G. Calzature,Vigevano (PV),Calzaturificio,782,R,"cercato «""M.G. Calzature"" Vigevano» sulla ricerca di Instagram → [verifica-azienda] profilo letto il 15/9: bio: negozio di calzature di produzione propria a Vigevano, via Caduti per la Liberazione 35, spedizioni in tutta Italia, sito mgstyle.it, info@emmegiitalia.it. Produzione propria più vendita. 782 follower, 490 post",,,"Buongiorno, sono Patrick Sappa di DenkiCode, una piccola software house di Seveso (www.denkicode.com).

Stiamo facendo un'analisi sulla digitalizzazione delle PMI del territorio, e producete le scarpe che vendete, a Vigevano, e le spedite in tutta Italia: è il tipo di azienda che ci serve per avere un quadro vero.

Sono sei domande, si risponde in tre minuti, è anonimo e il contatto lo lascia solo chi vuole:
https://docs.google.com/forms/d/e/1FAIpQLSe2cCfeAx8IVLRq-ocJe4MUpq43u_1D95IpBPjqOYX-90a9JA/viewform

Quando abbiamo finito il giro vi mando quello che è venuto fuori dalle altre aziende della zona. Almeno sapete come sono messi gli altri.","Via Caduti per la Liberazione, 35. Negozio di calzature di produzione propria a Vigevano Info WhatsApp 388-5890962 Spediamo in tutta Italia Info e-mail: info@emmegiitalia.it. tel 3885890962. 490 post, 782 follower.",2026-09-16-instagram-ricerca-lombardia.csv,ricerca,,
@vivaio.punto.verde.milano,Vivaio Punto Verde,Milano (MI),Vivaio,375,R,"cercato «""Vivaio Punto Verde"" Milano» sulla ricerca di Instagram → [verifica-azienda] profilo letto il 15/9: bio: vivaio dell'Ortica dal 1987, telefono 0270128324, nessun sito in bio. Vivaio storico milanese. 375 follower, 236 post",,,"Buongiorno, sono Patrick Sappa di DenkiCode, una piccola software house di Seveso (www.denkicode.com).

Stiamo facendo un'analisi sulla digitalizzazione delle PMI del territorio, e avete il vivaio dell'Ortica dal 1987: è il tipo di azienda che ci serve per avere un quadro vero.

Sono sei domande, si risponde in tre minuti, è anonimo e il contatto lo lascia solo chi vuole:
https://docs.google.com/forms/d/e/1FAIpQLSe2cCfeAx8IVLRq-ocJe4MUpq43u_1D95IpBPjqOYX-90a9JA/viewform

Quando abbiamo finito il giro vi mando quello che è venuto fuori dalle altre aziende della zona. Almeno sapete come sono messi gli altri.","Vivaio dell'Ortica dal 1987 / Telefono: 0270128324. 236 post, 375 follower.",2026-09-16-instagram-ricerca-lombardia.csv,ricerca,,
@cascinabollate,Cascina Bollate,Milano (MI),Vivaio,2932,R,"cercato «""Cascina Bollate"" Milano» sulla ricerca di Instagram → [verifica-azienda] profilo letto il 15/9: bio: il vivaio in un carcere a Milano, piante insolite, online e in vivaio, via Belgioioso 120, sito cascinabollate.org. Cooperativa con vivaio ed e-commerce. 2932 follower, 226 post",,,"Buongiorno, sono Patrick Sappa di DenkiCode, una piccola software house di Seveso (www.denkicode.com).

Stiamo facendo un'analisi sulla digitalizzazione delle PMI del territorio, e gestite un vivaio dentro un carcere a Milano, con il negozio online e le piante insolite: è il tipo di azienda che ci serve per avere un quadro vero.

Sono sei domande, si risponde in tre minuti, è anonimo e il contatto lo lascia solo chi vuole:
https://docs.google.com/forms/d/e/1FAIpQLSe2cCfeAx8IVLRq-ocJe4MUpq43u_1D95IpBPjqOYX-90a9JA/viewform

Quando abbiamo finito il giro vi mando quello che è venuto fuori dalle altre aziende della zona. Almeno sapete come sono messi gli altri.","Via Cristina Belgioioso120. #piante insolite / Online e in vivaio / Se ancora non ci conosci. 226 post, 2932 follower.",2026-09-16-instagram-ricerca-lombardia.csv,ricerca,,
@3ggiardini,3G Giardini di Nazzareno Bresciani,Brescia (BS),Giardinaggio,1075,R,"cercato «""3G Giardini di Nazzareno Bresciani"" Brescia» sulla ricerca di Instagram → [verifica-azienda] profilo letto il 15/9: bio: creazione e gestione del vostro spazio verde, trattamenti antiparassitari e antizanzare, progettazione con render grafici, impianti di irrigazione, telefono 3335630758. Impresa di giardinaggio con progettazione. 1075 follower, 19 post",,,"Buongiorno, sono Patrick Sappa di DenkiCode, una piccola software house di Seveso (www.denkicode.com).

Stiamo facendo un'analisi sulla digitalizzazione delle PMI del territorio, e progettate e curate spazi verdi, dai render agli impianti di irrigazione: è il tipo di azienda che ci serve per avere un quadro vero.

Sono sei domande, si risponde in tre minuti, è anonimo e il contatto lo lascia solo chi vuole:
https://docs.google.com/forms/d/e/1FAIpQLSe2cCfeAx8IVLRq-ocJe4MUpq43u_1D95IpBPjqOYX-90a9JA/viewform

Quando abbiamo finito il giro vi mando quello che è venuto fuori dalle altre aziende della zona. Almeno sapete come sono messi gli altri.","Creazione e gestione del vostro spazio verde / Trattamenti antiparassitari, anti zanzare / Progettazione con render grafici / Impianti di irrigazione. tel 3335630758. 19 post, 1075 follower.",2026-09-16-instagram-ricerca-lombardia.csv,ricerca,,
@lodauto,Lodauto,Bergamo (BG),Concessionaria,4178,R,"cercato «""Lodauto"" Bergamo» sulla ricerca di Instagram → [verifica-azienda] profilo letto il 15/9: bio: concessionaria a Bergamo e Zingonia dal 1972, Mercedes-Benz, smart, AMG, Omoda Jaecoo, via Correnti 21, sito lodauto.it, telefono 0354232611. Due sedi, vendita e assistenza. 4178 follower, 1555 post",,,"Buongiorno, sono Patrick Sappa di DenkiCode, una piccola software house di Seveso (www.denkicode.com).

Stiamo facendo un'analisi sulla digitalizzazione delle PMI del territorio, e siete la concessionaria Mercedes di Bergamo e Zingonia dal 1972: è il tipo di azienda che ci serve per avere un quadro vero.

Sono sei domande, si risponde in tre minuti, è anonimo e il contatto lo lascia solo chi vuole:
https://docs.google.com/forms/d/e/1FAIpQLSe2cCfeAx8IVLRq-ocJe4MUpq43u_1D95IpBPjqOYX-90a9JA/viewform

Quando abbiamo finito il giro vi mando quello che è venuto fuori dalle altre aziende della zona. Almeno sapete come sono messi gli altri.","Via Cesare Correnti, 21. La tua concessionaria a Bergamo e Zingonia dal 1972 / Mercedes-Benz · smart · AMG · Omoda|Jaecoo / Preventivo & Test Drive gratuiti. tel 0354232611. 1555 post, 4178 follower.",2026-09-16-instagram-ricerca-lombardia.csv,ricerca,,
@lautomobiledinascimbeni,Nascimbeni Auto,Ghedi (BS),Concessionaria,824,R,"cercato «""Nascimbeni Auto"" Ghedi» sulla ricerca di Instagram → [verifica-azienda] profilo letto il 15/9: bio: concessionaria dal 1981, nuovo km0 usato garantito, via Industriale 94 Ghedi, km certificati, garanzia fino a 24 mesi, sito nascimbeniauto.it, telefono 0309032200. 824 follower, 216 post",,,"Buongiorno, sono Patrick Sappa di DenkiCode, una piccola software house di Seveso (www.denkicode.com).

Stiamo facendo un'analisi sulla digitalizzazione delle PMI del territorio, e vendete auto a Ghedi dal 1981, nuovo, chilometri zero e usato garantito: è il tipo di azienda che ci serve per avere un quadro vero.

Sono sei domande, si risponde in tre minuti, è anonimo e il contatto lo lascia solo chi vuole:
https://docs.google.com/forms/d/e/1FAIpQLSe2cCfeAx8IVLRq-ocJe4MUpq43u_1D95IpBPjqOYX-90a9JA/viewform

Quando abbiamo finito il giro vi mando quello che è venuto fuori dalle altre aziende della zona. Almeno sapete come sono messi gli altri.","Via Industriale 94. Concessionaria dal 1981 / Nuovo•Km0•Usato Garantito / Ghedi / KM certificatiGaranzia fino 24 mesi / Scopri le auto disponibili. tel 0309032200. 216 post, 824 follower.",2026-09-16-instagram-ricerca-lombardia.csv,ricerca,,
