Nome Azienda,Telefono / Cellulare,Tipo Azienda,Settore,Servizio da Vendere,Prezzo Indicativo,Note Strategiche (Claude),Esito e Note Agente
Tripoli Barber Shop (Limbiate),351 2625788,Barbiere uomo,Wellness,Sito Vetrina,200 EUR + 180 EUR/anno,"SITO: nessuno - verificato su Google e provando il dominio. Solo schede di directory. GANCIO: 'ho cercato Tripoli Barber Shop e non trovo niente di vostro'. OBIEZIONE 'i clienti li ho gia'' -> Blount: accetta ('ha senso'), spiazza ('infatti non le porto i suoi: le porto chi cerca un barbiere in zona e non la trova'), chiedi l'appuntamento. SPIN-Problema: 'i clienti nuovi come la trovano oggi?'",
Galli Ivan (Limbiate),335 5788461,Parrucchiere uomo,Wellness,Sito Vetrina,200 EUR + 180 EUR/anno,"SITO: nessuno - verificato. Attivi dal 1981: 45 anni di mestiere e zero righe online. Il numero e' un cellulare. GANCIO: i 45 anni, detti come contrasto ('quarantacinque anni di lavoro e su Google non c'e' una riga'). SPIN-Necessita': 'se qualcuno cercasse un barbiere storico a Limbiate, cosa dovrebbe trovare?'",
Venere Parrucchieri (Limbiate),02 99050313,Parrucchiere donna,Wellness,Sito Vetrina,200 EUR + 180 EUR/anno,"SITO: nessuno - verificato. Titolare Cristina Sanita', mail su libero.it: nessuna infrastruttura digitale. GANCIO: chiedere di Cristina. OBIEZIONE 'non me ne intendo' -> Voss-calibrata: 'come vorrebbe che funzionasse, se non dovesse toccarlo mai?'. SPIN-Situazione: 'gli appuntamenti come li segnate?'",
Il Bello delle Donne di Zappala' Michela (Limbiate),02 9968003,Parrucchiere donna,Wellness,Sito Vetrina,200 EUR + 180 EUR/anno,SITO: nessuno - verificato. Titolare Michela Zappala'. GANCIO: chiedere di Michela per nome. OBIEZIONE 'ci ho gia' provato e non e' servito' -> Voss-labeling: 'sembra che qualcuno le abbia gia' venduto qualcosa che non ha funzionato'. SPIN-Problema: 'cosa non ha funzionato la volta scorsa?',
Mirale di Furiato Mirko & C. S.n.c. (Limbiate),02 9964408,Parrucchiere unisex,Wellness,Sito Vetrina,200 EUR + 180 EUR/anno,"SITO: nessuno - verificato. E' una S.n.c. con piu' soci: il decisore va cercato, non dato per scontato. GANCIO: 'chi si occupa della parte online da voi?' - domanda di qualifica, non di vendita. SPIN-Situazione: 'siete in quanti in salone?'",
Pogliani Antonella (Limbiate),02 9965232,Parrucchiere donna,Wellness,Sito Vetrina,200 EUR + 180 EUR/anno,"SITO: nessuno - verificato. ATTENZIONE: alcune schede riportano per Pogliani lo stesso numero di Mirale (02 9964408): prima di partire chiedere conferma del nome del salone, potrebbe essere la stessa realta'. GANCIO: dopo la conferma. SPIN-Situazione: 'e' lei la titolare?'",
Etienne Creative Hair Styler (Varedo),0362 582478,Parrucchiere donna,Wellness,Sito Vetrina,200 EUR + 180 EUR/anno,"SITO: nessuno - verificato. Prenotazioni via WhatsApp (347 8948627, solo messaggi) e Facebook come ETN. GANCIO: 'prendete gli appuntamenti a messaggi'. OBIEZIONE 'WhatsApp ci basta' -> Blount: accetta, spiazza ('WhatsApp risponde a chi ha gia' il numero'), chiedi. SPIN-Implicazione: 'quanti messaggi al giorno, e quanto tempo ci passa a rispondere?'",
Miss Pettini di Marinaro Sara (Bovisio Masciago),0362 598069,Parrucchiere donna,Wellness,Sito Vetrina,200 EUR + 180 EUR/anno,SITO: nessuno - verificato. Il dominio misspettini.it esiste ma e' di un salone di TRIESTE: il nome online e' gia' occupato da altri. GANCIO: proprio questo ('chi cerca Miss Pettini finisce a Trieste'). SPIN-Problema: 'vi capita che qualcuno vi confonda?',
Naif S.a.s. di Longo Giuseppe Domenico (Bovisio Masciago),0362 585520,Parrucchiere,Wellness,Sito Vetrina,200 EUR + 180 EUR/anno,"SITO: nessuno - verificato. Come sopra: naifparrucchieri.it e' di un salone di BOLOGNA. E' una S.a.s.: c'e' struttura. GANCIO: il nome occupato. SPIN-Necessita': 'se cercando Naif Bovisio si arrivasse a voi invece che a Bologna, cosa cambierebbe?'",
L'Angolo del Look (Bovisio Masciago),0362 591671,Parrucchiere donna,Wellness,Sito Vetrina,200 EUR + 180 EUR/anno,"SITO: nessuno - verificato. Solo Facebook. Titolare Lucia Maiorano. Chiuso lunedi e domenica, orario spezzato 9-12:30 / 14-19: chiamare 14:00-15:30. GANCIO: chiedere di Lucia. SPIN-Situazione: 'la pagina Facebook chi la tiene?'",
Chic Estetica S.r.l. (Bovisio Masciago),0362 590275,Centro estetico,Wellness,Sito Vetrina,200 EUR + 180 EUR/anno,"SITO: nessuno - verificato. Il dominio chicestetica.it e' di un centro di CASTELLAMMARE. E' una S.r.l., quindi c'e' budget e c'e' un amministratore. GANCIO: il nome occupato da altri. SPIN-Implicazione: 'quante clienti nuove entrano in un mese, e da dove arrivano?'",
Estetica Bottega del Massaggio di Monello Cristina (Bovisio Masciago),0362 593463,Centro benessere e massaggi,Wellness,Sito Vetrina,200 EUR + 180 EUR/anno,"SITO: da verificare prima di chiamare - la ricerca non ha dato un dominio ma la verifica non e' conclusiva. NON dire 'non avete un sito' finche' non e' confermato: aprire Google e controllare in trenta secondi. Se confermato, GANCIO: i massaggi sono un servizio che si cerca online prima di prenotare. SPIN-Problema: 'chi cerca un massaggio a Bovisio, oggi dove finisce?'",
Fondazione Istituto Geriatrico La Pelucca Onlus (Cusano Milanino),02 26223991,Istituto geriatrico,Sanita' e assistenza,DenkiShift,2 EUR/dipendente/mese,"SEGNALE: struttura residenziale per anziani = H24, sette giorni, sostituzioni continue. Chiamare 10:00-12:00 o 14:30-16:00, MAI al cambio turno (7, 14, 22). GANCIO: 'chi fa i turni da voi?'. OBIEZIONE 'usiamo Excel' -> Voss-mirroring: 'Excel?' -> lascia parlare. SPIN-Implicazione: 'quando salta un'operatrice di notte, chi la sostituisce e quanto ci mette a trovarla?'",
Rsa I Giardini di Senago (Senago),02 40043752,RSA,Sanita' e assistenza,DenkiShift,2 EUR/dipendente/mese,"SEGNALE: RSA, H24. Fascia 10:00-12:00. QUALIFICA prima di tutto: sopra i 50 dipendenti hanno gia' un gestionale HR imposto. SPIN-Situazione: 'quante persone gestite sui turni?' - se sotto 8, si saluta. SPIN-Implicazione: 'un cambio turno comunicato male quanto vi costa in straordinari?'",
Ricovero Ferdinando Uboldi (Paderno Dugnano),02 9181788,Casa di riposo,Sanita' e assistenza,DenkiShift,2 EUR/dipendente/mese,"SEGNALE: H24 sette giorni. Fondazione storica: decisioni lente, ma se entra resta. GANCIO: 'parlo con chi organizza i turni degli operatori'. OBIEZIONE 'decide il consiglio' -> Blount: accetta, spiazza ('perfetto, allora le porto qualcosa da far vedere al consiglio'), chiedi l'incontro.",
Sandro Pertini (Garbagnate Milanese),02 994308200,Casa di riposo,Sanita' e assistenza,DenkiShift,2 EUR/dipendente/mese,"SEGNALE: H24. Centralino con numero lungo = struttura grande, filtro in ingresso. GANCIO: superare il centralino chiedendo direttamente il coordinatore infermieristico, non 'il responsabile'. SPIN-Problema: 'i turni li rifate ogni settimana o ogni mese?'",
Gallazzi Vismara (Arese),02 931931,Casa di riposo,Sanita' e assistenza,DenkiShift,2 EUR/dipendente/mese,"SEGNALE: H24. Struttura di paese: piu' facile arrivare al decisore, ma verificare la soglia degli 8. SPIN-Situazione: 'quanti operatori avete in organico?'. Se sotto 8: 'Troppo piccoli' e si passa oltre, senza insistere.",
Casa di Riposo Intercomunale per Persone Anziane Onlus (Saronno),02 96709168,Casa di riposo,Sanita' e assistenza,DenkiShift,2 EUR/dipendente/mese,"SEGNALE: H24, ente intercomunale. Fuori dal cuore della Brianza ma dentro l'asse Groane. GANCIO: 'chi fa la pianificazione del personale'. SPIN-Implicazione: 'quante ore al mese ci passa chi prepara i turni?'",
pro.ges. Societa' Cooperativa Sociale (Caronno Pertusella),02 96457211,Cooperativa socio-assistenziale,Sanita' e assistenza,DenkiShift,2 EUR/dipendente/mese,"SEGNALE: cooperativa che gestisce piu' strutture = personale sparso su piu' sedi con orari diversi. Se entra qui, entra su tutte. GANCIO: la molteplicita' delle sedi. SPIN-Implicazione: 'come sapete, sede per sede, chi e' in turno domani?'",
Berti e Ferraresi (Paderno Dugnano),02 99046937,Impresa di pulizie,Servizi B2B,DenkiShift,2 EUR/dipendente/mese,"SEGNALE: personale sparso su piu' cantieri, ogni giorno diverso - il dolore piu' alto dopo le RSA, e il segmento meno battuto (chi vende software fa i ristoranti). Chiamare 9:30-11:30, MAI prima delle 9. GANCIO: 'come sanno i suoi, la mattina, dove devono andare?'. SPIN-Implicazione: 'se uno sbaglia cantiere, quanto perde in una mattina?'",
