Account IG,Nome attivita,Comune (prov),Segmento,Follower,Gancio (1-6),Esito verifica sito,DM inviato (data),Esito DM,Messaggio,Scheda
@blueladies_saronno,Blue Ladies Parrucchieri,Saronno (VA),Parrucchieri,844,1,"cercato «""Blue Ladies"" parrucchieri Saronno via Trento» → facebook, fresha, misterimprese (Blue Ladies di Basilico Elena e La Guardia Stefani snc), tutti-gli-orari, oraridiapertura24, paginegialle: nessun dominio suo. Profilo letto il 10/9: indirizzo e telefono in bio, nessun link [verifica-sito] motori «""Blue Ladies Parrucchieri"" Saronno»: ricerca fallita (ddg <urlopen error nessuna risposta>, brave HTTP Error 429: http 429) · domini: nessuno risponde",,,"Buongiorno Elena, buongiorno Stefania. Sono Patrick Sappa, ho una piccola software house a Seveso, DenkiCode.

Ho guardato il profilo di Blue Ladies: salone nuovo, dal 2023, le foto delle pieghe sono belle. Su Google però un vostro sito non c'è, esce solo la scheda con gli orari e Fresha.

Vi preparo una prima schermata di come sarebbe il sito, con le vostre foto e il vostro nome, e ve la mando qui. Gratis. La guardate, e se non vi piace finisce lì.

Se poi la volete online si parla di poche centinaia di euro una volta, non di migliaia, più una quota annuale.

Ve la preparo?","Via Trento 55, Saronno · 02 96709207 / 320 2993133 · Elena e Stefania, salone dal 2023, «vigalizzato». Chiuso lunedì. 257 post."
@bella.hairstudio5,Bella Hair Studio,Saronno (VA),Parrucchieri,672,1,"cercato «""Bella Hair Studio"" Saronno via Sampietro» → fresha (Bella Hair Styling), paginegialle (Bella di Barizza Silvia), facebook: nessun dominio suo. Profilo letto il 10/9: indirizzo e telefono, nessun link [verifica-sito] motori «""Bella Hair Studio"" Saronno»: 1 risultati · domini: bellahairstudio.com (parcheggiato, indovinato); bellahairstudio.ch (vivo, indovinato: Startseite - Bella Hair Studio Kefikon) · directory: instagram.com · [esamina-sito] bellahairstudio.ch: OK (il server lo dà modificato l'ultima volta il 01 Feb 2026) · titolo «Startseite - Bella Hair Studio Kefikon» · WordPress 6.9 · [letto a mano 10/9] bellahairstudio.ch è un salone di Kefikon (Svizzera) e bellahairstudio.com è parcheggiato: omonimi. Resta gancio 1",,,"Buongiorno, sono Patrick Sappa. Piccola software house a Seveso, si chiama DenkiCode.

Ho visto Bella Hair Studio in via Sampietro. Su Google chi vi cerca trova Fresha e Pagine Gialle, ma un sito vostro no. Le prenotazioni passano da lì o dal telefono.

Le preparo una prima schermata del sito con le sue foto e il suo nome e gliela mando qui, senza che debba mandarmi niente. Se non le piace me lo dice e chiudiamo qui.

Costo, se poi lo vuole online: poche centinaia di euro una volta, più una quota all'anno. Niente migliaia.

Gliela preparo?","Via Sampietro 36/A, Saronno · 02 96701635 · di Silvia Barizza. Hair & beauty, chiuso lunedì. 102 post."
@novart.hairstudio,NØVART hair studio,Saronno (VA),Parrucchieri,380,1,"cercato «""Novart"" hair studio Saronno via Mazzini» → nessuna scheda sua, esce solo un'altra attività della stessa via: nessun dominio. Profilo letto il 10/9: solo su appuntamento, nessun link [verifica-sito] motori «""NØVART hair studio"" Saronno»: 1 risultati · domini: emprego.com (non risponde)",,,"Buongiorno, sono Patrick Sappa di DenkiCode, una piccola software house a Seveso.

Ho guardato NØVART: airtouch, crazy color, extension, solo su appuntamento. Le foto parlano da sole. Ma se una cliente vi cerca su Google non trova un sito, trova solo Instagram.

Vi faccio una prima schermata del sito con le vostre foto, ve la mando qui e la guardate con calma. Gratis, nessun impegno.

Se poi vi piace e la volete online, sono poche centinaia di euro una volta più una quota annuale. Non migliaia.

Ve la preparo?","Via Mazzini 7, Saronno · solo su appuntamento. Airtouch, crazy color, extension, make up. Profilo giovane: 26 post, 380 follower, ma le foto sono da salone vero."
@samsara_hair_saronno,Samsara Hair and Soul,Saronno (VA),Parrucchieri,316,1,"cercato «""Samsara"" parrucchiere Saronno stanza quantica» → solo la pagina Facebook «Samsara Hair and Soul» e gli elenchi di zona: nessun dominio suo. Profilo letto il 10/9: nessun indirizzo e nessun link [verifica-sito] motori «""Samsara Hair and Soul"" Saronno»: 4 risultati · domini: beautynailhairsalons.com (vivo: Trova Saloni locali) · directory: facebook.com, firmania.it, cylex-italia.it · [esamina-sito] beautynailhairsalons.com: OK · titolo «Trova Saloni locali»",,,"Buongiorno, sono Patrick Sappa. Ho una piccola software house a Seveso, DenkiCode.

Ho letto di Samsara e della Stanza Quantica. È una cosa che si racconta, e su Instagram non c'è lo spazio per raccontarla: su Google poi un vostro sito non esce, solo la pagina Facebook.

Vi preparo una prima schermata del sito con le vostre foto e ve la mando qui. Non dovete scrivermi niente. Se non vi piace me lo dite e basta.

Se poi la volete online, poche centinaia di euro una volta più una quota annuale. Il numero preciso lo faccio solo se vi interessa davvero.

Ve la preparo?","Saronno · «capelli, tecnologia, stile e relax», con una «Stanza Quantica». 96 post. ⚠ In bio manca l'indirizzo: guardare i post prima di scrivere."
@missdarling_beauty_c_saronno,MissDarling Beauty Center,Saronno (VA),Estetica avanzata,461,5,"cercato «""Miss Darling"" estetica avanzata Saronno» → facebook, fresha e missdarlingsaronno.wixsite.com/website: una pagina Wix gratuita, nessun dominio suo. Profilo letto il 10/9: indirizzo in bio, nessun link [verifica-sito] motori «""MissDarling Beauty Center"" Saronno»: 7 risultati · domini: missdarlingsaronno.wixsite.com (piattaforma); salons10.org (non risponde); beautynailhairsalons.com (vivo: Trova Saloni locali) · directory: facebook.com, firmania.it, findglocal.com, trova-aperto.it · [esamina-sito] missdarlingsaronno.wixsite.com: NON APRE (missdarlingsaronno.wixsite.com non apre (http 404, https://missdarlingsaronno.wixsite.com/)) · [esamina-sito] beautynailhairsalons.com: OK · titolo «Trova Saloni locali»",,,"Buongiorno, sono Patrick Sappa, DenkiCode, una piccola software house a Seveso.

Ho guardato MissDarling: lifting non chirurgico, rimodellamento, un centro serio. Il sito che avete adesso sta su Wix, missdarlingsaronno.wixsite.com, e si vede dall'indirizzo. Chi lo apre lo capisce.

Vi preparo una prima schermata di come sarebbe con un dominio vostro e le vostre foto, e ve la mando qui. Gratis, senza impegno.

Se poi la volete online, poche centinaia di euro una volta più una quota annuale, dominio compreso. Non migliaia.

Ve la preparo?","Via Padre Luigi Monti 48/50, Saronno · 02 39525367 · WhatsApp 366 4248043. Lifting non chirurgico, dimagrimento. La pagina Wix si vede dall'indirizzo."
@antheasaronno,Centro Estetico Anthea,Saronno (VA),Estetica,654,1,"cercato «""Anthea"" estetica Saronno via Verdi 23» → facebook, oraridiapertura24, paginegialle (Anthea di Lauria Federica), findglocal, aromavero: nessun dominio suo. Profilo letto il 10/9: indirizzo in bio, nessun link [verifica-sito] motori «""Centro Estetico Anthea"" Saronno»: 4 risultati · domini: aromavero.it (vivo: 43507 Centri Estetici in Italia (2026) | AromaVero) · directory: firmania.it, oraridiapertura24.it, reteimprese.it · [esamina-sito] aromavero.it: OK (il server lo dà modificato l'ultima volta il 09 Sep 2026) · titolo «43507 Centri Estetici in Italia (2026) | AromaVero»",,,"Buongiorno Federica, sono Patrick Sappa. Piccola software house a Seveso, DenkiCode.

Ho visto Anthea in via Verdi: radiofrequenza, unghie, ciglia, dermopigmentazione, e 4,6 su Google con venti recensioni. Un sito però non c'è: su Google escono solo le schede degli altri.

Le preparo una prima schermata del sito con le sue foto e gliela mando qui. Se non le piace finisce lì, non mi deve niente.

Se poi decide di metterlo online sono poche centinaia di euro una volta più una quota annuale.

Gliela preparo?","Via Verdi 23, Saronno · 02 96705219 · Federica Lauria. Radiofrequenza, unghie, ciglia, dermopigmentazione. 4,6 su Google con 20 recensioni."
@deipregi,DeiPregi Hair&Beauty,Saronno (VA),Parrucchieri/estetica,1493,2,"cercato «""DeiPregi"" Saronno via Roma 21» → facebook, fresha, esteticauno, beautynailhairsalons; la scheda Estetica UNO dà il sito deipregy.com, che il 10/9 è NXDOMAIN su Cloudflare. Profilo letto il 10/9: in bio il menù su widget.treatwell.it [verifica-sito] motori «""DeiPregi Hair&Beauty"" Saronno»: 7 risultati · domini: beautynailhairsalons.com (vivo: Trova Saloni locali); aromavero.it (vivo: 43507 Centri Estetici in Italia (2026) | AromaVero); beautypassport.it (vivo: Beauty Passport - Ad un Pass dalla perfezione) · directory: facebook.com, firmania.it, italiarecensioni.com, fresha.com · [esamina-sito] beautynailhairsalons.com: NON APRE (beautynailhairsalons.com non apre (http 429, https://www.beautynailhairsalons.com/)) · [esamina-sito] aromavero.it: OK (il server lo dà modificato l'ultima volta il 09 Sep 2026) · titolo «43507 Centri Estetici in Italia (2026) | AromaVero» · [esamina-sito] beautypassport.it: OK · titolo «Beauty Passport - Ad un Pass dalla perfezione» · [letto a mano 10/9] beautypassport.it è una directory di saloni, non un sito loro. Resta gancio 2 sul dominio morto deipregy.com",,,"Buongiorno, sono Patrick Sappa di DenkiCode, una piccola software house a Seveso.

Ho guardato DeiPregi, la Beauty Jungle di via Roma. Il dominio deipregy.com, che compare ancora nelle vostre schede, non si apre più: chi ci clicca trova il vuoto e va su Treatwell.

Vi preparo una prima schermata del sito nuovo con le vostre foto e ve la mando qui. Gratis, la guardate e decidete.

Se poi la volete online si parla di poche centinaia di euro una volta più una quota annuale, e il dominio nuovo lo mettiamo dentro.

Ve la preparo?","Via Roma 21, Saronno · 351 6239327 · «Beauty Jungle»: parrucchiere, estetica, profumeria. 81 recensioni a 3,9. Il dominio che avevano è morto e in bio c'è Treatwell."
@angel_estetica_cantu,Angel Estetica & Benessere,Cantù (CO),Estetica,394,1,"cercato «""Angel Estetica"" Cantù benessere ayurveda» → facebook (esteticaangel85), instagram, paginebianche: nessun dominio suo; centroesteticoangel.com, che esce, è un'altra Angel e non nomina Cantù. Profilo letto il 10/9: WhatsApp in bio, nessun sito [verifica-sito] motori «""Angel Estetica & Benessere"" Cantù»: 1 risultati · domini: nessuno risponde · directory: instagram.com",,,"Buongiorno, sono Patrick Sappa. Ho una piccola software house a Seveso, DenkiCode.

Ho visto Angel Estetica: ayurveda, i rituali viso e corpo, la linea Angel Skin che è vostra. Su Google però non esce un sito, esce un'altra Angel che non c'entra niente con Cantù.

Vi preparo una prima schermata del sito con le vostre foto e ve la mando qui. Nessun impegno: se non vi piace me lo dite.

Costo, se poi la volete online: poche centinaia di euro una volta, più una quota annuale.

Ve la preparo?","Cantù · 031 704348 · WhatsApp 351 4736361. Estetica base e ayurveda, linea viso propria «Angel Skin». 346 post."
@esteticain_cantu,Estetica In,Cantù (CO),Estetica,249,1,"cercato «""Estetica In"" Cantù piazza Garibaldi 15» → paginebianche e virgilio (Estetica In di Enrica Molteni, 031 711682): nessun dominio suo. Profilo letto il 10/9: indirizzo in bio, nessun link [verifica-sito] motori «""Estetica In"" Cantù»: 3 risultati · domini: guidaestetica.it (vivo: La community di chirurgia plastica ed estetica - Guidaestetica.it); esteticain.it (vivo, indovinato: Web Server's Default Page); esteticain.com (parcheggiato, indovinato); esteticain.eu (parcheggiato, indovinato: Home Page - esteticain); estetica-in.it (vivo, indovinato: Centro Estetico Cinecittà Est Roma | Estetica IN dal 1988); estetica.it (vivo, indovinato: Estetica.it | Il portale della Coiffure » Estetica.it); estetica.com (non risponde, indovinato); estetica.ch (vivo, indovinato: Estetica.ch - Estetica Iris Lugano); estetica.eu (parcheggiato, indovinato: estetica.eu is for sale!); estetica.net (parcheggiato, indovinato) · directory: firmania.it, locale.infobel.it · [esamina-sito] guidaestetica.it: OK · titolo «La community di chirurgia plastica ed estetica - Guidaestetica.it» · [esamina-sito] esteticain.it: DUBBIO (in fondo alla pagina è fermo al 2018; il server lo dà modificato l'ultima volta il 04 Aug 2020) · titolo «Web Server's Default Page» · [esamina-sito] estetica-in.it: OK · titolo «Centro Estetico Cinecittà Est Roma | Estetica IN dal 1988» · WordPress 6.9.4 · [esamina-sito] estetica.it: DUBBIO (in fondo alla pagina è fermo al 2020) · titolo «Estetica.it | Il portale della Coiffure &#187; Estetica.it» · WordPress 7.0.4 · [esamina-sito] estetica.ch: OK · titolo «Estetica.ch - Estetica Iris Lugano» · WordPress 6.8.8 · [letto a mano 10/9] guidaestetica.it è la community di chirurgia estetica, non un sito suo. Resta gancio 1",,,"Buongiorno Enrica, sono Patrick Sappa, DenkiCode, piccola software house a Seveso.

Ho guardato Estetica In, in piazza Garibaldi. Chi vi cerca su Google trova Pagine Bianche con il numero e basta: un sito vostro non c'è.

Le preparo una prima schermata del sito con le sue foto e gliela mando qui. Se non le piace non ne parliamo più, non le costa niente.

Se poi lo vuole online, poche centinaia di euro una volta più una quota all'anno.

Gliela preparo?","Piazza Garibaldi 15, Cantù · 031 711682 · Enrica Molteni. «In pieno centro a Cantù», 211 post. ⚠ 249 follower."
@luana.nailslab,Luana NailsLab,Cantù (CO),Onicotecnica,1057,1,"cercato «""Luana"" nails lab Cantù nail artist» → solo Instagram e Threads: nessun dominio suo. Profilo letto il 10/9: nessun link in bio [verifica-sito] motori «""Luana NailsLab"" Cantù»: 6 risultati · domini: it.cybo.com (non risponde) · directory: fresha.com, informazione-aziende.it, registroaziende.it, reteimprese.it",,,"Buongiorno Luana, sono Patrick Sappa. Ho una piccola software house a Seveso, DenkiCode.

Ho guardato il tuo profilo, scusa il tu ma il tono del tuo studio è quello: relax, pace, unghie curate. Le foto ci sono. Un sito no, su Google esce solo Instagram e Threads.

Ti preparo una prima schermata di come sarebbe, con le tue foto e il tuo nome, e te la mando qui. Gratis. Se non ti piace finisce lì.

Se poi la vuoi online, poche centinaia di euro una volta più una quota annuale. Non migliaia.

Te la preparo?","Cantù · nail artist, consulenza gratuita, semipermanente e ricostruzione. 130 post, 1.057 follower."
