Nome Azienda,Telefono / Cellulare,Tipo Azienda,Settore,Servizio da Vendere,Prezzo Indicativo,Note Strategiche (Claude),Esito e Note Giulia
La Rustica Ristorante Pizzeria Braceria (Seveso),0362 501045,Ristorante pizzeria,Ristorazione,Sito Vetrina,200 EUR + 180 EUR/anno,Nessun sito su Pagine Gialle. Braceria e pizzeria: il menu non e' consultabile online. Chiedere dove manda chi chiama per sapere cosa c'e' in carta.,
La Sprelunga (Seveso),0362 503150,Ristorante,Ristorazione,Sito Vetrina,200 EUR + 180 EUR/anno,"Nessun sito su Pagine Gialle. Sta su Via Sprelunga, fuori dal centro: chi non lo conosce ci arriva solo cercandolo. Senza sito lo trova solo chi sa gia' il nome.",
Vecchia Brianza (Seveso),0362 503223,Ristorante,Ristorazione,Sito Vetrina,200 EUR + 180 EUR/anno,"Nessun sito su Pagine Gialle. Cucina del territorio, nome storico. Angolo: le recensioni ci sono, la vetrina digitale no.",
Pizzeria del Corso (Seveso),0362 506212,Pizzeria,Ristorazione,Sito Vetrina,200 EUR + 180 EUR/anno,"Nessun sito su Pagine Gialle. Pizzeria da asporto sul corso. Chiedere come prendono gli ordini nelle sere di punta: se e' solo telefono, il sito con il menu si paga da solo.",
Birreria Myhouse (Seveso),349 3194521,Birreria,Ristorazione,Sito Vetrina,200 EUR + 180 EUR/anno,Nessun sito su Pagine Gialle. Solo cellulare e nessun sito. Locale serale: chiedere come annunciano le serate.,
Bistrot 59 (Seveso),339 7475980,Bistrot,Ristorazione,Sito Vetrina,200 EUR + 180 EUR/anno,Nessun sito su Pagine Gialle. Solo cellulare. Bistrot: il pubblico e' giovane e cerca su Google prima di uscire.,
Veg Cucina Naturale (Seveso),392 9216200,Ristorante vegetariano,Ristorazione,Sito Vetrina,200 EUR + 180 EUR/anno,"Nessun sito su Pagine Gialle. Cucina di nicchia: chi cerca 'vegetariano Seveso' e' un cliente gia' deciso, e non li trova.",
Moxi Sushi (Seveso),0362 1970394,Sushi e asporto,Ristorazione,Sito Vetrina,200 EUR + 180 EUR/anno,"Solo pagina Facebook, nessun sito. Sushi con asporto: il menu sta nei post, che scorrono. Chiedere quanti chiamano per farsi leggere il menu.",
Enoteca Degusti-Bus (Seveso),0362 501893,Enoteca,Ristorazione,Sito Vetrina,200 EUR + 180 EUR/anno,"Solo pagina Facebook, nessun sito. Enoteca con degustazioni: gli eventi finiscono in un post e spariscono. Angolo: una pagina eventi che resta.",
Bar Stadio di Lettieri Marco (Seveso),0362 503108,Bar,Ristorazione,Sito Vetrina,200 EUR + 180 EUR/anno,"Nessun sito su Pagine Gialle. Bar davanti al campo sportivo. Angolo debole sul sito: se ha personale su turni passa a DenkiShift, chiedere quanti sono dietro al banco.",
Barazzetta S.r.l. (Seveso),0362 282629,Bar,Ristorazione,Sito Vetrina,200 EUR + 180 EUR/anno,"Nessun sito su Pagine Gialle. E' una S.r.l., quindi ha una struttura: probabile personale a turni. Qualificare su quel lato prima del sito.",
Civico 20 (Seveso),0362 1829668,Bar,Ristorazione,Sito Vetrina,200 EUR + 180 EUR/anno,"Solo pagina Facebook, nessun sito. Tutto sulla pagina Facebook. Chiedere cosa succede a chi li cerca su Google e trova solo la mappa.",
Il Massimo Caffe (Seveso),0362 1918360,Caffetteria,Ristorazione,Sito Vetrina,200 EUR + 180 EUR/anno,"Solo pagina Facebook, nessun sito. In Piazza Leonardo da Vinci, posizione di passaggio. Il sito serve piu' per gli orari e la colazione che per la vendita.",
