Nome Azienda,Telefono / Cellulare,Tipo Azienda,Settore,Servizio da Vendere,Prezzo Indicativo,Note Strategiche (Claude),Esito e Note Giulia
Tripoli Barber Shop (Limbiate),351 2625788,Barbiere uomo,Wellness,Sito Vetrina,200 EUR + 180 EUR/anno,"SITO: nessuno - verificato su Google e provando il dominio. Solo schede di directory. GANCIO: 'ho cercato Tripoli Barber Shop e non trovo niente di vostro'. OBIEZIONE 'i clienti li ho gia'' -> Blount: accetta ('ha senso'), spiazza ('infatti non le porto i suoi: le porto chi cerca un barbiere in zona e non la trova'), chiedi l'appuntamento. SPIN-Problema: 'i clienti nuovi come la trovano oggi?' | [riverifica 13/09] da aprire prima di parlare: limbiate.infoisinfo.it, framingham.com, hackerone.com.",
Galli Ivan (Limbiate),335 5788461,Parrucchiere uomo,Wellness,Sito Vetrina,200 EUR + 180 EUR/anno,"SITO: nessuno - verificato. Attivi dal 1981: 45 anni di mestiere e zero righe online. Il numero e' un cellulare. GANCIO: i 45 anni, detti come contrasto ('quarantacinque anni di lavoro e su Google non c'e' una riga'). SPIN-Necessita': 'se qualcuno cercasse un barbiere storico a Limbiate, cosa dovrebbe trovare?' | [riverifica 13/09] da aprire prima di parlare: autoscout24.it, hackerone.com, status.brave.app.",
Venere Parrucchieri (Limbiate),02 99050313,Parrucchiere donna,Wellness,Sito Vetrina,200 EUR + 180 EUR/anno,"SITO: nessuno - verificato. Titolare Cristina Sanita', mail su libero.it: nessuna infrastruttura digitale. GANCIO: chiedere di Cristina. OBIEZIONE 'non me ne intendo' -> Voss-calibrata: 'come vorrebbe che funzionasse, se non dovesse toccarlo mai?'. SPIN-Situazione: 'gli appuntamenti come li segnate?' | [riverifica 13/09] nessun dominio suo risponde: webesteticabenessere.com e top10posti.it sono portali di settore, non il suo sito. «Non vi trovo su internet» tiene.",
Il Bello delle Donne di Zappala' Michela (Limbiate),02 9968003,Parrucchiere donna,Wellness,Sito Vetrina,200 EUR + 180 EUR/anno,"SITO: nessuno - verificato. Titolare Michela Zappala'. GANCIO: chiedere di Michela per nome. OBIEZIONE 'ci ho gia' provato e non e' servito' -> Voss-labeling: 'sembra che qualcuno le abbia gia' venduto qualcosa che non ha funzionato'. SPIN-Problema: 'cosa non ha funzionato la volta scorsa?' | [riverifica 13/09] da aprire prima di parlare: hackerone.com, status.brave.app.",
Mirale di Furiato Mirko & C. S.n.c. (Limbiate),02 9964408,Parrucchiere unisex,Wellness,Sito Vetrina,200 EUR + 180 EUR/anno,"SITO: nessuno - verificato. E' una S.n.c. con piu' soci: il decisore va cercato, non dato per scontato. GANCIO: 'chi si occupa della parte online da voi?' - domanda di qualifica, non di vendita. SPIN-Situazione: 'siete in quanti in salone?' | [riverifica 13/09] da aprire prima di parlare: hackerone.com, status.brave.app.",
Pogliani Antonella (Limbiate),02 9965232,Parrucchiere donna,Wellness,Sito Vetrina,200 EUR + 180 EUR/anno,"SITO: nessuno - verificato. ATTENZIONE: alcune schede riportano per Pogliani lo stesso numero di Mirale (02 9964408): prima di partire chiedere conferma del nome del salone, potrebbe essere la stessa realta'. GANCIO: dopo la conferma. SPIN-Situazione: 'e' lei la titolare?' | [riverifica 13/09] nessun dominio suo risponde, sito non trovato. Solo directory: misterimprese.it e simili.",
Etienne Creative Hair Styler (Varedo),0362 582478,Parrucchiere donna,Wellness,Sito Vetrina,200 EUR + 180 EUR/anno,"SITO: nessuno - verificato. Prenotazioni via WhatsApp (347 8948627, solo messaggi) e Facebook come ETN. GANCIO: 'prendete gli appuntamenti a messaggi'. OBIEZIONE 'WhatsApp ci basta' -> Blount: accetta, spiazza ('WhatsApp risponde a chi ha gia' il numero'), chiedi. SPIN-Implicazione: 'quanti messaggi al giorno, e quanto tempo ci passa a rispondere?' | [riverifica 13/09] nessun dominio suo risponde, sito non trovato. Solo directory: paginebianche.it e simili.",
Miss Pettini di Marinaro Sara (Bovisio Masciago),0362 598069,Parrucchiere donna,Wellness,Sito Vetrina,200 EUR + 180 EUR/anno,"SITO: nessuno - verificato. Il dominio misspettini.it esiste ma e' di un salone di TRIESTE: il nome online e' gia' occupato da altri. GANCIO: proprio questo ('chi cerca Miss Pettini finisce a Trieste'). SPIN-Problema: 'vi capita che qualcuno vi confonda?' | [riverifica 13/09] nessun dominio suo risponde, sito non trovato. Solo directory: paginebianche.it e simili.",
Naif S.a.s. di Longo Giuseppe Domenico (Bovisio Masciago),0362 585520,Parrucchiere,Wellness,Sito Vetrina,200 EUR + 180 EUR/anno,"SITO: nessuno - verificato. Come sopra: naifparrucchieri.it e' di un salone di BOLOGNA. E' una S.a.s.: c'e' struttura. GANCIO: il nome occupato. SPIN-Necessita': 'se cercando Naif Bovisio si arrivasse a voi invece che a Bologna, cosa cambierebbe?' | [riverifica 13/09] nessun dominio suo risponde, sito non trovato.",
L'Angolo del Look (Bovisio Masciago),0362 591671,Parrucchiere donna,Wellness,Sito Vetrina,200 EUR + 180 EUR/anno,"SITO: nessuno - verificato. Solo Facebook. Titolare Lucia Maiorano. Chiuso lunedi e domenica, orario spezzato 9-12:30 / 14-19: chiamare 14:00-15:30. GANCIO: chiedere di Lucia. SPIN-Situazione: 'la pagina Facebook chi la tiene?' | [riverifica 13/09] nessun dominio suo risponde, sito non trovato. Solo directory: paginegialle.it e simili.",
Chic Estetica S.r.l. (Bovisio Masciago),0362 590275,Centro estetico,Wellness,Sito Vetrina,200 EUR + 180 EUR/anno,"SITO: nessuno - verificato. Il dominio chicestetica.it e' di un centro di CASTELLAMMARE. E' una S.r.l., quindi c'e' budget e c'e' un amministratore. GANCIO: il nome occupato da altri. SPIN-Implicazione: 'quante clienti nuove entrano in un mese, e da dove arrivano?' | [riverifica 13/09] chicestetica.it esiste ma e' un centro estetico di CASTELLAMMARE DEL GOLFO (Sicilia): omonimo. E' il gancio, non un problema: «ho cercato Chic Estetica e mi esce un centro in Sicilia, il vostro non lo trovo». Mai dire «non esiste niente col vostro nome».",
Estetica Bottega del Massaggio di Monello Cristina (Bovisio Masciago),0362 593463,Centro benessere e massaggi,Wellness,Sito Vetrina,200 EUR + 180 EUR/anno,"SITO: da verificare prima di chiamare - la ricerca non ha dato un dominio ma la verifica non e' conclusiva. NON dire 'non avete un sito' finche' non e' confermato: aprire Google e controllare in trenta secondi. Se confermato, GANCIO: i massaggi sono un servizio che si cerca online prima di prenotare. SPIN-Problema: 'chi cerca un massaggio a Bovisio, oggi dove finisce?' | [riverifica 13/09] il dubbio del 30 agosto si chiude: nessun dominio suo risponde, solo PagineGialle, Virgilio, coobiz e il portale 123estetica.com. Apri comunque con una domanda («un sito vostro ce l'avete?»), non con un'affermazione.",
Mo1950 S.r.l. (Varedo),0362 580134,Mobilificio e contract,Arredamento,E-commerce,da 500 EUR + 360 EUR/anno,"VERIFICATO col metro giusto: il sito CE L'HANNO (mo1950.it, design & contract) ma NON VENDE ONLINE - nessun carrello, nessun checkout. E' esattamente il lead e-commerce: vetrina si', vendita no. GANCIO: 'il vostro sito fa vedere, non fa comprare'. NON dire 'non avete un sito'. SPIN-Implicazione: 'quanti clienti vi scrivono per chiedere un prezzo che sul sito non c'e'?' | [riverifica 13/09] da aprire prima di parlare: topaziende.quotidiano.net, aziende.money.it.",
La Nova Sedia (Varedo),0362 582883,Arredamento su misura,Arredamento,E-commerce,da 500 EUR + 360 EUR/anno,"VERIFICATO: sito presente (lanovasedia.it, arredi personalizzati, Varedo confermato in pagina) ma SENZA CARRELLO. Fanno su misura: il carrello classico non basta, serve un configuratore - e' una vendita piu' alta di un e-commerce standard. GANCIO: 'su misura e online non sono incompatibili'. SPIN-Necessita': 'se un cliente potesse configurare la sedia e vedere il prezzo, quante richieste in meno dovreste evadere a mano?' | [riverifica 13/09] lanovasedia.it c'e' (vetrina «Arredi personalizzati | Varedo»), ma la pagina NON ha carrello: niente woocommerce, shopify o checkout. Riga e-commerce corretta. L'apertura NON e' «non avete il sito»: e' «gli arredi si vedono e non si possono comprare online».",
Modamia S.r.l. (Concorezzo),039 6042416,Parrucchiere donna,Wellness,Sito Vetrina,200 EUR + 180 EUR/anno,"SITO: nessuno - verificato. Solo Instagram. Il dominio modamia.it esiste ma e' una pagina 'sito in fase di costruzione' e modamiahairfashion.com e' di un salone di Peschiera Borromeo: il nome e' conteso. E' una S.r.l. GANCIO: il nome conteso. SPIN-Problema: 'chi vi cerca per nome, vi trova?' | [riverifica 13/09] nessun dominio suo risponde, sito non trovato.",
Diva di Asperti Beatrice (Concorezzo),039 2208150,Parrucchiere donna,Wellness,Sito Vetrina,200 EUR + 180 EUR/anno,"SITO: nessuno - verificato. Titolare Beatrice Asperti. GANCIO: chiedere di Beatrice. OBIEZIONE 'non ho tempo' -> Voss orientata al no: 'e' un momento terribile per parlare?' -> risponde 'no, mi dica'. SPIN-Situazione: 'come prendete gli appuntamenti?' | [riverifica 13/09] nessun dominio suo risponde, sito non trovato. Solo directory: paginegialle.it e simili.",
Monica Equipe di De Amicis Monica (Concorezzo),039 6042002,Parrucchiere ed estetica,Wellness,Sito Vetrina,200 EUR + 180 EUR/anno,"SITO: nessuno - verificato, solo Fresha. Listino largo: capelli, unghie, ciglia, cera, massaggi. Chi cerca uno di questi servizi non sa che li fate tutti. GANCIO: l'ampiezza del listino. SPIN-Implicazione: 'quante clienti vengono solo per una cosa, senza sapere che fate anche il resto?' | [riverifica 13/09] da aprire prima di parlare: myadj.it.",
Sergio e Alessandro S.n.c. di Ratti Alessandro (Concorezzo),039 6040080,Barbiere uomo,Wellness,Sito Vetrina,200 EUR + 180 EUR/anno,"SITO: nessuno - verificato. 146 recensioni, media 4.5: reputazione forte, vetrina zero. GANCIO: 'avete 146 recensioni e nessun posto vostro dove metterle'. SPIN-Necessita': 'se quelle recensioni stessero su una pagina sua, a chi servirebbero?' | [riverifica 13/09] nessun dominio suo risponde, sito non trovato.",
Javier Tecnica e Stile di Arteaga Espinoza (Agrate Brianza),039 2913931,Parrucchiere,Wellness,Sito Vetrina,200 EUR + 180 EUR/anno,"SITO: nessuno - verificato, solo Treatwell e Fresha (piattaforme a commissione). Secondo numero noto: 327 4486823. GANCIO: 'le prenotazioni passano da Treatwell?'. SPIN-Implicazione: 'quanto le trattengono su ogni appuntamento?' - e' la leva piu' forte con chi sta sulle piattaforme. | [riverifica 13/09] nessun dominio suo risponde, sito non trovato. Solo directory: paginebianche.it e simili.",
Al Kimya di Squicciarini Anna (Agrate Brianza),039 650345,Parrucchiere donna,Wellness,Sito Vetrina,200 EUR + 180 EUR/anno,"SITO: nessuno - verificato. Il dominio alkimya.it e' di un antiquariato di TORINO: nome gia' occupato. Titolare Anna Squicciarini. GANCIO: il nome occupato. SPIN-Problema: 'chi vi cerca online dove finisce?' | [riverifica 13/09] nessun dominio suo risponde, sito non trovato. Solo directory: paginebianche.it e simili.",
Barbaro Erika (Agrate Brianza),039 6360521,Parrucchiere donna,Wellness,Sito Vetrina,200 EUR + 180 EUR/anno,"SITO: nessuno - verificato. Risulta anche come socia di 'Meriu' Acconciature S.n.c.': prima di partire chiedere con quale insegna lavorano oggi. SPIN-Situazione: 'il salone e' suo o siete in societa'?' | [riverifica 13/09] nessun dominio suo risponde, sito non trovato. Solo directory: informazione-aziende.it e simili.",
Cilio Giuseppa - Capelli..Mania (Agrate Brianza),039 2914322,Parrucchiere donna,Wellness,Sito Vetrina,200 EUR + 180 EUR/anno,"SITO: nessuno - verificato, solo Fresha e Treatwell. Listino tecnico ampio: extension, balayage, cheratina, parrucche. Le parrucche sono un servizio che si cerca online, spesso in silenzio. GANCIO: le parrucche. SPIN-Implicazione: 'chi cerca una parrucca in zona, vi trova?' | [riverifica 13/09] nessun dominio suo risponde, sito non trovato.",
Luisa Beauty House di Zorastri Luisa (Agrate Brianza),039 2184305,Parrucchiere ed estetica,Wellness,Sito Vetrina,200 EUR + 180 EUR/anno,"SITO: nessuno - verificato, presente su Groupon, Uala e Treatwell. Tre piattaforme diverse = tre commissioni. GANCIO: 'siete su tre piattaforme e su nessuna pagina vostra'. SPIN-Implicazione: 'sommando Groupon, Uala e Treatwell, quanto se ne va in un mese?' | [riverifica 13/09] nessun dominio suo risponde, sito non trovato.",
Massimo Carlucci Acconciature (Agrate Brianza),039 652245,Parrucchiere uomo,Wellness,Sito Vetrina,200 EUR + 180 EUR/anno,"SITO: nessuno - verificato: la prenotazione online che le schede citano e' Fresha, non un sito loro. 142 recensioni, media 4.7. GANCIO: 'prenotate online ma su un sito che non e' vostro'. SPIN-Necessita': 'se la prenotazione fosse su una pagina sua, chi ci guadagnerebbe?' | [riverifica 13/09] da aprire prima di parlare: myadj.it, capelliextension.it.",
Fumagalli Isabella (Villasanta),039 304816,Parrucchiere donna,Wellness,Sito Vetrina,200 EUR + 180 EUR/anno,"SITO: nessuno - verificato. Salone L'Oreal Professionnel: compare nella vetrina del fornitore, non in una propria. GANCIO: 'siete sul sito di L'Oreal ma non sul vostro'. SPIN-Problema: 'quella pagina la controllate voi o loro?' | [riverifica 13/09] nessun dominio suo risponde, sito non trovato. Solo directory: informazione-aziende.it e simili.",
Beba Evolution (Villasanta),039 305389,Parrucchiere e salone di bellezza,Wellness,Sito Vetrina,200 EUR + 180 EUR/anno,"CORREZIONE, il sito CE L'HANNO: bebaevolution.it, vivo, ma il copyright e' fermo al 2022. Questa NON e' una riga 'non avete un sito' - e' un restyling. GANCIO: 'il vostro sito e' fermo al 2022'. OBIEZIONE 'ce l'abbiamo gia'' -> Blount: accetta ('lo so, l'ho visto'), spiazza ('il problema non e' che manchi: e' che racconta il salone di tre anni fa'), chiedi. SPIN-Implicazione: 'i servizi che avete aggiunto da allora, dove si leggono?' | ⚠️ [riverifica 13/09] IL SITO CE L'HA: bebaevolution.it, copyright 2022, e dentro c'e' gia' WooCommerce. Non e' un «non avete il sito» e non e' un e-commerce da fare: e' un restyling. Se apri con «non vi trovo su internet» la chiamata e' persa in cinque secondi.",
Mt Ottica S.a.s. di Torresani Maurizio (Concorezzo),039 6886286,Ottica,Commercio al dettaglio,E-commerce,da 500 EUR + 360 EUR/anno,"VERIFICATO col metro giusto: il sito CE L'HANNO (mtottica.it, analisi visiva, Concorezzo confermato) ma NON VENDE ONLINE - nessun carrello. Il concorrente a 300 metri, Radaelli Ottica, il carrello ce l'ha: e' la leva. GANCIO: 'il vostro sito racconta, quello di Radaelli vende'. NON dire 'non avete un sito'. SPIN-Implicazione: 'quanti clienti comprano lenti a contatto online invece che da voi?' | [riverifica 13/09] nessun dominio suo risponde, sito non trovato. Solo directory: ufficiocamerale.it e simili.",
