Account IG,Nome attivita,Comune (prov),Segmento,Follower,Gancio (1-6),Esito verifica sito,DM inviato (data),Esito DM,Messaggio,Scheda,Lista,Prodotto,Letto (data),Chat
@kurahair.chieri,Kura Hair,Chieri (TO),Parrucchiere,206,3,"cercato «hair Chieri» nella ricerca di Instagram → profilo letto dall’API il 19/9: link in bio: un bit.ly accorciato, nessun dominio proprio [verifica-sito] motori «""Kura Hair"" Chieri»: 5 risultati · domini: kurahair.com (non risponde, indovinato) · directory: facebook.com, instagram.com, firmania.it, it.linkedin.com",,,,"Kura Hair, Chieri, via della Gualderia 7. «Haircuts, color, transformation». Due numeri, 342 9799459 e 011 0685471. 9 post, 206 follower.",2026-09-19-instagram-siti-piemonte-capelli.csv,siti,,
@primadonna_venaria,Primadonna Hair & Nails,Venaria Reale (TO),Parrucchiere e nail,834,1,"cercato «hair Venaria» nella ricerca di Instagram → profilo letto dall’API il 19/9: nessun link in bio, in bio solo «Venaria Reale» [verifica-sito] motori «""Primadonna Hair & Nails"" Venaria Reale»: 0 risultati · domini: nessuno risponde",,,,"Primadonna Hair Nails, Venaria Reale. Hairstylist e unghie. Profilo quasi vuoto: 2 post, 834 follower.",2026-09-19-instagram-siti-piemonte-capelli.csv,siti,,
@sandra_hairstylist_ivrea,Sandra Hairstylist,Ivrea (TO),Parrucchiere,294,1,"cercato «hair Ivrea» nella ricerca di Instagram → profilo letto dall’API il 19/9: nessun link in bio e nessun testo in bio, solo l'indirizzo via Miniere 6 [verifica-sito] motori «""Sandra Hairstylist"" Ivrea»: 6 risultati · domini: capelliextension.it (vivo: Capelli EXT - Elenco delle aziende produttrici di capelli in Italia. Posizione, ); canavese.com (vivo: Canavese) · directory: facebook.com, firmania.it, reteimprese.it, informazione-aziende.it",,,,"Sandra Hairstylist, Ivrea, via Miniere 6. Nessuna bio scritta: 82 post, 294 follower.",2026-09-19-instagram-siti-piemonte-capelli.csv,siti,,
@evolution_acconciature_cirie,Evolution Acconciature,Cirie' (TO),Parrucchiere,365,1,"cercato «parrucchieri Cirie» nella ricerca di Instagram → profilo letto dall’API il 19/9: nessun link in bio, in bio piazza Castello 23 [verifica-sito] motori «""Evolution Acconciature"" Cirie'»: 9 risultati · domini: nessuno risponde · directory: firmania.it, instagram.com, fresha.com, italiarecensioni.com",,,,"Evolution Acconciature, Cirie', piazza Castello 23. Offrono una consulenza gratuita. 101 post, 365 follower.",2026-09-19-instagram-siti-piemonte-capelli.csv,siti,,
@ritualhairstyle,Ritual Hairstyle,Omegna (VB),Parrucchiere,695,1,"cercato «hair Omegna» nella ricerca di Instagram → profilo letto dall’API il 19/9: nessun link in bio, in bio piazza Martiri della Liberta' 14 e il numero 0323 863683 [verifica-sito] motori «""Ritual Hairstyle"" Omegna»: 1 risultati · domini: nessuno risponde · directory: instagram.com",,,,"Ritual Hairstyle, Omegna (VB), piazza Martiri della Liberta' 14. 220 post, 695 follower.",2026-09-19-instagram-siti-piemonte-capelli.csv,siti,,
@barbershop_borgosesia,Morad Barber Shop,Borgosesia (VC),Barber,297,1,"cercato «barber Borgosesia» nella ricerca di Instagram → profilo letto dall’API il 19/9: nessun link in bio, in bio via XX Settembre 4 e il numero 393 8354320 [verifica-sito] motori «""Morad Barber Shop"" Borgosesia»: 4 risultati · domini: comparateur-coiffeur.fr (vivo: comparateur-coiffeur.fr | trouvez votre coiffeur) · directory: instagram.com, facebook.com, cylex-locale.fr",,,,"Morad Barber Shop, Borgosesia (VC), via XX Settembre 4. Aperto 9-20, «il miglior barbiere di Borgosesia». 36 post, 297 follower.",2026-09-19-instagram-siti-piemonte-capelli.csv,siti,,
@simply_hair_vercelli,Simply Hair di Nicoletta Piccinni,Vercelli (VC),Parrucchiere,223,1,"cercato «hair Vercelli» nella ricerca di Instagram → profilo letto dall’API il 19/9: nessun link in bio e nessun testo in bio, solo l'indirizzo via Quintino Sella 34 [verifica-sito] motori «""Simply Hair di Nicoletta Piccinni"" Vercelli»: 0 risultati · domini: nessuno risponde",,,,"Simply Hair, Vercelli, via Quintino Sella 34. Nessuna bio scritta: 13 post, 223 follower.",2026-09-19-instagram-siti-piemonte-capelli.csv,siti,,
@billionhairvercelli,Billionhair Parrucchieri,Vercelli (VC),Parrucchiere,735,1,"cercato «parrucchiere Vercelli» nella ricerca di Instagram → profilo letto dall’API il 19/9: nessun link in bio, in bio via Elia Emanuele Foa' 66 [verifica-sito] motori «""Billionhair Parrucchieri"" Vercelli»: 1 risultati · domini: nessuno risponde · directory: facebook.com",,,,"Billionhair, Vercelli, via Elia Emanuele Foa' 66. «Hairdressing lounge nel cuore del centro storico». 55 post, 735 follower.",2026-09-19-instagram-siti-piemonte-capelli.csv,siti,,
@matreshka_acconciature_biella,Matreshka Salone di Bellezza,Biella (BI),Parrucchiere,313,1,"cercato «acconciature Biella» nella ricerca di Instagram → profilo letto dall’API il 19/9: nessun link in bio, in bio via Ivrea 37/A e il numero 3884769871 [verifica-sito] motori «""Matreshka Salone di Bellezza"" Biella»: 0 risultati · domini: nessuno risponde",,,,"Matreshka, Biella, via Ivrea 37/A. «Esperienza, talento e una consulenza personalizzata». 430 post, 313 follower.",2026-09-19-instagram-siti-piemonte-capelli.csv,siti,,
@class_parrucchieri_biella,Class Parrucchieri,Biella (BI),Parrucchiere,211,1,"cercato «parrucchieri Biella» nella ricerca di Instagram → profilo letto dall’API il 19/9: nessun link in bio, in bio via XX Settembre 3/A e il numero 01527413 [verifica-sito] motori «""Class Parrucchieri"" Biella»: 5 risultati · domini: altraopinione.org (non risponde); class-parrucchieri.it (parcheggiato, indovinato: class-parrucchieri.it) · directory: beautynailhairsalons.com, facebook.com, oraridiapertura24.it, instagram.com",,,,"Class Parrucchieri, Biella, via XX Settembre 3/A. Dal martedi' al sabato, orario continuato 9-19. 80 post, 211 follower.",2026-09-19-instagram-siti-piemonte-capelli.csv,siti,,
@barbershop_by_f.c,Barber Shop Galliate,Galliate (NO),Barber,700,3,"cercato «barber Galliate» nella ricerca di Instagram → profilo letto dall’API il 19/9: link in bio: un wa.me e un TikTok, nessun dominio [verifica-sito] motori «""Barber Shop Galliate"" Galliate»: 0 risultati · domini: nessuno risponde",,,,"Barber Shop di Federico Coppi, Galliate (NO). Fade, beard, modern cuts, solo su appuntamento. 182 post, 700 follower.",2026-09-19-instagram-siti-piemonte-capelli.csv,siti,,
@hairstylingcarpediem,Hairstyling Carpe Diem,Trecate (NO),Parrucchiere,253,1,"cercato «hair Trecate» nella ricerca di Instagram → profilo letto dall’API il 19/9: nessun link in bio, in bio via Novara 39 e il numero 3342177617 [verifica-sito] motori «""Hairstyling Carpe Diem"" Trecate»: 0 risultati · domini: nessuno risponde",,,,"Hairstyling Carpe Diem, Trecate (NO), via Novara 39. 185 post, 253 follower.",2026-09-19-instagram-siti-piemonte-capelli.csv,siti,,
@chic_hairnovara,Cristina Pignatelli Hair Stylist,Novara (NO),Parrucchiere,252,1,"cercato «hair Novara» nella ricerca di Instagram → profilo letto dall’API il 19/9: nessun link in bio, in bio corso XXIII Marzo 153 e due numeri [verifica-sito] motori «""Cristina Pignatelli Hair Stylist"" Novara»: 0 risultati · domini: nessuno risponde",,,,"Cristina Pignatelli, hair stylist, Novara, corso XXIII Marzo 153. 309 post, 252 follower.",2026-09-19-instagram-siti-piemonte-capelli.csv,siti,,
@avabarber_novara,Ava Barber Shop,Novara (NO),Barber,453,1,"cercato «barber Novara» nella ricerca di Instagram → profilo letto dall’API il 19/9: nessun link in bio, in bio corso Torino 14e e il numero 3490661615 [verifica-sito] motori «""Ava Barber Shop"" Novara»: 2 risultati · domini: nessuno risponde · directory: instagram.com, dnb.com",,,,"Ava Barber Shop, Novara, corso Torino 14e. Senza appuntamento: fade, barba, tagli su misura. 170 post, 453 follower.",2026-09-19-instagram-siti-piemonte-capelli.csv,siti,,
@queen_parrucchieri_novara,Queen Bio Vegan Stylist,Novara (NO),Parrucchiere,302,1,"cercato «parrucchieri Novara» nella ricerca di Instagram → profilo letto dall’API il 19/9: nessun link in bio, in bio corso Italia 34 e il numero 3472264418 [verifica-sito] motori «""Queen Bio Vegan Stylist"" Novara»: 1 risultati · domini: nessuno risponde · directory: instagram.com",,,,"Queen, Novara, corso Italia 34. Trattamenti bio vegani, unisex: «ti sentirai come una regina». 85 post, 302 follower.",2026-09-19-instagram-siti-piemonte-capelli.csv,siti,,
@adrianabartoli_acconciature,Adriana Bartoli Acconciature,Rivarolo Canavese (TO),Parrucchiere,787,1,"cercato «acconciature Bra» nella ricerca di Instagram → profilo letto dall’API il 19/9: nessun link in bio, in bio via Maurizio Farina 18 e il numero 0124 418188 [verifica-sito] motori «""Adriana Bartoli Acconciature"" Rivarolo Canavese»: 4 risultati · domini: nessuno risponde · directory: paginegialle.it, paginebianche.it, aziende.virgilio.it, instagram.com",,,,"Adriana Bartoli, Rivarolo, via Maurizio Farina 18. Partner Kerastase: «ogni capello ha una storia, noi la valorizziamo». 79 post, 787 follower.",2026-09-19-instagram-siti-piemonte-capelli.csv,siti,,
@aed_acconciature_caraglio,A&D Acconciature e Barbershop,Caraglio (CN),Parrucchiere e barber,581,1,"cercato «acconciature Bra» nella ricerca di Instagram → profilo letto dall’API il 19/9: nessun link in bio, in bio piazza Madre Teresa 13 e il numero 0171 618862 [verifica-sito] motori «""A&D Acconciature e Barbershop"" Caraglio»: 0 risultati · domini: nessuno risponde",,,,"A&D Acconciature e Barbershop, Caraglio (CN), piazza Madre Teresa 13. Hair salon, barber shop e make-up. 255 post, 581 follower.",2026-09-19-instagram-siti-piemonte-capelli.csv,siti,,
@hairspaparrucchieri,Hair Spa Parrucchieri Bra,Bra (CN),Parrucchiere,1506,3,"cercato «parrucchieri Bra» nella ricerca di Instagram → profilo letto dall’API il 19/9: link in bio: wa.me/393758043521, nessun dominio [verifica-sito] motori «""Hair Spa Parrucchieri Bra"" Bra»: 2 risultati · domini: pictame.com (non risponde) · directory: instagram.com",,,,"Hair Spa Parrucchieri, Bra, via Vittorio Emanuele 120. Specializzati in Airtouch e balayage, anche senza appuntamento. 138 post, 1506 follower.",2026-09-19-instagram-siti-piemonte-capelli.csv,siti,,
@profili_acconciature_alba,Profili Acconciature,Alba (CN),Parrucchiere,235,3,"cercato «acconciature Alba» nella ricerca di Instagram → profilo letto dall’API il 19/9: link in bio: una pagina Facebook, nessun dominio [verifica-sito] motori «""Profili Acconciature"" Alba»: 4 risultati · domini: fermopoint.it (vivo: fermopoint | Punti di ritiro e spedizione pacchi per acquisti online) · directory: facebook.com, instagram.com, paginegialle.it",,,,"Profili Acconciature, Alba, via Ognissanti 32. «Professionalita' e ricerca di prodotti dallo standard elevato». 257 post, 235 follower.",2026-09-19-instagram-siti-piemonte-capelli.csv,siti,,
@vanita_acconciaturealba,Vanita' Acconciature di Eliana Rainero,Alba (CN),Parrucchiere,746,1,"cercato «acconciature Alba» nella ricerca di Instagram → profilo letto dall’API il 19/9: nessun link in bio e nessun testo in bio [verifica-sito] motori «""Vanita' Acconciature di Eliana Rainero"" Alba»: 0 risultati · domini: nessuno risponde",,,,"Vanita' Acconciature di Eliana Rainero, Alba. Nessuna bio scritta: 923 post, 746 follower.",2026-09-19-instagram-siti-piemonte-capelli.csv,siti,,
@ma.ni_acconciaturemondovi,Ma.ni Acconciature,Mondovi' (CN),Parrucchiere,1621,1,"cercato «acconciature Mondovi» nella ricerca di Instagram → profilo letto dall’API il 19/9: nessun link in bio, solo gli orari e l'indirizzo di via Beccaria 24 [verifica-sito] motori «""Ma.ni Acconciature"" Mondovi'»: 14 risultati · domini: parrucchieriadvisor.it (vivo: Parrucchieri Advisor: I Migliori Saloni di Parrucchieri); mondovi.infoisinfo.it (vivo: Cerca Negozi Mondovì - Cerca Imprese Mondovì - Elenco Aziende Mondovì - Infoisin); hackerone.com (vivo: HackerOne | Leader in Continuous Threat Exposure Management | Security for AI); status.brave.app (vivo: Brave status); acconciature.it (vivo, indovinato: Acconciature.it - Home); acconciature.com (parcheggiato, indovinato) · directory: instagram.com, facebook.com, treatwell.it, paginegialle.it ⚠ PROBABILE SITO acconciature.it: da aprire prima di pubblicare",,,,"Ma.ni acconciature, Mondovi', via Beccaria 24 ai piedi di via Soresi. Orario continuato sei giorni su sette, lunedi' 8-17, mercoledi' 12-21. 1867 post, 1621 follower.",2026-09-19-instagram-siti-piemonte-capelli.csv,siti,,
@rc_hair_studio_asti,RC Hair Studio,Asti (AT),Parrucchiere,1041,5,"cercato «hair Asti» nella ricerca di Instagram → profilo letto dall’API il 19/9: link in bio: widget.treatwell.it/salone/443574, nessun dominio proprio [verifica-sito] motori «""RC Hair Studio"" Asti»: 15 risultati · domini: zetabarber.it (vivo: Prenota qui il tuo taglio dal Barbiere - ZetaBarber); hair.center.ivof.com (vivo: Hair – Center); capelliextension.it (vivo: Capelli EXT - Elenco delle aziende produttrici di capelli in Italia. Posizione, ); labarbaperfetta.it (vivo: ▷ I migliori rasoi - Quale rasoio comprare? 【2026】); rclosehairstudio.com (DNS morto); hackerone.com (vivo: HackerOne | Leader in Continuous Threat Exposure Management | Security for AI); status.brave.app (vivo: Brave status); rchairstudio.com (parcheggiato, indovinato: Parked Domain name on Hostinger DNS system); hairstudio.it (non risponde, indovinato); hairstudio.com (vivo, indovinato: Site not found · DreamHost); hairstudio.ch (vivo, indovinato: ch Domain Nutzung); hairstudio.eu (parcheggiato, indovinato); hairstudio.net (parcheggiato, indovinato); hair-studio.it (vivo, indovinato); hair-studio.com (vivo, indovinato: Hair-Studio.com is for sale | HugeDomains) · directory: instagram.com, facebook.com, treatwell.it, firmania.it",,"SCARTATO: sito vivo hair.center.ivof.com (verifica-sito.py, 2026-09-19)",,"RC Hair Studio, Asti, corso Alessandro Volta 117. In bio solo «Info e prenotazioni» e il widget Treatwell. 14 post, 1041 follower.",2026-09-19-instagram-siti-piemonte-capelli.csv,siti,,
@cristinacordero.hair,Cristina Cordero Hair & Make-up,Cuneo (CN),Parrucchiere e trucco,3142,1,"cercato «hair Cuneo» nella ricerca di Instagram → profilo letto dall’API il 19/9: nessun link in bio, in bio il numero 3512449503 e il canale YouTube citato a voce [verifica-sito] motori «""Cristina Cordero Hair & Make-up"" Cuneo»: 18 risultati · domini: orari-di-apertura.com (vivo: Orari-di-apertura.com - Orari di apertura a oltre un milione di aziende in Itali); cristina-cordero.com (vivo: Official Site | Cristina Cordero, Viola); hackerone.com (vivo: HackerOne | Leader in Continuous Threat Exposure Management | Security for AI); status.brave.app (vivo: Brave status) · directory: facebook.com, veneto.parrucchieri-italia.it, cylex-italia.it, reteimprese.it",,"SCARTATO: sito vivo cristina-cordero.com (verifica-sito.py, 2026-09-19)",,"Cristina Cordero, hairstylist e make-up artist, Cuneo, contrada Mondovi' 2/b. Beautick master color, key by Kevin Murphy, canale YouTube a suo nome. 1018 post, 3142 follower.",2026-09-19-instagram-siti-piemonte-capelli.csv,siti,,
@remodevitaparrucchieri,Remo de Vita Parrucchieri,Arona (NO),Parrucchiere e hair spa,5051,3,"cercato «parrucchieri Arona» nella ricerca di Instagram → profilo letto dall’API il 19/9: link in bio: linktr.ee/remodevitaparrucchieri, nessun dominio [verifica-sito] motori «""Remo de Vita Parrucchieri"" Arona»: 8 risultati · domini: remodevitaparrucchieri.it (vivo: Remo de Vita Parrucchieri: Salone Parrucchiere, Acconciature Uomo e Donna, Hair ); localitybiz.it (non risponde) · directory: facebook.com, beautynailhairsalons.com, guida-delle-societa.cybo.com, oraridiapertura24.it",,"SCARTATO: sito vivo remodevitaparrucchieri.it (verifica-sito.py, 2026-09-19)",,"Remo de Vita, Arona (NO), hairstylist e hair spa. «Cambi look su misura rispettando la salute del tuo capello». Numero 334 3770547. 175 post, 5051 follower.",2026-09-19-instagram-siti-piemonte-capelli.csv,siti,,
@hairhouse_asti,Hair House,Asti (AT),Parrucchiere,5480,1,"cercato «hair Asti» nella ricerca di Instagram → profilo letto dall’API il 19/9: nessun link in bio, in bio corso Vittorio Alfieri 165 e il numero 0141 355651 [verifica-sito] motori «""Hair House"" Asti»: 9 risultati · domini: zetabarber.it (vivo: Prenota qui il tuo taglio dal Barbiere - ZetaBarber); recensitoo.it (vivo); altraopinione.org (non risponde); hairhouse.it (non risponde, indovinato); hairhouse.com (parcheggiato, indovinato); hairhouse.eu (non risponde, indovinato); hairhouse.net (vivo, indovinato: Hair House Seinäjoki Oy - Hair House Seinäjoki Oy); hair-house.com (parcheggiato, indovinato); hair-house.ch (vivo, indovinato: Hair-House Luzern – Herren- und Damencoiffeur Luzern Neustadt); hair-house.net (vivo, indovinato: CLEOGAMING | Live Draw HK Malam Ini Hasil Keluaran Hongkong Pools) · directory: facebook.com, fresha.com, firmania.it, aromavero.it ⚠ PROBABILE SITO hairhouse.net: da aprire prima di pubblicare",,,,"Hair House, Asti, corso Vittorio Alfieri 165. «Stile, eleganza, professionalita'», uomo e donna. 596 post, 5480 follower.",2026-09-19-instagram-siti-piemonte-capelli.csv,siti,,
@hp_parrucchieri,H.P Parrucchieri,Biella (BI),Parrucchiere,414,1,"cercato «parrucchiere Biella» nella ricerca di Instagram → profilo letto dall’API il 19/9: nessun link in bio, in bio solo la frase e l'indirizzo via Arnulfo 14 [verifica-sito] motori «""H.P Parrucchieri"" Biella»: 2 risultati · domini: parrucchieri.it (vivo, indovinato: parrucchieri.it); parrucchieri.com (parcheggiato, indovinato); parrucchieri.ch (vivo, indovinato: Prossimamente — AG Parrucchieri); parrucchieri.eu (vivo, indovinato: parrucchieri.eu is for sale); parrucchieri.net (non risponde, indovinato) · directory: facebook.com, instagram.com ⚠ PROBABILE SITO parrucchieri.it: da aprire prima di pubblicare",,,,"H.P Parrucchieri, Biella, via Arnulfo 14. In bio: «Se fai cio' che ami non lavorerai neanche un giorno». 384 post, 414 follower.",2026-09-19-instagram-siti-piemonte-capelli.csv,siti,,
@southern_barber_valenza,Southern Barber,Valenza (AL),Barber,2331,1,"cercato «barber Valenza» nella ricerca di Instagram → profilo letto dall’API il 19/9: nessun link in bio e nessun testo in bio [verifica-sito] motori «""Southern Barber"" Valenza»: 8 risultati · domini: capelliextension.it (vivo: Capelli EXT - Elenco delle aziende produttrici di capelli in Italia. Posizione, ); hair.center.ivof.com (vivo: Hair – Center); southernbarber.com (vivo, indovinato: SouthernBarber.com is for sale - Premium Domain) · directory: firmania.it, oraridiapertura24.it, guida-delle-societa.cybo.com, italiarecensioni.com ⚠ PROBABILE SITO southernbarber.com: da aprire prima di pubblicare",,,,"Southern Barber, Valenza (AL). Profilo di sole foto: 1541 post, nessuna bio, 2331 follower.",2026-09-19-instagram-siti-piemonte-capelli.csv,siti,,
@at_acconciaturecuneo,AT Acconciature,Cuneo (CN),Parrucchiere,956,3,"cercato «parrucchiere Cuneo» nella ricerca di Instagram → profilo letto dall’API il 19/9: link in bio: facebook.com/andreatoni.it, nessun dominio [verifica-sito] motori «""AT Acconciature"" Cuneo»: 10 risultati · domini: capelliextension.it (vivo: Capelli EXT - Elenco delle aziende produttrici di capelli in Italia. Posizione, ); atacconciature.it (vivo, indovinato: A.T. Acconciature - Parrucchieri a Torino); acconciature.it (vivo, indovinato: Acconciature.it - Home); acconciature.com (parcheggiato, indovinato) · directory: oraridiapertura24.it, facebook.com, firmania.it, paginegialle.it ⚠ PROBABILE SITO atacconciature.it: da aprire prima di pubblicare",,,,"AT Acconciature, Confreria (Cuneo), via Valle Maira 111. Taglio, colore, styling, cura della barba. 253 post, 956 follower.",2026-09-19-instagram-siti-piemonte-capelli.csv,siti,,
@hfsalon_parrucchieri,Hair Future Salon,Torino (TO),Parrucchiere,2416,3,"cercato «parrucchieri Torino» nella ricerca di Instagram → profilo letto dall’API il 19/9: link in bio: linktr.ee/hfsalon_ e un wa.me, nessun dominio [verifica-sito] motori «""Hair Future Salon"" Torino»: 5 risultati · domini: hfsalon.it (vivo: About me - Hair Future Salon) · directory: facebook.com, firmania.it, linktr.ee, instagram.com",,"SCARTATO: sito vivo hfsalon.it (verifica-sito.py, 2026-09-19)",,"Hair Future Salon, Torino, via Onorato Vigliani 171. «Cura e benessere sono priorita'», parlano di community. 398 post, 2416 follower.",2026-09-19-instagram-siti-piemonte-capelli.csv,siti,,
@tricospa.noasi.torino,Trico Spa Noasi,Torino (TO),Tricologia e parrucchiere,800,3,"cercato «hair Torino» nella ricerca di Instagram → profilo letto dall’API il 19/9: link in bio: linktr.ee/russo.equipe.parrucchieri, nessun dominio [verifica-sito] motori «""Trico Spa Noasi"" Torino»: 3 risultati · domini: tricospanoasi.it (vivo, indovinato: Tricospanoasi - Tricospanoasi) · directory: facebook.com, beautynailhairsalons.com, instagram.com",,"SCARTATO: sito vivo tricospanoasi.it (verifica-sito.py, 2026-09-19)",,"Trico Spa Noasi, Torino. Scalp care e hair care: «la bellezza dei capelli e' il riflesso della salute del cuoio capelluto». 99 post, 800 follower.",2026-09-19-instagram-siti-piemonte-capelli.csv,siti,,
@hair_salon_moncalieri,Hair Sal-on,Moncalieri (TO),Parrucchiere,396,1,"cercato «hair Moncalieri» nella ricerca di Instagram → profilo letto dall’API il 19/9: nessun link in bio, in bio via Sestriere 18 e il numero 011 6050018 [verifica-sito] motori «""Hair Sal-on"" Moncalieri»: 1 risultati · domini: hairsalon.it (vivo, indovinato: Checking your browser...); hairsalon.com (vivo, indovinato: Welcome hairsalon.com - BlueHost.com); hairsalon.eu (non risponde, indovinato); hairsalon.net (parcheggiato, indovinato); hairsal.com (parcheggiato, indovinato) · directory: tiktok.com ⚠ PROBABILE SITO hairsalon.com: da aprire prima di pubblicare",,,,"Hair Sal-on, Moncalieri, via Sestriere 18. Martedi'-sabato 9-19. 47 post, 396 follower.",2026-09-19-instagram-siti-piemonte-capelli.csv,siti,,
@vev_lab,V&V Lab Parrucchieri,Rivoli (TO),Parrucchiere,546,1,"cercato «parrucchieri Rivoli» nella ricerca di Instagram → profilo letto dall’API il 19/9: nessun link in bio, in bio corso Susa 152 e il numero 331 3443818 [verifica-sito] motori «""V&V Lab Parrucchieri"" Rivoli»: 3 risultati · domini: labparrucchieri.it (vivo, indovinato: Home Lab - Lab Parrucchieri); labparrucchieri.com (vivo, indovinato: LAB Parrucchieri – Taglio, colore e cura del capello a Genova); lab-parrucchieri.it (non risponde, indovinato); lab-parrucchieri.com (vivo, indovinato: L'AB - L'angolo della Bellezza - Salone di parrucchieri per la cura dei capelli) · directory: instagram.com, firmania.it, facebook.com ⚠ PROBABILE SITO labparrucchieri.it: da aprire prima di pubblicare",,,,"V&V Lab, Rivoli (TO), corso Susa 152. «Qui sei quello che scegli». Lunedi'-sabato 9-18.30. 153 post, 546 follower.",2026-09-19-instagram-siti-piemonte-capelli.csv,siti,,
@templebarbershop_rivoli,Temple Barbershop,Rivoli (TO),Barber,260,1,"cercato «barber Rivoli» nella ricerca di Instagram → profilo letto dall’API il 19/9: nessun link in bio, in bio corso XXV Aprile 12/B e il numero 371 3885446 [verifica-sito] motori «""Temple Barbershop"" Rivoli»: 6 risultati · domini: templebarbarber.barberly.app (vivo: Temple Barbershop) · directory: facebook.com, informazione-aziende.it, ufficiocamerale.it, beautynailhairsalons.com",,"SCARTATO: sito vivo templebarbarber.barberly.app (verifica-sito.py, 2026-09-19)",,"Temple Barbershop, Rivoli, corso XXV Aprile 12/B. Prenotazioni al 371 3885446. 25 post, 260 follower.",2026-09-19-instagram-siti-piemonte-capelli.csv,siti,,
@mdbeautylounge_collegno,MD Hair & Beauty Lounge,Collegno (TO),Parrucchiere ed estetica,231,3,"cercato «hair Collegno» nella ricerca di Instagram → profilo letto dall’API il 19/9: link in bio: linktr.ee/socialmdbeautylounge, nessun dominio [verifica-sito] motori «""MD Hair & Beauty Lounge"" Collegno»: 0 risultati · domini: hairbeautylounge.com (vivo, indovinato); hairbeautylounge.ch (vivo, indovinato: Hair & Beauty Lounge Regensdorf | Coiffeur, Nails und LPG); hair-beauty-lounge.com (vivo, indovinato: Hair and Beauty Lounge Jennifer Lee Rogers – dein Friseursalon in Blaubeuren) ⚠ PROBABILE SITO hairbeautylounge.ch: da aprire prima di pubblicare",,,,"MD Beauty Lounge, Collegno (TO), corso Francia 46. Metodo dermo-cosmetico: capelli, viso, unghie, brasilian wax. 71 post, 231 follower.",2026-09-19-instagram-siti-piemonte-capelli.csv,siti,,
@capelliepoesia,Capelli & Poesia,Settimo Torinese (TO),Parrucchiere,424,3,"cercato «parrucchiere Settimo Torinese» nella ricerca di Instagram → profilo letto dall’API il 19/9: link in bio: una pagina Facebook, nessun dominio [verifica-sito] motori «""Capelli & Poesia"" Settimo Torinese»: 6 risultati · domini: jeanpaulmyne.com (vivo: Jean Paul Mynè Prodotti Professionali per Capelli) · directory: paginegialle.it, paginebianche.it, aziende.virgilio.it, italiarecensioni.com",,"SCARTATO: sito vivo jeanpaulmyne.com (verifica-sito.py, 2026-09-19)",,"Capelli & Poesia, Settimo Torinese, piazza Giovanni Astengo 21. «Dove i capelli diventano poesia», parrucchiere professioniste. 238 post, 424 follower.",2026-09-19-instagram-siti-piemonte-capelli.csv,siti,,
