Nome Azienda,Telefono / Cellulare,Tipo Azienda,Settore,Servizio da Vendere,Prezzo Indicativo,Note Strategiche (Claude),Esito e Note Giulia
Asp Pio e Ninetta Gavazzi (Desio),0362 616211,RSA,Sanita e assistenza,DenkiShift,2 EUR/dipendente/mese,H24 sette giorni su sette. Struttura grande. Seconda sede in Via dei Mariani,
Asp Pio e Ninetta Gavazzi - sede Mariani (Desio),0362 306854,RSA,Sanita e assistenza,DenkiShift,2 EUR/dipendente/mese,H24 sette giorni su sette. Stessa proprieta della sede Villa Canonico. Chiedere chi coordina i turni delle due sedi,
Rsa Don Emilio Meani (Cesano Maderno),0362 501167,RSA,Sanita e assistenza,DenkiShift,2 EUR/dipendente/mese,H24 - 90 posti letto su 6 nuclei. Il piu grande della lista. 6 nuclei da 15 posti = molte squadre da incastrare,
Fondazione Giuseppe Besana Onlus (Meda),0362 71723,RSA,Sanita e assistenza,DenkiShift,2 EUR/dipendente/mese,H24 sette giorni su sette,
Punto Service Cooperativa Sociale (Meda),0362 282431,RSA in gestione cooperativa,Sanita e assistenza,DenkiShift,2 EUR/dipendente/mese,H24 + personale su piu strutture. Gestisce piu sedi: Meda Desio Monza. Se entra qui entra su tutte,
Punto Service Cooperativa Sociale (Desio),0362 304060,RSA in gestione cooperativa,Sanita e assistenza,DenkiShift,2 EUR/dipendente/mese,H24 + personale su piu strutture. Stessa cooperativa della sede di Meda,
Centro Don Gnocchi (Seregno),0362 323800,RSA,Sanita e assistenza,DenkiShift,2 EUR/dipendente/mese,H24 sette giorni su sette. Fondazione nazionale: verificare se i turni li decide la sede locale,
Rsa Ronzoni Villa (Seregno),0362 3231,RSA,Sanita e assistenza,DenkiShift,2 EUR/dipendente/mese,H24 sette giorni su sette. Stesso indirizzo del Don Gnocchi (Viale Piave 12): verificare se sono la stessa realta,
Fondazione G Ronzoni e Sac G Villa (Seregno),0362 243358,RSA,Sanita e assistenza,DenkiShift,2 EUR/dipendente/mese,H24 sette giorni su sette. Via Minoretti 18,
Apar Societa (Seregno),0362 232305,RSA,Sanita e assistenza,DenkiShift,2 EUR/dipendente/mese,H24 sette giorni su sette,
Cooperativa Sociale Eden Onlus (Seregno),0362 241123,RSA in gestione cooperativa,Sanita e assistenza,DenkiShift,2 EUR/dipendente/mese,H24 + assistenza,
Piccolo Cottolengo Don Orione (Seregno),DA TROVARE,RSA,Sanita e assistenza,DenkiShift,2 EUR/dipendente/mese,H24 - 69 ospiti di cui 20 Alzheimer. Numero non trovato. Sito orioneseregno.it - assistenza medica e infermieristica 24 ore,
San Lab Consorzio di Cooperative Sociali (Barlassina),0362 57791,Cooperativa sociale,Servizi alla persona,DenkiShift,2 EUR/dipendente/mese,Personale su piu servizi e orari. Consorzio: puo aprire piu cooperative associate,
San Lab Consorzio di Cooperative Sociali (Seregno),0362 1400031,Cooperativa sociale,Servizi alla persona,DenkiShift,2 EUR/dipendente/mese,Personale su piu servizi e orari. Seconda sede dello stesso consorzio,
Residenze Assistite Groane (Cesano Maderno),0362 1695222,RSA,Sanita e assistenza,DenkiShift,2 EUR/dipendente/mese,H24 sette giorni su sette,
Residenze Lentate (Lentate sul Seveso),0362 1787652,RSA,Sanita e assistenza,DenkiShift,2 EUR/dipendente/mese,H24 sette giorni su sette,
Villa Cenacolo (Lentate sul Seveso),0362 560213,RSA,Sanita e assistenza,DenkiShift,2 EUR/dipendente/mese,H24 sette giorni su sette,
Fondazione Residenza Amica Onlus (Giussano),0362 354336,RSA,Sanita e assistenza,DenkiShift,2 EUR/dipendente/mese,H24 sette giorni su sette,
Fondazione Luigia e Alessandro Agostoni Onlus (Lissone),039 243111,RSA,Sanita e assistenza,DenkiShift,2 EUR/dipendente/mese,H24 sette giorni su sette,
Casa di Riposo I Gelsi (Lazzate),02 96729208,RSA,Sanita e assistenza,DenkiShift,2 EUR/dipendente/mese,H24 sette giorni su sette,
Residenza San Francesco (Nova Milanese),0362 364380,RSA,Sanita e assistenza,DenkiShift,2 EUR/dipendente/mese,H24 sette giorni su sette,
Villaggio Amico (zona Seveso),02 96483579,RSA,Sanita e assistenza,DenkiShift,2 EUR/dipendente/mese,H24 sette giorni su sette. Si presenta come RSA di riferimento per la zona di Seveso: verificare dove ha sede,
L Altra Eta (Limbiate),02 9964522,RSA,Sanita e assistenza,DenkiShift,2 EUR/dipendente/mese,H24 sette giorni su sette,
Rsa Attanasio - Rsa Limbiate (Limbiate),02 47952002,RSA,Sanita e assistenza,DenkiShift,2 EUR/dipendente/mese,H24 sette giorni su sette,
Residenza per Anziani Regina Pacis (Meda),347 2655359,RSA,Sanita e assistenza,DenkiShift,2 EUR/dipendente/mese,H24 ma numero di cellulare. Solo cellulare: struttura probabilmente piccola. Qualificare la testa prima di spendere tempo,
