Account IG,Nome attivita,Comune (prov),Segmento,Follower,Gancio (1-6),Esito verifica sito,DM inviato (data),Esito DM
@inchiostrorossotattoo,Inchiostro Rosso Tattoo,Lipomo (CO),Tattoo,8298,1,Nessun sito. In bio solo gmail e numero,,
@tattooextreme,Tattoo Extreme - Lello Citterio,Cantu (CO),Tattoo/piercing,3532,1,"Nessun sito, nessun link",2026-09-03,
@sintatattoo_como,Sinta Tattoo,Como (CO),Tattoo/piercing,2929,1,"Nessun sito. Dal 1993, primo studio di Como",2026-09-03,
@teskyo_piercing_shop,Teskyo Piercing Shop,Cantu (CO),Piercing/tattoo,2514,1,"Nessun sito, nessun link",2026-09-03,
@artemista_tattoo,Artemista Tattoo Studio,Erba (CO),Tattoo/piercing,2010,5,"Unico link: scheda Google (g.page), non un sito",,
@fatcat_tattooshop,Fatcat Tattoo,Como (CO),Tattoo,1546,1,Nessun sito. In bio solo i tre titolari taggati,2026-09-03,
@blackblood_studiotattoo,Black Blood Tattoo & Piercing,Olgiate Comasco (CO),Tattoo/piercing,1263,1,Nessun sito: il link e Google Maps,2026-09-03,
@jigen_tattoo,Jigen Tattoo,Como (CO),Tattoo,736,1,"Nessun sito, nessun link",2026-09-03,
@zeinaink_tattoostudio,Zeina Ink Tattoo Studio,Carugo (CO),Tattoo/piercing,474,1,"Nessun sito, nessun link",2026-09-03,
@mr_pma_erba,Mr Pma Tattoo & Barber,Erba (CO),Tattoo/barber,448,1,Nessun sito: in bio rimanda a Facebook,2026-09-03,
@stevelamurart,Steve La Mura - anime & manga,Saronno (VA),Tattoo,69000,1,Nessun sito: unico link un profilo VINTED,2026-09-03,
@_.the.ink.paradise._,The Ink Paradise,Saronno (VA),Tattoo/piercing,18900,1,"Nessun sito: solo Linktree. By women for women, walk-in",2026-09-03,
@arotattoo,Aro Tattoo / Redant,Saronno (VA),Tattoo,12800,1,"Nessun sito, nessun link",2026-09-03,
@christiannapolitatt,Christian Napoli - Light Ink,Saronno (VA),Tattoo,7614,1,"Nessun sito, nessun link",2026-09-03,
@miguelrtat2,Miguel Rodriguez - Santos Tattoo,Gallarate (VA),Tattoo,6448,5,"IL GANCIO MIGLIORE: link in bio warm-dieffenbachia-09756f.netlify.app, indirizzo automatico Netlify mai sostituito",,
@colorstattoovarese,Colors Tattoo Shop,Varese (VA),Tattoo/piercing,5519,1,"Nessun sito, nessun link",2026-09-03,
@arnaldo_bel_fiore_tattooartist,Arnaldo Bel Fiore,Varese centro (VA),Tattoo,5375,1,Nessun sito: unico link un articolo de La Provincia di Varese,2026-09-03,
@biumotattooclub,Biumo Tattoo Club,Varese (VA),Tattoo/piercing,4784,1,Nessun sito: in bio una gmail,2026-09-03,
@sevenlakestattoo,Seven Lakes Tattoo & Piercing,Varese (VA),Tattoo/piercing,4650,1,"Nessun sito, nessun link",2026-09-03,
@minimaltattoovarese,Minimal Tattoo,Varese (VA),Tattoo,4247,5,Non hanno un sito loro: il link e una pagina dentro folkloreatelier.com,2026-09-03,
@artemtattooatelier,Artem Tattoo Studio,Varese (VA),Tattoo,3881,1,Nessun sito: solo wa.me,2026-09-03,
@manymany.tattoo,Many Many Tattoo,Busto Arsizio (VA),Tattoo/piercing,3518,1,Nessun sito: solo wa.me,2026-09-03,
@le.trumilu.tattoo,Le Trumilu Tattoo,Varese (VA),Tattoo,1734,1,Nessun sito: solo wa.me,2026-09-03,
@cindy.tattoo,Cinzia Farumi - realistico,Galbiate (LC) DA CONFERMARE,Tattoo,16800,1,"Nessun sito, nessun link. Comune non in bio: confermare",2026-09-03,
@scaccomattotattoo,Scacco Matto Tattoo,Bosisio Parini (LC),Tattoo/piercing/PMU,8132,1,Nessun sito: solo Linktree. Dal 2010. ATTENZIONE: hanno anche Seregno (MB),2026-09-03,
@golden_skin_tattoo,Golden Skin Tattoo,Bergamo (BG),Tattoo/piercing/PMU,7274,1,"Nessun sito, nessun link",,
@mr_pma_lecco,Mr Pma Tattoo,Lecco (LC),Tattoo,4901,1,"Nessun sito, nessun link",2026-09-03,
@tattoo.club.bergamo,Tattoo Club Bergamo,Bergamo (BG),Tattoo,4681,1,"Nessun sito, nessun link",2026-09-03,
@shari_tattooer,Shari Piras - Atelier Selva,Merate (LC),Tattoo,4503,1,Nessun sito: il link e Google Maps,2026-09-03,
@ink_factory_tattooshop_,InkFactory TattooShop,Bergamo (BG),Tattoo/piercing,3968,1,"Nessun sito, nessun link",2026-09-03,
@sara_circus_,Sara Circus - fineline,Bergamo (BG),Tattoo,3878,1,Nessun sito: in bio una gmail,2026-09-03,
@tattoosuburbia,Tattoo Suburbia - Matteo Zanotti,Stezzano (BG),Tattoo/piercing,3773,1,"Nessun sito, nessun link",2026-09-03,
@mascalzonetattoo,Mascalzone Tattoo,Lecco (LC),Tattoo,2587,1,Nessun sito: in bio una gmail,2026-09-03,
@lorientaletattoocurno,L'Orientale Tattoo World,Curno (BG),Tattoo/PMU,2457,1,Nessun sito: unico link una pagina Facebook,2026-09-03,
@ladymaryontattoo,Lady Maryon Tattoo,Bergamo (BG),Tattoo,2148,1,Nessun sito: solo Linktree,2026-09-03,
@belindatattoo_,Belinda - fineline botanical,Lecco (LC),Tattoo,2112,1,"Nessun sito, nessun link",2026-09-03,
@sanax.ink,Chiara Sana - blackwork,Bergamo (BG),Tattoo,2070,1,"Nessun sito, nessun link",2026-09-03,
@stone.treviglio,Stone - private tattoo studio,Treviglio (BG),Tattoo,764,1,Nessun sito: il link e Google Maps,2026-09-03,
@profumodilavanda,Profumo di Lavanda,Appiano Gentile (CO),Fiorista/wedding,2305,1,"Nessun sito, nessun link. Ha profilo wedding dedicato",2026-09-03,
@_sebastianfiori_,Sebastian Fiori,Treviglio (BG),Fiorista/wedding,2025,1,"Nessun sito, nessun link. Wedding ed eventi",2026-09-03,
@julia.po.ph,Julia Po - fotografa gravidanza,Busto Arsizio (VA),Fotografo,2010,1,"Nessun sito, nessun link",2026-09-03,
@studio.fotofantasy,Fotofantasy - fotografi di famiglia,Bergamo (BG),Fotografo,1930,1,"Nessun sito: solo Linktree. Dal 1985, tramandato in famiglia",2026-09-03,
@lariogarden,Lario Garden - Federica Monti,Cernobbio (CO),Fiorista/wedding,1352,1,Nessun sito: solo WhatsApp Business. Negozio storico dal 1935,2026-09-03,
@tropicalflowers.saronno,Tropical Flowers,Saronno (VA),Fiorista,991,1,"Nessun sito, nessun link. Allestimenti per eventi",,
@enzo.fiori.varese,Enzo Fiori,Varese (VA),Fiorista,871,1,"Nessun sito, nessun link",2026-09-03,
@paolofioribg,Paolo Fiori,Bergamo (BG),Fiorista,856,1,Nessun sito: unico link una pagina Facebook. 43 anni di attivita,2026-09-03,
@sposiamoci_outlet_varese,Sposiamoci Outlet - abiti sposa,Varese (VA),Atelier sposa,648,1,"Nessun sito, nessun link. Outlet con sartoria interna, 700 abiti",2026-09-03,
