Account IG,Nome attivita,Comune (prov),Segmento,Follower,Gancio (1-6),Esito verifica sito,DM inviato (data),Esito DM,Messaggio,Scheda
@lugano.barbershop,LVGANO Barbershop,Lugano (TI),Barber,1194,3,"luganobarbershop.ch risolve ma risponde «Zugriff deaktiviert»: l'hosting ha disattivato il sito, non è più raggiungibile",,,"Buongiorno, sono Patrick Sappa. Ho una piccola software house a Seveso, DenkiCode.

Le scrivo perché ho guardato il profilo di LVGANO Barbershop e il dominio luganobarbershop.ch, che compare ancora su Google, adesso risponde solo «Zugriff deaktiviert»: il sito è spento.

Le sue foto erano già metà del lavoro: l'altra metà l'ho fatta io. La bozza del suo sito è già pronta, con le sue immagini e il suo nome. Non deve scrivere niente e non deve mandarmi niente.

Gliela mando qui, la guarda con calma, e se non le piace me lo dice e non ci sentiamo più. Non le costa un franco e non la impegna a niente.

Sul costo non le faccio girare la testa: se poi decidesse di metterlo online non si parla di migliaia di franchi, e c'è una quota annuale per tenerlo attivo. Il numero preciso glielo faccio solo se la cosa le interessa davvero.

Gliela mando?","Corso Pestalozzi 14, Lugano. Aperto a luglio 2024 da due ragazzi di 25 e 26 anni. ⚠️ Stesso negozio anche su @lvgano_barbershop (465 follower): guardare quale dei due è vivo prima di scrivere. Fonte: ricerca del 7 settembre 2026, profilo non aperto."
@oxinails24,Oxi Nails Lugano,Lugano (TI),Nail,n.d.,1,"Cercando «oxinails24 Lugano unghie» escono solo il suo Instagram e i portali di categoria (Treatwell, Fresha): nessun dominio suo",,,"Buongiorno, sono Patrick Sappa. Ho una piccola software house a Seveso, DenkiCode.

Le scrivo perché ho guardato il profilo di Oxi Nails Lugano e su Google non compare un suo sito: c'è Instagram, ci sono le schede degli altri, ma un sito suo no.

Le sue foto erano già metà del lavoro: l'altra metà l'ho fatta io. La bozza del suo sito è già pronta, con le sue immagini e il suo nome. Non deve scrivere niente e non deve mandarmi niente.

Gliela mando qui, la guarda con calma, e se non le piace me lo dice e non ci sentiamo più. Non le costa un franco e non la impegna a niente.

Sul costo non le faccio girare la testa: se poi decidesse di metterlo online non si parla di migliaia di franchi, e c'è una quota annuale per tenerlo attivo. Il numero preciso glielo faccio solo se la cosa le interessa davvero.

Gliela mando?","Ricostruzione unghie, opera a Lugano. Fonte: ricerca del 7 settembre 2026, profilo non aperto."
@top_nails_lugano,Top Nails Lugano,Lugano (TI),Nail,n.d.,1,"La ricerca per nome non restituisce nessun sito: solo Instagram e le vetrine di Treatwell, Fresha e Salonkee",,,"Buongiorno, sono Patrick Sappa. Ho una piccola software house a Seveso, DenkiCode.

Le scrivo perché ho guardato il profilo di Top Nails Lugano e su Google non compare un suo sito: c'è Instagram, ci sono le schede degli altri, ma un sito suo no.

Le sue foto erano già metà del lavoro: l'altra metà l'ho fatta io. La bozza del suo sito è già pronta, con le sue immagini e il suo nome. Non deve scrivere niente e non deve mandarmi niente.

Gliela mando qui, la guarda con calma, e se non le piace me lo dice e non ci sentiamo più. Non le costa un franco e non la impegna a niente.

Sul costo non le faccio girare la testa: se poi decidesse di metterlo online non si parla di migliaia di franchi, e c'è una quota annuale per tenerlo attivo. Il numero preciso glielo faccio solo se la cosa le interessa davvero.

Gliela mando?","Ricostruzione unghie a Lugano. Fonte: ricerca del 7 settembre 2026, profilo non aperto."
@durnea_nails,Durnea's Nails,Lugano (TI),Nail,n.d.,1,Nessun dominio a suo nome: la ricerca dà solo Instagram e le liste dei centri unghie di Lugano,,,"Buongiorno, sono Patrick Sappa. Ho una piccola software house a Seveso, DenkiCode.

Le scrivo perché ho guardato il profilo di Durnea's Nails e su Google non compare un suo sito: c'è Instagram, ci sono le schede degli altri, ma un sito suo no.

Le sue foto erano già metà del lavoro: l'altra metà l'ho fatta io. La bozza del suo sito è già pronta, con le sue immagini e il suo nome. Non deve scrivere niente e non deve mandarmi niente.

Gliela mando qui, la guarda con calma, e se non le piace me lo dice e non ci sentiamo più. Non le costa un franco e non la impegna a niente.

Sul costo non le faccio girare la testa: se poi decidesse di metterlo online non si parla di migliaia di franchi, e c'è una quota annuale per tenerlo attivo. Il numero preciso glielo faccio solo se la cosa le interessa davvero.

Gliela mando?","Onicotecnica a Lugano. Fonte: ricerca del 7 settembre 2026, profilo non aperto."
@dariia_nail,Dariia Nail Lugano,Lugano (TI),Nail,n.d.,1,Su Google escono solo Instagram e i portali di prenotazione: nessun sito proprio,,,"Buongiorno, sono Patrick Sappa. Ho una piccola software house a Seveso, DenkiCode.

Le scrivo perché ho guardato il profilo di Dariia Nail Lugano e su Google non compare un suo sito: c'è Instagram, ci sono le schede degli altri, ma un sito suo no.

Le sue foto erano già metà del lavoro: l'altra metà l'ho fatta io. La bozza del suo sito è già pronta, con le sue immagini e il suo nome. Non deve scrivere niente e non deve mandarmi niente.

Gliela mando qui, la guarda con calma, e se non le piace me lo dice e non ci sentiamo più. Non le costa un franco e non la impegna a niente.

Sul costo non le faccio girare la testa: se poi decidesse di metterlo online non si parla di migliaia di franchi, e c'è una quota annuale per tenerlo attivo. Il numero preciso glielo faccio solo se la cosa le interessa davvero.

Gliela mando?","Ricostruzione unghie, gel e semipermanente, Lugano. Fonte: ricerca del 7 settembre 2026, profilo non aperto."
@lash_lux_lugano,Lash Lux Lugano,Lugano (TI),Ciglia,2972,1,Nessun dominio: la ricerca per nome dà solo il profilo Instagram,,,"Buongiorno, sono Patrick Sappa. Ho una piccola software house a Seveso, DenkiCode.

Le scrivo perché ho guardato il profilo di Lash Lux Lugano e su Google non compare un suo sito: c'è Instagram, ci sono le schede degli altri, ma un sito suo no.

Le sue foto erano già metà del lavoro: l'altra metà l'ho fatta io. La bozza del suo sito è già pronta, con le sue immagini e il suo nome. Non deve scrivere niente e non deve mandarmi niente.

Gliela mando qui, la guarda con calma, e se non le piace me lo dice e non ci sentiamo più. Non le costa un franco e non la impegna a niente.

Sul costo non le faccio girare la testa: se poi decidesse di metterlo online non si parla di migliaia di franchi, e c'è una quota annuale per tenerlo attivo. Il numero preciso glielo faccio solo se la cosa le interessa davvero.

Gliela mando?","Extension ciglia e sopracciglia, Lugano centro. Prenotazioni via DM. Fonte: ricerca del 7 settembre 2026, profilo non aperto."
@diana.lash.art,Diana Lash Art,Lugano (TI),Ciglia,2743,1,Cercando «diana lash art Lugano» non compare nessun dominio suo: solo Instagram,,,"Buongiorno, sono Patrick Sappa. Ho una piccola software house a Seveso, DenkiCode.

Le scrivo perché ho guardato il profilo di Diana Lash Art e su Google non compare un suo sito: c'è Instagram, ci sono le schede degli altri, ma un sito suo no.

Le sue foto erano già metà del lavoro: l'altra metà l'ho fatta io. La bozza del suo sito è già pronta, con le sue immagini e il suo nome. Non deve scrivere niente e non deve mandarmi niente.

Gliela mando qui, la guarda con calma, e se non le piace me lo dice e non ci sentiamo più. Non le costa un franco e non la impegna a niente.

Sul costo non le faccio girare la testa: se poi decidesse di metterlo online non si parla di migliaia di franchi, e c'è una quota annuale per tenerlo attivo. Il numero preciso glielo faccio solo se la cosa le interessa davvero.

Gliela mando?","Extension ciglia a Lugano. Fonte: ricerca del 7 settembre 2026, profilo non aperto."
@extension_ciglia_lugano,Extetica lash & beauty,Lugano (TI),Ciglia,258,1,Solo Instagram e una scheda su Fresha: nessun dominio a suo nome,,,"Buongiorno, sono Patrick Sappa. Ho una piccola software house a Seveso, DenkiCode.

Le scrivo perché ho guardato il profilo di Extetica lash & beauty e su Google non compare un suo sito: c'è Instagram, ci sono le schede degli altri, ma un sito suo no.

Le sue foto erano già metà del lavoro: l'altra metà l'ho fatta io. La bozza del suo sito è già pronta, con le sue immagini e il suo nome. Non deve scrivere niente e non deve mandarmi niente.

Gliela mando qui, la guarda con calma, e se non le piace me lo dice e non ci sentiamo più. Non le costa un franco e non la impegna a niente.

Sul costo non le faccio girare la testa: se poi decidesse di metterlo online non si parla di migliaia di franchi, e c'è una quota annuale per tenerlo attivo. Il numero preciso glielo faccio solo se la cosa le interessa davvero.

Gliela mando?","Extension e laminazione ciglia, tel. 077 430 15 36. Meno di 300 follower: profilo piccolo ma attivo. Fonte: ricerca del 7 settembre 2026, profilo non aperto."
@lb.lashandbeauty,Lash & Beauty di Sonja Bartolomeo,Lugano (TI),Ciglia,n.d.,5,L'unica pagina che ha è la scheda Fresha del salone in via Luigi Lavizzari 2: nessun dominio proprio,,,"Buongiorno, sono Patrick Sappa. Ho una piccola software house a Seveso, DenkiCode.

Le scrivo perché ho guardato il profilo di Lash & Beauty di Sonja Bartolomeo e quello che ha non è un sito suo: è una pagina su Fresha.

Le sue foto erano già metà del lavoro: l'altra metà l'ho fatta io. La bozza del suo sito è già pronta, con le sue immagini e il suo nome. Non deve scrivere niente e non deve mandarmi niente.

Gliela mando qui, la guarda con calma, e se non le piace me lo dice e non ci sentiamo più. Non le costa un franco e non la impegna a niente.

Sul costo non le faccio girare la testa: se poi decidesse di metterlo online non si parla di migliaia di franchi, e c'è una quota annuale per tenerlo attivo. Il numero preciso glielo faccio solo se la cosa le interessa davvero.

Gliela mando?","Via Luigi Lavizzari 2, Lugano. Ciglia e sopracciglia. Fonte: ricerca del 7 settembre 2026, profilo non aperto."
@heynayls,HeyNayls,Lugano (TI),Nail,n.d.,5,"Vende le press-on da una vetrina Etsy: non è un dominio suo, è un negozio dentro Etsy",,,"Buongiorno, sono Patrick Sappa. Ho una piccola software house a Seveso, DenkiCode.

Le scrivo perché ho guardato il profilo di HeyNayls e quello che ha non è un sito suo: è un negozio dentro Etsy.

Le sue foto erano già metà del lavoro: l'altra metà l'ho fatta io. La bozza del suo sito è già pronta, con le sue immagini e il suo nome. Non deve scrivere niente e non deve mandarmi niente.

Gliela mando qui, la guarda con calma, e se non le piace me lo dice e non ci sentiamo più. Non le costa un franco e non la impegna a niente.

Sul costo non le faccio girare la testa: se poi decidesse di metterlo online non si parla di migliaia di franchi, e c'è una quota annuale per tenerlo attivo. Il numero preciso glielo faccio solo se la cosa le interessa davvero.

Gliela mando?","Gabriela, nail artist polacca che vive in Ticino, press-on nails. Fonte: ricerca del 7 settembre 2026, profilo non aperto."
@salone7hairstyle,Salone 7 Hairstyle,Lugano (TI),Parrucchieri,n.d.,1,"Su Google escono solo Instagram, local.ch e le liste dei parrucchieri: nessun dominio suo. Le prenotazioni le prende in DM",,,"Buongiorno, sono Patrick Sappa. Ho una piccola software house a Seveso, DenkiCode.

Le scrivo perché ho guardato il profilo di Salone 7 Hairstyle e su Google non compare un suo sito: c'è Instagram, ci sono le schede degli altri, ma un sito suo no.

Le sue foto erano già metà del lavoro: l'altra metà l'ho fatta io. La bozza del suo sito è già pronta, con le sue immagini e il suo nome. Non deve scrivere niente e non deve mandarmi niente.

Gliela mando qui, la guarda con calma, e se non le piace me lo dice e non ci sentiamo più. Non le costa un franco e non la impegna a niente.

Sul costo non le faccio girare la testa: se poi decidesse di metterlo online non si parla di migliaia di franchi, e c'è una quota annuale per tenerlo attivo. Il numero preciso glielo faccio solo se la cosa le interessa davvero.

Gliela mando?","Corso Elvezia 21, 6900 Lugano, tel. 091 921 12 83. Balmain, Schwarzkopf, Kérastase. Fonte: ricerca del 7 settembre 2026, profilo non aperto."
@beauty_house_by_bojana_dukic,Beauty House by Bojana Dukic,Lugano (TI),Estetica,801,1,"Nessun dominio proprio: ci sono Facebook, Instagram e le schede di ticinoaziende, niente di suo",,,"Buongiorno, sono Patrick Sappa. Ho una piccola software house a Seveso, DenkiCode.

Le scrivo perché ho guardato il profilo di Beauty House by Bojana Dukic e su Google non compare un suo sito: c'è Instagram, ci sono le schede degli altri, ma un sito suo no.

Le sue foto erano già metà del lavoro: l'altra metà l'ho fatta io. La bozza del suo sito è già pronta, con le sue immagini e il suo nome. Non deve scrivere niente e non deve mandarmi niente.

Gliela mando qui, la guarda con calma, e se non le piace me lo dice e non ci sentiamo più. Non le costa un franco e non la impegna a niente.

Sul costo non le faccio girare la testa: se poi decidesse di metterlo online non si parla di migliaia di franchi, e c'è una quota annuale per tenerlo attivo. Il numero preciso glielo faccio solo se la cosa le interessa davvero.

Gliela mando?","Via Mercoli 5, zona Molino Nuovo, Lugano. Bojana Dukic, estetista medicale. Tel. 078 894 55 33. Fonte: ricerca del 7 settembre 2026, profilo non aperto."
@personal_hair_stylist_lugano,Personal Hair Stylist Lugano,Lugano (TI),Parrucchieri,1316,5,"Il link che usa è una pagina dentro hairlovers.style, il portale del gruppo: non è un dominio suo",,,"Buongiorno, sono Patrick Sappa. Ho una piccola software house a Seveso, DenkiCode.

Le scrivo perché ho guardato il profilo di Personal Hair Stylist Lugano e quello che ha non è un sito suo: è una pagina dentro hairlovers.style.

Le sue foto erano già metà del lavoro: l'altra metà l'ho fatta io. La bozza del suo sito è già pronta, con le sue immagini e il suo nome. Non deve scrivere niente e non deve mandarmi niente.

Gliela mando qui, la guarda con calma, e se non le piace me lo dice e non ci sentiamo più. Non le costa un franco e non la impegna a niente.

Sul costo non le faccio girare la testa: se poi decidesse di metterlo online non si parla di migliaia di franchi, e c'è una quota annuale per tenerlo attivo. Il numero preciso glielo faccio solo se la cosa le interessa davvero.

Gliela mando?","Via Canova 9, Lugano, tel. 091 921 10 72. ⚠️ Ha un secondo profilo, @phslugano: scriverne a uno solo. Fonte: ricerca del 7 settembre 2026, profilo non aperto."
@svitlana.prozort,Svitlana Prozort,Lugano (TI),Trucco e acconciature,364,1,Nessun dominio: la ricerca dà solo il profilo Instagram,,,"Buongiorno, sono Patrick Sappa. Ho una piccola software house a Seveso, DenkiCode.

Le scrivo perché ho guardato il profilo di Svitlana Prozort e su Google non compare un suo sito: c'è Instagram, ci sono le schede degli altri, ma un sito suo no.

Le sue foto erano già metà del lavoro: l'altra metà l'ho fatta io. La bozza del suo sito è già pronta, con le sue immagini e il suo nome. Non deve scrivere niente e non deve mandarmi niente.

Gliela mando qui, la guarda con calma, e se non le piace me lo dice e non ci sentiamo più. Non le costa un franco e non la impegna a niente.

Sul costo non le faccio girare la testa: se poi decidesse di metterlo online non si parla di migliaia di franchi, e c'è una quota annuale per tenerlo attivo. Il numero preciso glielo faccio solo se la cosa le interessa davvero.

Gliela mando?","Make-up artist e hair stylist, spose e cerimonie, Lugano. Tel. +41 79 564 11 83. Fonte: ricerca del 7 settembre 2026, profilo non aperto."
@beauty_studio_vanessa4,Beauty Studio Vanessa,Lugano-Cassarate (TI),Estetica/nail,n.d.,1,Solo Instagram: nessun dominio suo nelle ricerche per nome e indirizzo,,,"Buongiorno, sono Patrick Sappa. Ho una piccola software house a Seveso, DenkiCode.

Le scrivo perché ho guardato il profilo di Beauty Studio Vanessa e su Google non compare un suo sito: c'è Instagram, ci sono le schede degli altri, ma un sito suo no.

Le sue foto erano già metà del lavoro: l'altra metà l'ho fatta io. La bozza del suo sito è già pronta, con le sue immagini e il suo nome. Non deve scrivere niente e non deve mandarmi niente.

Gliela mando qui, la guarda con calma, e se non le piace me lo dice e non ci sentiamo più. Non le costa un franco e non la impegna a niente.

Sul costo non le faccio girare la testa: se poi decidesse di metterlo online non si parla di migliaia di franchi, e c'è una quota annuale per tenerlo attivo. Il numero preciso glielo faccio solo se la cosa le interessa davvero.

Gliela mando?","Viale dei Faggi 10, Cassarate. Unghie, massaggi, acconciature unisex. Tel. 076 778 21 13. Fonte: ricerca del 7 settembre 2026, profilo non aperto."
