Account IG,Nome attivita,Comune (prov),Segmento,Follower,Gancio (1-6),Esito verifica sito,DM inviato (data),Esito DM,Messaggio,Scheda,Lista,Prodotto,Letto (data),Chat
@potalagastro_gastronomia,Pota La Gastro,Prevalle (BS),Gastronomia con laboratorio,1028,T,"cercato «gastronomia prevalle» nella ricerca di Instagram → [verifica-turni] profilo letto dall’API il 17/9: 1784 post, 1028 follower. La squadra si vede dal profilo: Pota La Gastro",,,"Ciao, sono Patrick di DenkiCode.

Ho guardato il vostro profilo: gastronomia a Prevalle con la cucina fatta come una volta, lasagne e piatti pronti, e millesettecento post di produzione.

Una curiosità: fra laboratorio, banco e asporto gli orari non sono gli stessi: chi incastra i turni della settimana?

Abbiamo fatto un programma che fa una cosa sola, i turni: costruisce il mese una volta e lo manda sul telefono di ognuno, e quando qualcuno cambia lo sanno tutti. I primi due mesi non si pagano.

Se vi va, dieci minuti in videochiamata e ve lo faccio vedere.

Qui c'è quello che facciamo: www.denkicode.com","Pota La Gastro. Cucina vera, fatta come una volta. Piatti pronti, lasagne, secondi. Prevalle (BS), tel 347 1898298. 1784 post, 1028 follower.",2026-09-17-instagram-denkishift-lombardia.csv,denkishift,,
@credamilano,CreDa Milano,Milano (MI),Gastronomia,15849,T,"cercato «gastronomia milano» nella ricerca di Instagram → [verifica-turni] profilo letto dall’API il 17/9: 193 post, 15849 follower. La squadra si vede dal profilo: CreDa Milano | Gastronomia Popolare",,,"Ciao, sono Patrick di DenkiCode.

Ho guardato il vostro profilo: gastronomia popolare in via Orti nata da un'idea di due cuochi, e quindicimila persone che vi seguono.

Una curiosità: fra cucina, banco e servizio in sala, chi costruisce i turni del mese?

Abbiamo fatto un programma che fa una cosa sola, i turni: costruisce il mese una volta e lo manda sul telefono di ognuno, e quando qualcuno cambia lo sanno tutti. I primi due mesi non si pagano.

Se vi va, dieci minuti in videochiamata e ve lo faccio vedere.

Qui c'è quello che facciamo: www.denkicode.com","CreDa Milano | Gastronomia Popolare. Da un'idea di @cenzomando e @dariopisanichef. Via Orti 12, Milano. 193 post, 15849 follower.",2026-09-17-instagram-denkishift-lombardia.csv,denkishift,,
@etna_pasticceria_graniteria,Etna Pasticceria Graniteria,Brescia (BS),Pasticceria con laboratorio,5033,T,"cercato «pasticceria brescia» nella ricerca di Instagram → [verifica-turni] profilo letto dall’API il 17/9: 828 post, 5033 follower. La squadra si vede dal profilo: Etna Pasticceria Graniteria",,,"Ciao, sono Patrick di DenkiCode.

Ho guardato il vostro profilo: pasticceria e graniteria siciliana in via Dal Monte, ottocento post di dolci fatti in casa.

Una curiosità: il laboratorio parte prima che apra il banco: come li mettete d'accordo, i turni?

Abbiamo fatto un programma che fa una cosa sola, i turni: costruisce il mese una volta e lo manda sul telefono di ognuno, e quando qualcuno cambia lo sanno tutti. I primi due mesi non si pagano.

Se vi va, dieci minuti in videochiamata e ve lo faccio vedere.

Qui c'è quello che facciamo: www.denkicode.com","Etna Pasticceria Graniteria. «La Sicilia in città». Via Pietro Dal Monte 12, Brescia. Tel 030 303158. 828 post, 5033 follower.",2026-09-17-instagram-denkishift-lombardia.csv,denkishift,,
@pasticceria_rovida_milano,Pasticceria Rovida,Milano (MI),Pasticceria con laboratorio,5682,T,"cercato «pasticceria milano» nella ricerca di Instagram → [verifica-turni] profilo letto dall’API il 17/9: 732 post, 5682 follower. La squadra si vede dal profilo: Pasticceria Rovida, artigianale dal 1956",,,"Ciao, sono Patrick di DenkiCode.

Ho guardato il vostro profilo: artigianale dal 1956 a due passi dalla Centrale, con colazione, lunch, aperitivi e gastronomia nello stesso posto.

Una curiosità: quattro servizi in una giornata vogliono quattro orari diversi: chi fa i turni?

Abbiamo fatto un programma che fa una cosa sola, i turni: costruisce il mese una volta e lo manda sul telefono di ognuno, e quando qualcuno cambia lo sanno tutti. I primi due mesi non si pagano.

Se vi va, dieci minuti in videochiamata e ve lo faccio vedere.

Qui c'è quello che facciamo: www.denkicode.com","Pasticceria Rovida, artigianale dal 1956. Colazione, lunch, aperitivi, gastronomia. Via D. Scarlatti 21, Milano, vicino alla Stazione Centrale. 732 post, 5682 follower.",2026-09-17-instagram-denkishift-lombardia.csv,denkishift,,
@gastronomiadelcorsovarese,Gastronomia del Corso,Varese (VA),Gastronomia e salumeria,2998,T,"cercato «gastronomia varese» nella ricerca di Instagram → [verifica-turni] profilo letto dall’API il 17/9: 822 post, 2998 follower. La squadra si vede dal profilo: Gastronomia del Corso, a Varese dal 1982",,,"Ciao, sono Patrick di DenkiCode.

Ho guardato il vostro profilo: a Varese dal 1982, con salumeria, gastronomia, vino, formaggi e caviale, e l'orario spezzato sei giorni su sette.

Una curiosità: con l'apertura alle 8 e il rientro alle 15:30, chi decide chi c'è e quando?

Abbiamo fatto un programma che fa una cosa sola, i turni: costruisce il mese una volta e lo manda sul telefono di ognuno, e quando qualcuno cambia lo sanno tutti. I primi due mesi non si pagano.

Se vi va, dieci minuti in videochiamata e ve lo faccio vedere.

Qui c'è quello che facciamo: www.denkicode.com","Gastronomia del Corso, a Varese dal 1982. Salumeria, gastronomia, vino, formaggi, caviale. Corso Matteotti 68. Lun 10:30-13 e 15:30-19:30, mar-sab 8-13 e 15:30-19:30. 822 post, 2998 follower.",2026-09-17-instagram-denkishift-lombardia.csv,denkishift,,
@cooperativa.sociolario,Cooperativa Sociolario,Como (CO),Cooperativa sociale,1080,T,"cercato «cooperativa como» nella ricerca di Instagram → [verifica-turni] profilo letto dall’API il 17/9: 994 post, 1080 follower. La squadra si vede dal profilo: Cooperativa Sociolario, Como, via Ferabosco 11",,,"Ciao, sono Patrick di DenkiCode.

Ho guardato il vostro profilo: da oltre trent'anni sull'inclusione delle persone con disabilità, con servizi a Como e in America Latina.

Una curiosità: con gli operatori sui servizi e i turni che cambiano, chi tiene insieme il calendario del mese?

Abbiamo fatto un programma che fa una cosa sola, i turni: costruisce il mese una volta e lo manda sul telefono di ognuno, e quando qualcuno cambia lo sanno tutti. I primi due mesi non si pagano.

Se vi va, dieci minuti in videochiamata e ve lo faccio vedere.

Qui c'è quello che facciamo: www.denkicode.com","Cooperativa Sociolario, Como, via Ferabosco 11. Da oltre 30 anni inclusione sociale delle persone con disabilità, servizi a Como e in America Latina. Panettone Il Gelso. 994 post, 1080 follower.",2026-09-17-instagram-denkishift-lombardia.csv,denkishift,,
@macelleriacasatirho,Macelleria Casati,Rho (MI),Macelleria con ristorante,3611,T,"cercato «macelleria rho» nella ricerca di Instagram → [verifica-turni] profilo letto dall’API il 17/9: 561 post, 3611 follower. La squadra si vede dal profilo: Macelleria Casati Rho, macellai dal 1954",,,"Ciao, sono Patrick di DenkiCode.

Ho guardato il vostro profilo: macellai dal 1954 in corso Europa, con il ristorante aperto a pranzo e cena accanto al banco.

Una curiosità: banco e ristorante hanno due ritmi diversi: chi incastra i turni fra i due?

Abbiamo fatto un programma che fa una cosa sola, i turni: costruisce il mese una volta e lo manda sul telefono di ognuno, e quando qualcuno cambia lo sanno tutti. I primi due mesi non si pagano.

Se vi va, dieci minuti in videochiamata e ve lo faccio vedere.

Qui c'è quello che facciamo: www.denkicode.com","Macelleria Casati Rho, macellai dal 1954. Ristorante aperto a pranzo e cena, carni da tutto il mondo. Corso Europa 235, Rho (MI). 561 post, 3611 follower.",2026-09-17-instagram-denkishift-lombardia.csv,denkishift,,
@coop.attivamente,CoopAttivaMente,Como (CO),Cooperativa sociale,2409,T,"cercato «cooperativa como» nella ricerca di Instagram → [verifica-turni] profilo letto dall’API il 17/9: 674 post, 2409 follower. La squadra si vede dal profilo: CoopAttivaMente, Como, via Pastrengo 15",,,"Ciao, sono Patrick di DenkiCode.

Ho guardato il vostro profilo: «liberi strumenti di metamorfosi» in via Pastrengo, e seicento post di lavoro sul territorio.

Una curiosità: quanti operatori ruotano sui vostri servizi in una settimana, e su che strumento li mettete?

Abbiamo fatto un programma che fa una cosa sola, i turni: costruisce il mese una volta e lo manda sul telefono di ognuno, e quando qualcuno cambia lo sanno tutti. I primi due mesi non si pagano.

Se vi va, dieci minuti in videochiamata e ve lo faccio vedere.

Qui c'è quello che facciamo: www.denkicode.com","CoopAttivaMente, Como, via Pastrengo 15. «Liberi Strumenti di Metamorfosi». 674 post, 2409 follower.",2026-09-17-instagram-denkishift-lombardia.csv,denkishift,,
@spaziogiovanionlus,Spazio Giovani impresa sociale,Lissone (MB),Impresa sociale,1756,T,"cercato «impresa lissone» nella ricerca di Instagram → [verifica-turni] profilo letto dall’API il 17/9: 719 post, 1756 follower. La squadra si vede dal profilo: Spazio Giovani - Impresa Sociale, Lissone, via Leonardo da Vinci 34",,,"Ciao, sono Patrick di DenkiCode.

Ho guardato il vostro profilo: da oltre trent'anni servizi alla persona e politiche sociali, da via Leonardo da Vinci.

Una curiosità: con educatori su più servizi e orari che cambiano, chi costruisce il mese?

Abbiamo fatto un programma che fa una cosa sola, i turni: costruisce il mese una volta e lo manda sul telefono di ognuno, e quando qualcuno cambia lo sanno tutti. I primi due mesi non si pagano.

Se vi va, dieci minuti in videochiamata e ve lo faccio vedere.

Qui c'è quello che facciamo: www.denkicode.com","Spazio Giovani - Impresa Sociale, Lissone, via Leonardo da Vinci 34. Da oltre trent'anni servizi alla persona e politiche sociali. 719 post, 1756 follower.",2026-09-17-instagram-denkishift-lombardia.csv,denkishift,,
@unsacco_digrani,UnSacco panificio di grani antichi,Milano (MI),Panificio con laboratorio,3433,T,"cercato «panificio milano» nella ricerca di Instagram → [verifica-turni] profilo letto dall’API il 17/9: 472 post, 3433 follower. La squadra si vede dal profilo: UnSacco | Panificio di grani antichi",,,"Ciao, sono Patrick di DenkiCode.

Ho guardato il vostro profilo: panificio di grani antichi in via Binda, con il pane preparato come una volta e quattrocento post di lievitati.

Una curiosità: il forno comincia di notte e il banco chiude la sera: chi fa i turni fra le due squadre?

Abbiamo fatto un programma che fa una cosa sola, i turni: costruisce il mese una volta e lo manda sul telefono di ognuno, e quando qualcuno cambia lo sanno tutti. I primi due mesi non si pagano.

Se vi va, dieci minuti in videochiamata e ve lo faccio vedere.

Qui c'è quello che facciamo: www.denkicode.com","UnSacco | Panificio di grani antichi. Via Ambrogio Binda 56, Milano. 472 post, 3433 follower.",2026-09-17-instagram-denkishift-lombardia.csv,denkishift,,
