Nome Azienda,Telefono / Cellulare,Tipo Azienda,Settore,Servizio da Vendere,Prezzo Indicativo,Note Strategiche (Claude),Esito e Note Giulia
I.m.p. Industria Metalli Pressofusi Srl (Albiate),0362 930730,Metalmeccanica e officine,Fusione di metalli leggeri,D - gestionale su misura (apertura: indagine di mercato),"D: 2.000-2.500 EUR una tantum oppure 500 EUR/anno - C: ~2 EUR/dipendente/mese, primi due mesi non si pagano","Metalmeccanica e officine | ATECO 24.53 Fusione di metalli leggeri | fatturato 11.518.720 EUR (2024) | dipendenti da 50 a 99 | 9.5 km da Seveso | Via Antonio Gramsci, 018 - | GANCIO: Tracciamento commesse in officina: quale pezzo a che fase, senza girare a chiedere | referente TODO: chiedere del titolare o del responsabile di produzione | fonte fatturato companyreports.it/imp-industria-metalli-pressofusi-srl-05884820159 | telefono: PG «industria metalli pressofusi» in albiate → I.M.P. Industria Metalli Pressofusi S.r.l. | Via Gramsci Antonio, 18 - 20847 Albiate (MB)",
Tekmag S.r.l. (Albiate),0362 802031,Metalmeccanica e officine,Fabbricazione di macchine e apparecchi di sollevamento e movimentazione,D - gestionale su misura (apertura: indagine di mercato),"D: 2.000-2.500 EUR una tantum oppure 500 EUR/anno - C: ~2 EUR/dipendente/mese, primi due mesi non si pagano","Metalmeccanica e officine | ATECO 28.22 Fabbricazione di macchine e apparecchi di sollevamento e movimentazione | fatturato 10.601.617 EUR (2023) | dipendenti da 20 a 49 | 9.5 km da Seveso | Via Adige, 5 B - | GANCIO: Interventi e manutenzioni programmate: chi va da chi, con lo storico macchina | referente TODO: chiedere del titolare o del responsabile di produzione | fonte fatturato companyreports.it/tekmag-srl-02881550962 | telefono: PG «tekmag» in albiate → Tekmag S.r.l. | Via San Carlo, snc - 20847 Albiate (MB)",
Motta Srl (Barlassina),"0362 557309, 0362 560584, 0362 557398, 0362 689008, 0362 689009, 0362 689010, 0362 689011, 0362 689012, 0362 689013, 039 740183","Manifattura (legno, arredo, plastica, chimica, tessile, alimentare)",Produzione di prodotti a base di carne (inclusa la carne di volatili),D - gestionale su misura (apertura: indagine di mercato),"D: 2.000-2.500 EUR una tantum oppure 500 EUR/anno - C: ~2 EUR/dipendente/mese, primi due mesi non si pagano","Manifattura (legno, arredo, plastica, chimica, tessile, alimentare) | ATECO 10.13 Produzione di prodotti a base di carne (inclusa la carne di volatili) | fatturato 37.422.640 EUR (2024) | dipendenti da 20 a 49 | 2 km da Seveso | Via Luigi Capuana, 44 - | GANCIO: Ordine di produzione tracciato: dalla conferma alla spedizione in un posto solo | referente TODO: chiedere del titolare o del responsabile di produzione | fonte fatturato companyreports.it/motta-srl-01691340150 | telefono: PG «motta» in barlassina → Motta S.r.l. | Via Capuana, 44 - 20825 Barlassina (MB)",
Panasonic Heating & Ventilation Air Conditioning I ... (Barlassina),0362 6801,Metalmeccanica e officine,Fabbricazione di attrezzature di uso non domestico per la refrigerazione e la ventilazione,D - gestionale su misura (apertura: indagine di mercato),"D: 2.000-2.500 EUR una tantum oppure 500 EUR/anno - C: ~2 EUR/dipendente/mese, primi due mesi non si pagano","Metalmeccanica e officine | ATECO 28.25 Fabbricazione di attrezzature di uso non domestico per la refrigerazione e la ventilazione | fatturato 20.262.480 EUR (2024) | dipendenti da 100 a 199 | 2 km da Seveso | Via Xxv Aprile, 29 - | GANCIO: Interventi e manutenzioni programmate: chi va da chi, con lo storico macchina | referente TODO: chiedere del titolare o del responsabile di produzione | fonte fatturato companyreports.it/panasonic-heating-ventilation-air-conditioning-italy-srl-07642690965 | telefono: PG «panasonic heating ventilation air» in barlassina → Panasonic Heating & Ventilation Air Conditioning Italy S.r.l. | Via XXV Aprile, 29 - 20825 Barl",
Safety S.p.a. (Bovisio Masciago),"0362 1855900, 0362 595283, 0362 595284, 0362 595285, 0362 595286, 0362 595287, 0362 595288",Ingrosso e distribuzione,Commercio all'ingrosso di articoli medicali ed ortopedici,D - gestionale su misura (apertura: indagine di mercato),"D: 2.000-2.500 EUR una tantum oppure 500 EUR/anno - C: ~2 EUR/dipendente/mese, primi due mesi non si pagano","Ingrosso e distribuzione | ATECO 46.46.3 Commercio all'ingrosso di articoli medicali ed ortopedici | fatturato 20.415.802 EUR (2024) | dipendenti da 20 a 49 | 3 km da Seveso | Via Giuseppe Di Vittorio, 17 - | GANCIO: Sincronizzazione ordini/magazzino: giacenza vera mentre il cliente e' al telefono | referente TODO: chiedere del titolare o del responsabile di produzione | fonte fatturato companyreports.it/safety-spa-04074050156 | telefono: PG «safety» in bovisio masciago → Safety S.p.a. | Via di Vittorio Giuseppe, 17 - 20813 Bovisio Masciago (MB)",
Monguzzi S.r.l. (Bovisio Masciago),0362 825615,"Manifattura (legno, arredo, plastica, chimica, tessile, alimentare)","Fabbricazione di lastre, fogli, tubi e profilati in materie plastiche",D - gestionale su misura (apertura: indagine di mercato),"D: 2.000-2.500 EUR una tantum oppure 500 EUR/anno - C: ~2 EUR/dipendente/mese, primi due mesi non si pagano","Manifattura (legno, arredo, plastica, chimica, tessile, alimentare) | ATECO 22.21 Fabbricazione di lastre, fogli, tubi e profilati in materie plastiche | fatturato 16.394.339 EUR (2024) | dipendenti da 50 a 99 | 3 km da Seveso | Via Michelangelo Buonarroti, 5 - | GANCIO: Ordine di produzione tracciato: dalla conferma alla spedizione in un posto solo | referente TODO: chiedere del titolare o del responsabile di produzione | fonte fatturato companyreports.it/monguzzi-srl-08274770158 | telefono: PG «monguzzi» in bovisio masciago → Monguzzi S.r.l. | Via Tolmino, 49 - 20813 Bovisio Masciago (MB)",
Elcoman Srl (Bovisio Masciago),"0362 593584, 0362 594227, 0362 287837",Metalmeccanica e officine,,D - gestionale su misura (apertura: indagine di mercato),"D: 2.000-2.500 EUR una tantum oppure 500 EUR/anno - C: ~2 EUR/dipendente/mese, primi due mesi non si pagano","Metalmeccanica e officine | ATECO 28.23  | fatturato 12.862.612 EUR (2024) | dipendenti da 20 a 49 | 3 km da Seveso | Via Gorizia, 0009 - | GANCIO: Interventi e manutenzioni programmate: chi va da chi, con lo storico macchina | referente TODO: chiedere del titolare o del responsabile di produzione | fonte fatturato companyreports.it/elcoman-srl-00805350154 | telefono: PG «elcoman» in bovisio masciago → Elcoman S.r.l. | Via Gorizia, 9 - 20813 Bovisio Masciago (MB)",
Mecair Srl (Bovisio Masciago),"0362 367279, 0362 3751",Metalmeccanica e officine,Fabbricazione di altre pompe e compressori,D - gestionale su misura (apertura: indagine di mercato),"D: 2.000-2.500 EUR una tantum oppure 500 EUR/anno - C: ~2 EUR/dipendente/mese, primi due mesi non si pagano","Metalmeccanica e officine | ATECO 28.13 Fabbricazione di altre pompe e compressori | fatturato 10.084.281 EUR (2024) | dipendenti da 50 a 99 | 3 km da Seveso | Via Bertacciola, 50 - | GANCIO: Interventi e manutenzioni programmate: chi va da chi, con lo storico macchina | referente TODO: chiedere del titolare o del responsabile di produzione | fonte fatturato companyreports.it/mecair-srl-11422310158 | telefono: PG «mecair» in bovisio masciago → Mecair S.r.l. | Via Bertacciola, 50 - 20813 Bovisio Masciago (MB)",
Eco Coop Multiservice Societa' Cooperativa (Bovisio Masciago),"340 4724836, 0362 1971197, 340 1971197",Pulizie e servizi strutturati,Pulizia generale (non specializzata) di edifici,C - DenkiShift (turni) + D - gestionale su misura,"D: 2.000-2.500 EUR una tantum oppure 500 EUR/anno - C: ~2 EUR/dipendente/mese, primi due mesi non si pagano","Pulizie e servizi strutturati | ATECO 81.21 Pulizia generale (non specializzata) di edifici | fatturato 9.322.270 EUR (ultimo bilancio) | dipendenti n.d. | 3 km da Seveso | Corso Milano, 27 - | GANCIO: Turni multi-cantiere: chi va dove domani, sostituzioni e ore comprese | referente TODO: chiedere del titolare o del responsabile di produzione | fonte fatturato companyreports.it/eco-coop-multiservice-societa-cooperativa-08436420965 | telefono: PG «eco multiservice» in bovisio masciago → Eco Coop Multiservice | Via del Foppone, 20 - 20813 Bovisio Masciago (MB)",
Effe Elle S.r.l. (Bovisio Masciago),0362 594787,"Manifattura (legno, arredo, plastica, chimica, tessile, alimentare)",Fabbricazione di apparecchiature per le reti di distribuzione e il controllo dell'elettricita',D - gestionale su misura (apertura: indagine di mercato),"D: 2.000-2.500 EUR una tantum oppure 500 EUR/anno - C: ~2 EUR/dipendente/mese, primi due mesi non si pagano","Manifattura (legno, arredo, plastica, chimica, tessile, alimentare) | ATECO 27.12 Fabbricazione di apparecchiature per le reti di distribuzione e il controllo dell'elettricita' | fatturato 6.016.252 EUR (2024) | dipendenti da 20 a 49 | 3 km da Seveso | Via Giuseppe Di Vittorio, 9 - | GANCIO: Ordine di produzione tracciato: dalla conferma alla spedizione in un posto solo | referente TODO: chiedere del titolare o del responsabile di produzione | fonte fatturato companyreports.it/effe-elle-srl-09265580960 | telefono: PG «effe elle» in bovisio masciago → Effe Elle S.r.l. | Via di Vittorio Giuseppe, 9 - 20813 Bovisio Masciago (MB)",
