Account IG,Nome attivita,Comune (prov),Segmento,Follower,Gancio (1-6),Esito verifica sito,DM inviato (data),Esito DM,Messaggio,Scheda,Lista,Prodotto,Letto (data),Chat
@esteticaserendipity,Estetica Serendipity di Marialaura Gigliotti,Torino (TO),Estetica avanzata,16722,1,"cercato «estetica torino» nella ricerca di Instagram → profilo letto dall’API il 17/9: nessun link in bio, in bio solo il numero 3393947226 [verifica-sito] motori «""Estetica Serendipity di Marialaura Gigliotti"" Torino»: 4 risultati · domini: hackerone.com (vivo: HackerOne | Leader in Continuous Threat Exposure Management | Security for AI); status.brave.app (vivo: Brave status) · directory: it.linkedin.com, linkedin.com",,,"Ciao, sono Patrick di DenkiCode. Settemilasettecento post e sedicimila persone che ti seguono: hai costruito un archivio che racconta il laser e il Nir meglio di qualsiasi brochure.

Ho notato però una cosa: per prenotare bisogna chiamarti, e su Google un sito tuo non esiste. Chi ti cerca di sera trova il profilo e si ferma lì.

Abbiamo preso ispirazione dal tuo profilo e abbiamo realizzato una bozza del tuo sito.

Preferisci che te la mandi qui su Instagram, o prima ne parliamo due minuti al telefono? In ogni caso zero costi e zero impegno: se ti piace, poi ne parliamo. Se vuoi vedere cosa facciamo: denkicode.com","Marialaura Gigliotti | Estetica Avanzata Torino. L'eccellenza dell'Estetica Avanzata. Laser Soprano Almabeauty, Nir viso e corpo, pressoterapia e Dermaclear. Chiama il 3393947226. 7794 post, 16722 follower.",2026-09-17-instagram-siti-piemonte.csv,siti,,
@aijonails,Aijo Nails,Torino (TO),Nail,21637,1,"cercato «nail torino» nella ricerca di Instagram → profilo letto dall’API il 17/9: link in bio: wa.me/393382620836, nessun dominio [verifica-sito] motori «""Aijo Nails"" Torino»: 5 risultati · domini: hackerone.com (vivo: HackerOne | Leader in Continuous Threat Exposure Management | Security for AI); status.brave.app (vivo: Brave status) · directory: instagram.com, aromavero.it, tiktok.com",,,"Ciao, sono Patrick di DenkiCode. Ventunmila follower con trentacinque post è un numero che si vede raramente: vuol dire che chi passa da via Monginevro poi resta.

Ho notato però una cosa: tutto passa da WhatsApp, e su Google un sito tuo non c'è. Chi cerca «unghie Torino» ti trova solo se sa già come ti chiami.

Abbiamo preso ispirazione dal tuo profilo e abbiamo realizzato una bozza del tuo sito.

Preferisci che te la mandi qui, o ne parliamo due minuti al telefono? Zero costi e zero impegno in ogni caso: se ti piace, poi ne parliamo. Qui c'è quello che facciamo: denkicode.com","Aijo Nails Torino | Via Monginevro 4. Unghie da sogno a Torino. Gel, ricostruzione, nail art. Telefono 3382620836, prenotazioni su WhatsApp. 35 post, 21637 follower.",2026-09-17-instagram-siti-piemonte.csv,siti,,
@denisemonteartist,"Denise Monte, onicotecnica e trainer",Borgomanero (NO),Nail e formazione,7441,1,"cercato «nail borgomanero» nella ricerca di Instagram → profilo letto dall’API il 17/9: link in bio: un canale Telegram, nessun dominio [verifica-sito] motori «""Denise Monte, onicotecnica e trainer"" Borgomanero»: 19 risultati · domini: formazione.mylamination.it (vivo: Laminazione Ciglia Sopracciglia e Cosmetici | My Lamination); academy.ebranditalia.com (non risponde); amelieistitutodibellezza.it (vivo: Amelie Beauty & Spa - Istituto di bellezza a Santa Maria a Monte); aziende.tuttosuitalia.com (vivo: Aziende in Italia); emdr.it (vivo: Emdr – Il sito ufficiale – Associazione per l'EMDR in Italia); cassaedileawards.it (vivo: Home Page - Cassa Edile Awards); guidapsicologi.it (vivo: Psicologi - GuidaPsicologi.it); personaltrainerhub.it (vivo: Personal Trainer Milano - Personal Trainer Hub); francescamontestetichlab.it (vivo: Francesca Monte Estetich Lab - Trattamenti di Estetica Base e Avanzata); hackerone.com (vivo: HackerOne | Leader in Continuous Threat Exposure Management | Security for AI); status.brave.app (vivo: Brave status) · directory: ufficiocamerale.it, instagram.com, paginegialle.it, fresha.com · aperto a mano il 17/9: lo script ha segnato SITO su francescamontestetichlab.it, che e' di Francesca Monte e non di Denise: nessuno dei 19 domini usciti porta il suo nome",,,"Ciao, sono Patrick di DenkiCode. «Insegno alle colleghe a lavorare meglio, non di più» è la riga migliore che ho letto oggi, e i tuoi millesettecento post la confermano.

Ho notato però una cosa: i corsi vivono in un canale Telegram e su Google esce la tua scheda Fresha, che è una pagina dentro il sito di qualcun altro. Un sito tuo, dove stanno le date e i programmi, non c'è.

Abbiamo preso ispirazione dal tuo profilo e abbiamo realizzato una bozza del tuo sito.

Preferisci vederla qui su Instagram, o prima due minuti al telefono? In ogni caso zero costi e zero impegno: se ti piace, poi ne parliamo. Se vuoi vedere cosa facciamo: denkicode.com","DENISE, unghie Borgomanero, corsi di formazione. Onicotecnica e trainer, focus lavoro da salone. «Insegno alle colleghe a lavorare meglio, non di piu'». 1708 post, 7441 follower.",2026-09-17-instagram-siti-piemonte.csv,siti,,
@angela_esthetique,Angela Esthetique,Alessandria (AL),Estetica avanzata e PMU,4430,1,"cercato «estetica alessandria» nella ricerca di Instagram → profilo letto dall’API il 17/9: link in bio: wa.me/393314069456 e una scheda Google Maps, nessun dominio [verifica-sito] motori «""Angela Esthetique"" Alessandria»: 22 risultati · domini: almagazzino.com (vivo: Golden Star Casino Suomi 🎖️ Rekisteröidy ja saa 1 000 € + 300 ilmaiskierrosta); nuovaopinione.it (vivo: Negozi, Imprese e Servizi: pro, contro e opinioni reali); fatturatoitalia.it (vivo: FatturatoItalia | Fatturato, bilanci e visure aziende); it.maptons.com (non risponde); hackerone.com (vivo: HackerOne | Leader in Continuous Threat Exposure Management | Security for AI); status.brave.app (vivo: Brave status) · directory: fresha.com, instagram.com, facebook.com, atoka.io",,,"Ciao, sono Patrick di DenkiCode. «Meno fuffa, più ironia» in bio e duemila post senza filtri: si capisce al volo che tipo di posto è il tuo, e non è scontato.

Ho notato però una cosa: chi ti cerca da Google trova la scheda Maps, quella Fresha e WhatsApp. Sono pagine dentro il sito di qualcun altro, e un sito tuo dove quel tono resta scritto non c'è.

Abbiamo preso ispirazione dal tuo profilo e abbiamo realizzato una bozza del tuo sito.

Preferisci che te la mandi qui, o prima ne parliamo due minuti al telefono? Zero costi e zero impegno: se ti piace, poi ne parliamo. Qui c'è quello che facciamo: denkicode.com","Angela Esthetique | Estetica Avanzata Alessandria, via Carlo Alberto 31. «Meno fuffa, piu' ironia: viso e corpo senza filtri». PMU, microblading e laminazione. 2152 post, 4430 follower.",2026-09-17-instagram-siti-piemonte.csv,siti,,
@cb_nailtechnician,CB Nail Technician,Torino (TO),Nail,7494,1,"cercato «nail torino» nella ricerca di Instagram → profilo letto dall’API il 17/9: link in bio: un canale Telegram per i corsi, nessun dominio [verifica-sito] motori «""CB Nail Technician"" Torino»: 3 risultati · domini: hackerone.com (vivo: HackerOne | Leader in Continuous Threat Exposure Management | Security for AI); status.brave.app (vivo: Brave status); nailtechnician.com (vivo, indovinato: NailTechnician.com); nailtechnician.net (non risponde, indovinato); nail-technician.com (non risponde, indovinato) · directory: instagram.com · aperto a mano il 17/9: nailtechnician.com e' un dominio generico in vendita, non suo · nailtechnician.com e' un dominio generico in vendita: stesso nome ma un'altra attivita', non e' sua",,,"Ciao, sono Patrick di DenkiCode. Mille post di manicure russa fatti bene, e si vede che è una tecnica che difendi invece di rincorrere le mode.

Ho notato però una cosa: le info sui corsi stanno in un canale Telegram e le prenotazioni in direct. Su Google, un sito tuo non esiste.

Abbiamo preso ispirazione dal tuo profilo e abbiamo realizzato una bozza del tuo sito.

Preferisci che te la mandi qui su Instagram, o ne parliamo due minuti al telefono? In ogni caso zero costi e zero impegno: se ti piace, poi ne parliamo. Se vuoi vedere cosa facciamo: denkicode.com","Unghie Torino. Manicure russa, unghie raffinate. In bio solo il canale Telegram per i corsi. 1005 post, 7494 follower.",2026-09-17-instagram-siti-piemonte.csv,siti,,
@beautyplanetortona,Beauty Planet,Tortona (AL),Estetica e nail,1008,1,"cercato «estetica tortona» nella ricerca di Instagram → profilo letto dall’API il 17/9: nessun link in bio [verifica-sito] motori «""Beauty Planet"" Tortona»: 9 risultati · domini: capelliextension.it (vivo: Capelli EXT - Elenco delle aziende produttrici di capelli in Italia. Posizione, ); pagantattoo.it (vivo: Arte e Inchiostro - Directory dei migliori studi di tatuaggio e piercing in Ital); beautyplanet.it (vivo, indovinato: Beauty Planet Estetica Solarium – Centro Estetico Estetista); beautyplanet.com (vivo, indovinato: BEAUTY PLANET : RDV EN LIGNE COIFFEUR ET INSTITUT DE BEAUTÉ); beautyplanet.ch (vivo, indovinato: Startseite – Spirit of Beauty); beautyplanet.eu (parcheggiato, indovinato: beautyplanet.eu is for sale!); beautyplanet.net (vivo, indovinato: Home - Beauty Planet); beauty-planet.ch (vivo, indovinato: Startseite – Spirit of Beauty); beauty-planet.eu (vivo, indovinato: Beauty & medical equipment - Beauty Planet) · directory: facebook.com, instagram.com, beautynailhairsalons.com, firmania.it · aperto a mano il 17/9: beautyplanet.it aperto il 17/9 e' la Beauty Planet di Orbassano, via Giolitti: stesso nome, altra citta' · beautyplanet.it aperto a mano il 17/9 porta a via Giolitti, Orbassano: stesso nome ma un'altra attivita', diverso indirizzo. Gli altri beautyplanet.* sono esteri",,,"Buongiorno, sono Patrick di DenkiCode. Aperte dal 2000 e quasi tremila post: in largo Europa avete una storia che pochi centri possono raccontare.

Ho notato però una cosa: quella storia esiste solo dentro Instagram. Chi cerca un centro estetico a Tortona e non è già vostro cliente non vi trova, perché un sito vostro non c'è.

Abbiamo preso ispirazione dal vostro profilo e abbiamo realizzato una bozza del vostro sito.

Preferite che ve la mandi qui, o prima ne parliamo due minuti al telefono? In ogni caso zero costi e zero impegno: se vi piace, poi ne parliamo. Qui c'è quello che facciamo: denkicode.com","Stefania & Elvira | Beauty Planet Tortona dal 2000, largo Europa 112. Estetiste pluriqualificate, specializzate in manicure e pedicure, affiliate Crystal Nails. 2886 post, 1008 follower.",2026-09-17-instagram-siti-piemonte.csv,siti,,
@moni_unghie_chivasso,"Monique Guinho, manicure e pedicure",Chivasso (TO),Nail,2237,1,"cercato «nail chivasso» nella ricerca di Instagram → profilo letto dall’API il 17/9: link in bio: wa.me/393319416549, nessun dominio [verifica-sito] motori «""Monique Guinho, manicure e pedicure"" Chivasso»: 0 risultati · domini: nessuno risponde",,,"Ciao, sono Patrick di DenkiCode. Millequattrocento post sul semipermanente con rinforzo e sul pedicure curativo: la precisione di cui parli in bio si vede nelle foto, non solo nelle parole.

Ho notato però una cosa: gli appuntamenti passano solo da WhatsApp, e cercando «unghie Chivasso» un sito tuo non esce.

Abbiamo preso ispirazione dal tuo profilo e abbiamo realizzato una bozza del tuo sito.

Preferisci che te la mandi qui su Instagram, o ne parliamo due minuti al telefono? Zero costi e zero impegno: se ti piace, poi ne parliamo. Se vuoi vedere cosa facciamo: denkicode.com","Manicure & pedicure Chivasso, Monique Guinho. Semipermanente con rinforzo, ricostruzione, pedicure estetico e curativo. «Amo lavorare con precisione». 1463 post, 2237 follower.",2026-09-17-instagram-siti-piemonte.csv,siti,,
@posh_estetica,Posh Estetica,Torino (TO),Estetica,5880,5,"cercato «estetica torino» nella ricerca di Instagram → profilo letto dall’API il 17/9: link in bio: taplink.cc/poshtorino, una pagina dentro il servizio di qualcun altro [verifica-sito] motori «""Posh Estetica"" Torino»: 0 risultati · domini: poshestetica.com (parcheggiato, indovinato)",,,"Buongiorno, sono Patrick di DenkiCode. Quasi seimila persone vi seguono e in via Principe Tommaso avete un istituto che sul laser e sul viso lavora a un livello che si vede dalle foto.

Ho notato però una cosa: il link in bio porta a un Taplink, che è una pagina dentro il servizio di qualcun altro. Un sito vostro, con il vostro nome sopra, non c'è.

Abbiamo preso ispirazione dal vostro profilo e abbiamo realizzato una bozza del vostro sito.

Preferite che ve la mandi qui, o prima due minuti al telefono? In ogni caso zero costi e zero impegno: se vi piace, poi ne parliamo. Qui c'è quello che facciamo: denkicode.com","CENTRO ESTETICO TORINO, istituto di bellezza, origini ucraine. Laser, viso, corpo, mani e piedi. Via Principe Tommaso. 166 post, 5880 follower.",2026-09-17-instagram-siti-piemonte.csv,siti,,
@beautytech_torino,BeautyTech Torino,Torino (TO),Estetica avanzata,3568,5,"cercato «estetica torino» nella ricerca di Instagram → profilo letto dall’API il 17/9: link in bio: linktr.ee/beautytechtorino, nessun dominio proprio [verifica-sito] motori «""BeautyTech Torino"" Torino»: 1 risultati · domini: nessuno risponde · directory: instagram.com",,,"Buongiorno, sono Patrick di DenkiCode. Ottocento post da via Mario Ponzio, e l'idea dell'angolo di benessere quotidiano passa davvero guardando il profilo.

Ho notato però una cosa: il link della bio è un Linktree, cioè un elenco di bottoni sul dominio di qualcun altro. Chi cerca estetica avanzata a Torino non trova niente di vostro.

Abbiamo preso ispirazione dal vostro profilo e abbiamo realizzato una bozza del vostro sito.

Preferite vederla qui su Instagram, o ne parliamo due minuti al telefono? Zero costi e zero impegno in ogni caso: se vi piace, poi ne parliamo. Se volete vedere cosa facciamo: denkicode.com","BeautyTech Torino, estetica avanzata. «Il tuo angolo di benessere quotidiano». Via Mario Ponzio 10, Torino. 881 post, 3568 follower.",2026-09-17-instagram-siti-piemonte.csv,siti,,
@quelladelleunghie_asti,"Simona Cantalupo, onicotecnica",Asti (AT),Nail,1387,1,"cercato «nail asti» nella ricerca di Instagram → profilo letto dall’API il 17/9: link in bio: un profilo TikTok, nessun dominio [verifica-sito] motori «""Simona Cantalupo, onicotecnica"" Asti»: 0 risultati · domini: nessuno risponde",,,"Ciao, sono Patrick di DenkiCode. Millecinquecento post e l'agenda al completo scritta in bio: ad Asti ti sei costruita una posizione che parla da sola.

Ho notato però una cosa: quando l'agenda si libera, chi ti cerca su Google non trova un sito dove leggerlo. C'è il profilo, c'è TikTok, un sito tuo no.

Abbiamo preso ispirazione dal tuo profilo e abbiamo realizzato una bozza del tuo sito.

Preferisci che te la mandi qui, o prima ne parliamo due minuti al telefono? In ogni caso zero costi e zero impegno: se ti piace, poi ne parliamo. Qui c'è quello che facciamo: denkicode.com","Simona Cantalupo | ricostruzione unghie, manicure, pedicure. «La mia arte sulle tue mani». Estetista e onicotecnica, Asti. Agenda al completo. 1539 post, 1387 follower.",2026-09-17-instagram-siti-piemonte.csv,siti,,
@herplace.atelier,Her Place Atelier,Asti (AT),Nail,3590,1,"cercato «nail asti» nella ricerca di Instagram → profilo letto dall’API il 17/9: nessun link in bio [verifica-sito] motori «""Her Place Atelier"" Asti»: 4 risultati · domini: nessuno risponde · directory: instagram.com, localshop24.com, aromavero.it, facebook.com",,,"Buongiorno, sono Patrick di DenkiCode. Diciassettemila manicure e duecentodieci colori scritti in bio: in via Guttuari avete un atelier che si presenta con i numeri invece che con gli aggettivi, e funziona.

Ho notato però una cosa: per prenotare si passa solo dal direct, e cercando «unghie Asti» un sito vostro non esce.

Abbiamo preso ispirazione dal vostro profilo e abbiamo realizzato una bozza del vostro sito.

Preferite che ve la mandi qui su Instagram, o prima ne parliamo due minuti al telefono? In ogni caso zero costi e zero impegno: se vi piace, poi ne parliamo. Qui c'è quello che facciamo: denkicode.com","HER PLACE ATELIER | unghie Asti, via Guttuari 5. Onicotecniche specializzate, tecnica russa, oltre 210 colori, «+17000 manicure perfette». Lunedi'-sabato 8:30-16:00. 794 post, 3590 follower.",2026-09-17-instagram-siti-piemonte.csv,siti,,
@fede_nails_pinerolo,"Federica, ricostruzione unghie",Pinerolo (TO),Nail,671,1,"cercato «nail pinerolo» nella ricerca di Instagram → profilo letto dall’API il 17/9: nessun link in bio [verifica-sito] motori «""Federica, ricostruzione unghie"" Pinerolo»: 0 risultati · domini: nessuno risponde",,,"Ciao, sono Patrick di DenkiCode. Millequattrocento post da Pinerolo: hai un archivio di lavori che la maggior parte dei saloni si sogna.

Ho notato però una cosa: gli appuntamenti si prendono solo in direct e un sito tuo su Google non c'è. Chi cerca la ricostruzione in zona finisce da qualcun altro.

Abbiamo preso ispirazione dal tuo profilo e abbiamo realizzato una bozza del tuo sito.

Preferisci che te la mandi qui, o ne parliamo due minuti al telefono? Zero costi e zero impegno: se ti piace, poi ne parliamo. Se vuoi vedere cosa facciamo: denkicode.com","fede_nails_pinerolo. Pinerolo (TO). Smalto semipermanente mani e piedi, gel, ricostruzione unghie. Appuntamenti in direct. 1402 post, 671 follower.",2026-09-17-instagram-siti-piemonte.csv,siti,,
@smile.nails2024,Smile Nails,Torino (TO),Nail ed estetica,4544,5,"cercato «nail torino» nella ricerca di Instagram → profilo letto dall’API il 17/9: link in bio: una scheda Treatwell (treatwellapp.page.link), nessun dominio proprio [verifica-sito] motori «""Smile Nails"" Torino»: 7 risultati · domini: smilenails.com (vivo, indovinato: SmileNails.com is for sale | HugeDomains); smilenails.net (vivo, indovinato) · directory: treatwell.it, aromavero.it, facebook.com, firmania.it · aperto a mano il 17/9: smilenails.com e' «SmileNails.com is for sale | HugeDomains», un dominio in vendita · smilenails.com e' una pagina di vendita di HugeDomains: stesso nome ma un'altra attivita', non e' loro",,,"Buongiorno, sono Patrick di DenkiCode. L'Head SPA in corso Orbassano è una cosa che in zona fanno in pochi, e sul profilo si capisce subito.

Ho notato però una cosa: le prenotazioni passano da Treatwell, che è una pagina dentro il sito di qualcun altro. Chi vi cerca per nome trova loro, non voi.

Abbiamo preso ispirazione dal vostro profilo e abbiamo realizzato una bozza del vostro sito.

Preferite che ve la mandi qui, o prima due minuti al telefono? In ogni caso zero costi e zero impegno: se vi piace, poi ne parliamo. Qui c'è quello che facciamo: denkicode.com","Smile Nails | corso Orbassano 244, Torino. Trattamento Head SPA, manicure e ricostruzione unghie, pedicure estetica e curativa, cerette, massaggi. 105 post, 4544 follower.",2026-09-17-instagram-siti-piemonte.csv,siti,,
@ary.masterunghie,"Arianna Alba, onicotecnica",Alessandria (AL),Nail e corsi,681,1,"cercato «nail alessandria» nella ricerca di Instagram → profilo letto dall’API il 17/9: link in bio: una pagina Facebook, nessun dominio [verifica-sito] motori «""Arianna Alba, onicotecnica"" Alessandria»: 0 risultati · domini: nessuno risponde",,,"Ciao, sono Patrick di DenkiCode. Milletrecento post fra lavori e corsi, e lavori su due città invece di aspettare che arrivino: si vede che è una cosa costruita nel tempo.

Ho notato però una cosa: chi cerca un corso di ricostruzione ad Alessandria trova Facebook e Instagram, e nient'altro. Un sito tuo non c'è.

Abbiamo preso ispirazione dal tuo profilo e abbiamo realizzato una bozza del tuo sito.

Preferisci che te la mandi qui su Instagram, o ne parliamo due minuti al telefono? Zero costi e zero impegno: se ti piace, poi ne parliamo. Se vuoi vedere cosa facciamo: denkicode.com","Arianna Alba, unghie, master, ricostruzione, nail artist. Corsi di ricostruzione individuali e di gruppo, lamimaker. Disponibile su Alessandria e Casale. 1369 post, 681 follower.",2026-09-17-instagram-siti-piemonte.csv,siti,,
@lafontedellagiovinezza,La Fonte della Giovinezza,Asti (AT),Estetica avanzata,843,5,"cercato «estetica asti» nella ricerca di Instagram → profilo letto dall’API il 17/9: link in bio: una pagina my.canva.site, cioe' un modello dentro Canva [verifica-sito] motori «""La Fonte della Giovinezza"" Asti»: 10 risultati · domini: bluecenter.it (vivo: ▷ 10 Blue center 《2026》); altraopinione.org (non risponde); nuovaopinione.it (vivo: Negozi, Imprese e Servizi: pro, contro e opinioni reali) · directory: beautynailhairsalons.com, facebook.com, firmania.it, aromavero.it",,,"Buongiorno, sono Patrick di DenkiCode. Milletrecento post sul laser e sui percorsi corpo: ad Asti avete un centro che documenta il lavoro invece di limitarsi a promettere.

Ho notato però una cosa: il link in bio porta a una pagina fatta dentro Canva, che nasce come strumento per le grafiche. Un sito vostro, con un indirizzo vostro, non c'è.

Abbiamo preso ispirazione dal vostro profilo e abbiamo realizzato una bozza del vostro sito.

Preferite vederla qui, o prima ne parliamo due minuti al telefono? In ogni caso zero costi e zero impegno: se vi piace, poi ne parliamo. Se volete vedere cosa facciamo: denkicode.com","Estetica Avanzata Asti | Laser & Benessere. Centro specializzato, trattamenti viso, corpo, massaggi e laser. 1305 post, 843 follower.",2026-09-17-instagram-siti-piemonte.csv,siti,,
