Account IG,Nome attivita,Comune (prov),Segmento,Follower,Gancio (1-6),Esito verifica sito,DM inviato (data),Esito DM,Messaggio,Scheda,Lista,Prodotto,Letto (data),Chat
@_nailsbyfrances_,Nails by Frances,Desenzano del Garda (BS),Nail,503,1,"cercato «nails desenzano» nella ricerca di Instagram → profilo aperto e letto il 12/9, 255 post · [verifica-sito] motori «""Nails by Frances"" Desenzano del Garda»: 1 risultati · domini: nessuno risponde · directory: instagram.com",,,"Buongiorno, sono Patrick Sappa, DenkiCode, software house a Seveso: www.denkicode.com

Ho guardato il profilo di Nails by Frances. Su Google non compare un suo sito: c'è Instagram, ci sono le schede degli altri, ma un sito suo no. Lavora dentro un altro studio, Aesthetic Design, e il nome suo non ha una pagina propria.

La bozza del suo sito è già pronta, con le sue foto e il suo nome. Gliela mando?","Desenzano del Garda (BS). Lavora dentro un altro studio, aesthetic design, e il nome suo non ha una pagina propria. 503 follower, 255 post. Trovata cercando «nails desenzano» su Instagram.",2026-09-13-instagram-siti-brescia.csv,siti,,
@beautyewaxbrescia,Beauty e Wax,Brescia (BS),Estetica,4596,1,"cercato «centro estetico brescia» nella ricerca di Instagram → profilo aperto e letto il 12/9, 956 post · [verifica-sito] motori «""Beauty e Wax"" Brescia»: 0 risultati · domini: beautywax.com (parcheggiato, indovinato); beautywax.net (vivo, indovinato: BeautyWax.net is for sale | HugeDomains); beauty-wax.com (vivo, indovinato: Web Server's Default Page) — beautywax.net è un dominio in vendita su HugeDomains e beauty-wax.com è la pagina di default di un server: altra attività, non è di questo centro",,,"Buongiorno, sono Patrick Sappa della DenkiCode, siamo a Seveso. Il nostro sito è www.denkicode.com

Ho guardato il profilo di Beauty e Wax. Su Google non compare un suo sito: c'è Instagram, ci sono le schede degli altri, ma un sito suo no. 4.596 follower e 956 post per un centro in piazza Almici, senza un sito dove finiscano.

Il sito l'ho già fatto: è una bozza vera, con le sue foto e il suo nome. Glielo giro qui?","Brescia (BS). 4.596 follower e 956 post per un centro in piazza almici, senza un sito dove finiscano. 4596 follower, 956 post. Trovata cercando «centro estetico brescia» su Instagram.",2026-09-13-instagram-siti-brescia.csv,siti,,
@brescia_unghie,Brescia Unghie,Brescia (BS),Nail,1724,1,"cercato «unghie brescia» nella ricerca di Instagram → profilo aperto e letto il 12/9, 59 post · [verifica-sito] motori «""Brescia Unghie"" Brescia»: 0 risultati · domini: nessuno risponde",,,"Buongiorno, sono Patrick Sappa. Ho una software house a Seveso, DenkiCode, www.denkicode.com

Ho guardato il profilo di Brescia Unghie. Su Google non compare un suo sito: c'è Instagram, ci sono le schede degli altri, ma un sito suo no. Il nome del profilo è la ricerca che fa la gente, e chi cerca «unghie Brescia» su Google non vi trova.

La bozza è già pronta, fatta con le sue foto. Le va se gliela mando?","Brescia (BS). Il nome del profilo e' la ricerca che fa la gente, e chi cerca «unghie brescia» su google non vi trova. 1724 follower, 59 post. Trovata cercando «unghie brescia» su Instagram.",2026-09-13-instagram-siti-brescia.csv,siti,,
@brows_nails_it,Nail Artist Darfo,Darfo Boario Terme (BS),Nail,326,1,"cercato «nails darfo» nella ricerca di Instagram → profilo aperto e letto il 12/9, 672 post · [verifica-sito] motori «""Nail Artist Darfo"" Darfo Boario Terme»: 0 risultati · domini: nessuno risponde",,,"Buongiorno, sono Patrick Sappa, DenkiCode, software house a Seveso: www.denkicode.com

Ho guardato il profilo di Nail Artist Darfo. Su Google non compare un suo sito: c'è Instagram, ci sono le schede degli altri, ma un sito suo no. 672 post di lavori fatti, e nessun posto dove uno li veda tutti insieme.

Il suo sito esiste già in bozza, con le foto che pubblica lei. Glielo mando, lo guarda quando ha tempo?","Darfo Boario Terme (BS). 672 post di lavori fatti, e nessun posto dove uno li veda tutti insieme. 326 follower, 672 post. Trovata cercando «nails darfo» su Instagram.",2026-09-13-instagram-siti-brescia.csv,siti,,
@camynailsmontichiari,Camy Shine Nails,Montichiari (BS),Nail,238,1,"cercato «nails montichiari» nella ricerca di Instagram → profilo aperto e letto il 12/9, 183 post · [verifica-sito] motori «""Camy Shine Nails"" Montichiari»: 0 risultati · domini: nessuno risponde",,,"Buongiorno, sono Patrick Sappa della DenkiCode, siamo a Seveso. Il nostro sito è www.denkicode.com

Ho guardato il profilo di Camy Shine Nails. Su Google non compare un suo sito: c'è Instagram, ci sono le schede degli altri, ma un sito suo no. Quattro servizi in bio e il paese scritto, ma per prenotare bisogna passare da qui.

La bozza del suo sito è già pronta, con le sue foto e il suo nome. Gliela mando?","Montichiari (BS). Quattro servizi in bio e il paese scritto, ma per prenotare bisogna passare da qui. 238 follower, 183 post. Trovata cercando «nails montichiari» su Instagram.",2026-09-13-instagram-siti-brescia.csv,siti,,
@celli.nails.desenzano,Celeste De Pieri Nail Artist,Desenzano del Garda (BS),Nail,326,1,"cercato «nails desenzano» nella ricerca di Instagram → profilo aperto e letto il 12/9, 56 post · [verifica-sito] motori «""Celeste De Pieri Nail Artist"" Desenzano del Garda»: 0 risultati · domini: nessuno risponde",,,"Buongiorno, sono Patrick Sappa. Ho una software house a Seveso, DenkiCode, www.denkicode.com

Ho guardato il profilo di Celeste De Pieri Nail Artist. Su Google non compare un suo sito: c'è Instagram, ci sono le schede degli altri, ma un sito suo no. Lavora dentro Don't Panic Tattoo Studio. Chi la cerca trova il nome dello studio, non il suo.

Il sito l'ho già fatto: è una bozza vera, con le sue foto e il suo nome. Glielo giro qui?","Desenzano del Garda (BS). Lavora dentro don't panic tattoo studio, quindi chi la cerca trova il nome dello studio e non il suo. 326 follower, 56 post. Trovata cercando «nails desenzano» su Instagram.",2026-09-13-instagram-siti-brescia.csv,siti,,
@classika_estetista,Classika Estetista,Brescia (BS),Estetica e nail,965,1,"cercato «onicotecnica brescia» nella ricerca di Instagram → profilo aperto e letto il 12/9, 58 post · [verifica-sito] motori «""Classika Estetista"" Brescia»: 2 risultati · domini: nessuno risponde · directory: instagram.com, aromavero.it",,,"Buongiorno, sono Patrick Sappa, DenkiCode, software house a Seveso: www.denkicode.com

Ho guardato il profilo di Classika Estetista. Su Google non compare un suo sito: c'è Instagram, ci sono le schede degli altri, ma un sito suo no. Quattro trattamenti in bio, fra cui l'elettroepilazione definitiva, che è esattamente la cosa che la gente cerca su Google.

La bozza è già pronta, fatta con le sue foto. Le va se gliela mando?","Brescia (BS). Quattro trattamenti in bio, fra cui l'elettroepilazione definitiva, che e' esattamente la cosa che la gente cerca su google. 965 follower, 58 post. Trovata cercando «onicotecnica brescia» su Instagram.",2026-09-13-instagram-siti-brescia.csv,siti,,
@dabonails,Dabo Nails,Rovato (BS),Nail,1014,1,"cercato «nails rovato» nella ricerca di Instagram → profilo aperto e letto il 12/9, 148 post · [verifica-sito] motori «""Dabo Nails"" Rovato»: 0 risultati · domini: nessuno risponde",,,"Buongiorno, sono Patrick Sappa della DenkiCode, siamo a Seveso. Il nostro sito è www.denkicode.com

Ho guardato il profilo di Dabo Nails. Su Google non compare un suo sito: c'è Instagram, ci sono le schede degli altri, ma un sito suo no. Onicotecnica dal 2020 e la manicure giapponese in bio, una cosa che pochi fanno e che nessuno trova cercando.

Il suo sito esiste già in bozza, con le foto che pubblica lei. Glielo mando, lo guarda quando ha tempo?","Rovato (BS). Onicotecnica dal 2020 e la manicure giapponese in bio, una cosa che pochi fanno e che nessuno trova cercando. 1014 follower, 148 post. Trovata cercando «nails rovato» su Instagram.",2026-09-13-instagram-siti-brescia.csv,siti,,
@damian_roxana92,Roxana Unghie Desenzano,Desenzano del Garda (BS),Nail,785,1,"cercato «unghie desenzano» nella ricerca di Instagram → profilo aperto e letto il 12/9, 2697 post · [verifica-sito] motori «""Roxana Unghie Desenzano"" Desenzano del Garda»: 1 risultati · domini: nessuno risponde · directory: facebook.com",,,"Buongiorno, sono Patrick Sappa. Ho una software house a Seveso, DenkiCode, www.denkicode.com

Ho guardato il profilo di Roxana Unghie Desenzano. Su Google non compare un suo sito: c'è Instagram, ci sono le schede degli altri, ma un sito suo no. 2.697 post, il numero più alto di tutta la lista, e una bio di tre emoji.

La bozza del suo sito è già pronta, con le sue foto e il suo nome. Gliela mando?","Desenzano del Garda (BS). 2.697 post, il numero piu' alto di tutta la lista, e una bio di tre emoji. 785 follower, 2697 post. Trovata cercando «unghie desenzano» su Instagram.",2026-09-13-instagram-siti-brescia.csv,siti,,
@denisazbranca,Denisa Nails,Lumezzane (BS),Nail,427,1,"cercato «nails lumezzane» nella ricerca di Instagram → profilo aperto e letto il 12/9, 204 post · [verifica-sito] motori «""Denisa Nails"" Lumezzane»: 2 risultati · domini: nessuno risponde · directory: instagram.com, facebook.com",,,"Buongiorno, sono Patrick Sappa, DenkiCode, software house a Seveso: www.denkicode.com

Ho guardato il profilo di Denisa Nails. Su Google non compare un suo sito: c'è Instagram, ci sono le schede degli altri, ma un sito suo no. Onicotecnica certificata, e la certificazione sta scritta solo in una riga di bio.

Il sito l'ho già fatto: è una bozza vera, con le sue foto e il suo nome. Glielo giro qui?","Lumezzane (BS). Onicotecnica certificata, e la certificazione sta scritta solo in una riga di bio. 427 follower, 204 post. Trovata cercando «nails lumezzane» su Instagram.",2026-09-13-instagram-siti-brescia.csv,siti,,
