Account IG,Nome attivita,Comune (prov),Segmento,Follower,Gancio (1-6),Esito verifica sito,DM inviato (data),Esito DM,Messaggio,Scheda
@prettydogs_varese,Toelettatura Pretty Dogs,Varese (VA),Toelettatura,339,1,"cercato «""Pretty Dogs"" toelettatura Varese via Castoldi» → esce il profilo Instagram e un post di @toelettaturagiulietta che la nomina, più portali di hotel senza attinenza: nessun dominio suo. Profilo aperto il 10/9: in bio solo il WhatsApp di Michela, nessun link [verifica-sito] motori «""Toelettatura Pretty Dogs"" Varese»: 0 risultati · domini: nessuno risponde",,,"Buongiorno, sono Patrick Sappa. Ho una piccola software house a Seveso, DenkiCode.

Le scrivo perché ho guardato il profilo di Toelettatura Pretty Dogs e su Google non compare un suo sito: c'è Instagram, ci sono le schede degli altri, ma un sito suo no.

Le sue foto erano già metà del lavoro: l'altra metà l'ho fatta io. La bozza del suo sito è già pronta, con le sue immagini e il suo nome. Non deve scrivere niente e non deve mandarmi niente.

Gliela mando qui, la guarda con calma, e se non le piace me lo dice e non ci sentiamo più. Non le costa un euro e non la impegna a niente.

Sul costo non le faccio girare la testa: se poi decidesse di metterlo online si parla di poche centinaia di euro una volta, non di migliaia, più una quota annuale per tenerlo attivo. Il numero preciso glielo faccio solo se la cosa le interessa davvero.

Gliela mando?","Via Castoldi 2, Varese · WhatsApp 349 4562460, Michela · 26 post. ⚠ Toelettatura Giulietta, scritta il 9 settembre, ha un post intitolato «Toelettatura Giulietta - Pretty Dogs Varese»: possono essere due persone che collaborano. Guardare i post prima di scrivere."
@toelettatura_belli_e_pelosi,Toelettatura Belli e Pelosi,Malnate (VA),Toelettatura,309,1,"cercato «""Belli e Pelosi"" toelettatura Malnate Oberdan» → virgilio, reteimprese, oraridiapertura24, trova-aperto, firmania, paginegialle, cylex, italiarecensioni: solo schede di terzi, nessun dominio suo. Profilo aperto il 10/9: bio ridotta a un punto, nessun link [verifica-sito] motori «""Toelettatura Belli e Pelosi"" Malnate»: 0 risultati · domini: nessuno risponde",,,"Buongiorno, sono Patrick Sappa. Ho una piccola software house a Seveso, DenkiCode.

Le scrivo perché ho guardato il profilo di Toelettatura Belli e Pelosi e su Google non compare un suo sito: c'è Instagram, ci sono le schede degli altri, ma un sito suo no.

Le sue foto erano già metà del lavoro: l'altra metà l'ho fatta io. La bozza del suo sito è già pronta, con le sue immagini e il suo nome. Non deve scrivere niente e non deve mandarmi niente.

Gliela mando qui, la guarda con calma, e se non le piace me lo dice e non ci sentiamo più. Non le costa un euro e non la impegna a niente.

Sul costo non le faccio girare la testa: se poi decidesse di metterlo online si parla di poche centinaia di euro una volta, non di migliaia, più una quota annuale per tenerlo attivo. Il numero preciso glielo faccio solo se la cosa le interessa davvero.

Gliela mando?","Via Guglielmo Oberdan 1, Malnate · 0332 428504 · da martedì a sabato 8-18. Solo 11 post: profilo aperto da poco, foto poche ma buone."
@bbpowerhorse_equitazione,Centro Ippico BB Power Horse,Bodio Lomnago (VA),Centro ippico,2943,1,"cercato «""BB Power Horse"" centro ippico Varese» → la pagina Facebook (che dà Bodio Lomnago), la scheda di ilportaledelcavallo e la location Instagram: nessun dominio suo. Profilo aperto il 10/9: nessun link in bio [verifica-sito] motori «""Centro Ippico BB Power Horse"" Bodio Lomnago»: 0 risultati · domini: nessuno risponde",,,"Buongiorno, sono Patrick Sappa. Ho una piccola software house a Seveso, DenkiCode.

Le scrivo perché ho guardato il profilo di Centro Ippico BB Power Horse e su Google non compare un suo sito: c'è Instagram, ci sono le schede degli altri, ma un sito suo no.

Le sue foto erano già metà del lavoro: l'altra metà l'ho fatta io. La bozza del suo sito è già pronta, con le sue immagini e il suo nome. Non deve scrivere niente e non deve mandarmi niente.

Gliela mando qui, la guarda con calma, e se non le piace me lo dice e non ci sentiamo più. Non le costa un euro e non la impegna a niente.

Sul costo non le faccio girare la testa: se poi decidesse di metterlo online si parla di poche centinaia di euro una volta, non di migliaia, più una quota annuale per tenerlo attivo. Il numero preciso glielo faccio solo se la cosa le interessa davvero.

Gliela mando?","Bodio Lomnago (dalla pagina Facebook) · scuola di equitazione FISE, fida e mezza fida, pensione cavalli. 2.943 follower e 126 post, con i cavalli uno per uno nelle storie in evidenza."
@centroippicolepuledre,Centro Ippico Le Puledre,Cislago (VA),Centro ippico,372,5,"cercato «""Le Puledre"" centro ippico Cislago» → tripadvisor, facebook, cylex, tiktok, parrocchiamadonnadipompei: nessun dominio suo. Profilo aperto il 10/9: il link in bio porta a centroippico-lepuledre.my.canva.site [verifica-sito] motori «""Centro Ippico Le Puledre"" Cislago»: 0 risultati · domini: nessuno risponde",,,"Buongiorno, sono Patrick Sappa. Ho una piccola software house a Seveso, DenkiCode.

Le scrivo perché ho guardato il profilo di Centro Ippico Le Puledre e quello che ha non è un sito suo: è una paginetta fatta con Canva.

Le sue foto erano già metà del lavoro: l'altra metà l'ho fatta io. La bozza del suo sito è già pronta, con le sue immagini e il suo nome. Non deve scrivere niente e non deve mandarmi niente.

Gliela mando qui, la guarda con calma, e se non le piace me lo dice e non ci sentiamo più. Non le costa un euro e non la impegna a niente.

Sul costo non le faccio girare la testa: se poi decidesse di metterlo online si parla di poche centinaia di euro una volta, non di migliaia, più una quota annuale per tenerlo attivo. Il numero preciso glielo faccio solo se la cosa le interessa davvero.

Gliela mando?","Via Dante Alighieri 896, Cislago · scuola SEF Italia: lezioni, passeggiate, trekking, campus estivi, compleanni in pony, mountain trail. In bio una pagina Canva, non un dominio."
@scodinzolandia_cantu,Scodinzolandia,Cantù (CO),Toelettatura,265,1,"cercato «""Scodinzolandia"" Cantù toelettatura via Ariberto» → facebook, oraridiapertura24, toelettatura.info (Scodinzolandia di Confalonieri Francesca): nessun dominio suo. scodinzolandia.org, aperto il 10/9, è un'altra Scodinzolandia: nel testo non compaiono né Cantù né via Ariberto. Profilo aperto il 10/9: in bio l'indirizzo e una gmail, nessun link [verifica-sito] motori «""Scodinzolandia"" Cantù»: 0 risultati · domini: nessuno risponde",,,"Buongiorno, sono Patrick Sappa. Ho una piccola software house a Seveso, DenkiCode.

Le scrivo perché ho guardato il profilo di Scodinzolandia e su Google non compare un suo sito: c'è Instagram, ci sono le schede degli altri, ma un sito suo no.

Le sue foto erano già metà del lavoro: l'altra metà l'ho fatta io. La bozza del suo sito è già pronta, con le sue immagini e il suo nome. Non deve scrivere niente e non deve mandarmi niente.

Gliela mando qui, la guarda con calma, e se non le piace me lo dice e non ci sentiamo più. Non le costa un euro e non la impegna a niente.

Sul costo non le faccio girare la testa: se poi decidesse di metterlo online si parla di poche centinaia di euro una volta, non di migliaia, più una quota annuale per tenerlo attivo. Il numero preciso glielo faccio solo se la cosa le interessa davvero.

Gliela mando?","Via Ariberto da Intimiano 3, Cantù · scodinzolandiacantu@gmail.com · 392 7522153. Acqua ozonizzata, trattamenti medicali ed estetici, medagliette."
@doggywash.erba1,Toelettatura Doggy Wash,Erba (CO),Toelettatura,280,1,"cercato «""Doggy Wash"" Erba toelettatura via Mazzini» → facebook, oraridiapertura24, justdog, reteimprese, mondo-zampa: nessun dominio suo. doggywash.it, aperto il 10/9, è un negozio Shopify di attrezzature: «Erba» e «Como» compaiono solo nel menù a tendina delle province. Profilo aperto il 10/9: nessun link in bio [verifica-sito] motori «""Toelettatura Doggy Wash"" Erba»: 7 risultati · domini: hackerone.com (non risponde); status.brave.app (vivo: Brave status) · directory: facebook.com, oraridiapertura24.it, reteimprese.it, justdog.it",,,"Buongiorno, sono Patrick Sappa. Ho una piccola software house a Seveso, DenkiCode.

Le scrivo perché ho guardato il profilo di Toelettatura Doggy Wash e su Google non compare un suo sito: c'è Instagram, ci sono le schede degli altri, ma un sito suo no.

Le sue foto erano già metà del lavoro: l'altra metà l'ho fatta io. La bozza del suo sito è già pronta, con le sue immagini e il suo nome. Non deve scrivere niente e non deve mandarmi niente.

Gliela mando qui, la guarda con calma, e se non le piace me lo dice e non ci sentiamo più. Non le costa un euro e non la impegna a niente.

Sul costo non le faccio girare la testa: se poi decidesse di metterlo online si parla di poche centinaia di euro una volta, non di migliaia, più una quota annuale per tenerlo attivo. Il numero preciso glielo faccio solo se la cosa le interessa davvero.

Gliela mando?","Via Mazzini 29, Erba · 342 5526998. Si lavora su appuntamento e il padrone può restare durante il lavaggio. 182 post."
@mikuma.dogs,"Martina Carneli, istruttrice cinofila",Como (CO),Istruttore cinofilo,1719,1,"cercato «""Martina Carneli"" istruttrice cinofila Como obedience» → nessuna scheda sua: escono altri istruttori e le pagine della federazione, nessun dominio suo. Profilo aperto il 10/9: nessun link in bio, i contatti stanno solo nelle storie in evidenza [verifica-sito] motori «""Martina Carneli, istruttrice cinofila"" Como»: 17 risultati · domini: it.doggybell.com (DNS morto); superprof.it (non risponde); doggylab.it (non risponde); qualazampa.news (DNS morto); kodami.it (DNS morto); tripdoggy.com (DNS morto); gaiamorini.it (DNS morto); ascinofilia.it (DNS morto); aieci.eu (DNS morto); dogscuola.it (DNS morto); it.indeed.com (non risponde); asdvitadacani.it (DNS morto); hackerone.com (non risponde); status.brave.app (vivo: Brave status) · directory: instagram.com, facebook.com, it.linkedin.com",,,"Buongiorno, sono Patrick Sappa. Ho una piccola software house a Seveso, DenkiCode.

Le scrivo perché ho guardato il profilo di Martina Carneli, istruttrice cinofila e su Google non compare un suo sito: c'è Instagram, ci sono le schede degli altri, ma un sito suo no.

Le sue foto erano già metà del lavoro: l'altra metà l'ho fatta io. La bozza del suo sito è già pronta, con le sue immagini e il suo nome. Non deve scrivere niente e non deve mandarmi niente.

Gliela mando qui, la guarda con calma, e se non le piace me lo dice e non ci sentiamo più. Non le costa un euro e non la impegna a niente.

Sul costo non le faccio girare la testa: se poi decidesse di metterlo online si parla di poche centinaia di euro una volta, non di migliaia, più una quota annuale per tenerlo attivo. Il numero preciso glielo faccio solo se la cosa le interessa davvero.

Gliela mando?","Como · istruttrice cinofila CSEN e ACSI, obedience, water games CIS, consulenze online. 408 post e 1.719 follower. È una persona sola, non un centro: il sito le serve da biglietto da visita."
@101caniegatti,101 Cani e Gatti,Merate (LC),Pet shop con toelettatura,369,1,"cercato «""101 Cani e Gatti"" Merate negozio» → promoqui, impresaitalia, facebook, una discussione su openstreetmap: nessun dominio suo. Profilo aperto il 10/9: nessun link in bio [verifica-sito] motori «""101 Cani e Gatti"" Merate»: 0 risultati · domini: nessuno risponde",,,"Buongiorno, sono Patrick Sappa. Ho una piccola software house a Seveso, DenkiCode.

Le scrivo perché ho guardato il profilo di 101 Cani e Gatti e su Google non compare un suo sito: c'è Instagram, ci sono le schede degli altri, ma un sito suo no.

Le sue foto erano già metà del lavoro: l'altra metà l'ho fatta io. La bozza del suo sito è già pronta, con le sue immagini e il suo nome. Non deve scrivere niente e non deve mandarmi niente.

Gliela mando qui, la guarda con calma, e se non le piace me lo dice e non ci sentiamo più. Non le costa un euro e non la impegna a niente.

Sul costo non le faccio girare la testa: se poi decidesse di metterlo online si parla di poche centinaia di euro una volta, non di migliaia, più una quota annuale per tenerlo attivo. Il numero preciso glielo faccio solo se la cosa le interessa davvero.

Gliela mando?","Via Campi 54, Merate · 039 9900959. Alimenti, diete veterinarie, parafarmacia e toelettatura. 2.030 post e solo 369 follower: pubblicano tanto e nessuno li vede."
@franpetslecco2026,Franpets Toelettatura,Lecco (LC),Toelettatura,272,1,"cercato «""Franpets"" toelettatura Lecco Matteotti» → toelettatori.it, paginebianche, toelettatori-italia, petqueen: solo elenchi di zona, nessuna scheda sua con un dominio. Profilo aperto il 10/9: nessun link in bio [verifica-sito] motori «""Franpets Toelettatura"" Lecco»: 0 risultati · domini: nessuno risponde",,,"Buongiorno, sono Patrick Sappa. Ho una piccola software house a Seveso, DenkiCode.

Le scrivo perché ho guardato il profilo di Franpets Toelettatura e su Google non compare un suo sito: c'è Instagram, ci sono le schede degli altri, ma un sito suo no.

Le sue foto erano già metà del lavoro: l'altra metà l'ho fatta io. La bozza del suo sito è già pronta, con le sue immagini e il suo nome. Non deve scrivere niente e non deve mandarmi niente.

Gliela mando qui, la guarda con calma, e se non le piace me lo dice e non ci sentiamo più. Non le costa un euro e non la impegna a niente.

Sul costo non le faccio girare la testa: se poi decidesse di metterlo online si parla di poche centinaia di euro una volta, non di migliaia, più una quota annuale per tenerlo attivo. Il numero preciso glielo faccio solo se la cosa le interessa davvero.

Gliela mando?","Corso Giacomo Matteotti 111-113, Lecco · 311 post. Profilo aperto quest'anno (il nome finisce con 2026), bio in italiano e portoghese."
@la_casa_del_lupo,La Casa del Lupo,Valgreghentino (LC),Pensione e asilo per cani,3034,1,"cercato «""La Casa del Lupo"" pensione cani Valgreghentino» → italiarecensioni, cronoshare, lecconotizie, un blog su wordpress e una scheda su parrocchiamadonnadipompei: nessun dominio suo. Profilo aperto il 10/9: nessun link in bio [verifica-sito] motori «""La Casa del Lupo"" Valgreghentino»: 0 risultati · domini: nessuno risponde",,,"Buongiorno, sono Patrick Sappa. Ho una piccola software house a Seveso, DenkiCode.

Le scrivo perché ho guardato il profilo di La Casa del Lupo e su Google non compare un suo sito: c'è Instagram, ci sono le schede degli altri, ma un sito suo no.

Le sue foto erano già metà del lavoro: l'altra metà l'ho fatta io. La bozza del suo sito è già pronta, con le sue immagini e il suo nome. Non deve scrivere niente e non deve mandarmi niente.

Gliela mando qui, la guarda con calma, e se non le piace me lo dice e non ci sentiamo più. Non le costa un euro e non la impegna a niente.

Sul costo non le faccio girare la testa: se poi decidesse di metterlo online si parla di poche centinaia di euro una volta, non di migliaia, più una quota annuale per tenerlo attivo. Il numero preciso glielo faccio solo se la cosa le interessa davvero.

Gliela mando?","Via Aldo Moro 11, Valgreghentino · 328 6239559 · Patrizia e Marco. Pensione, asilo e rifugio per cani in adozione, box coperti e recinti divisi per taglia. 3.034 follower: il profilo più grosso della lista."
